species,X,Y
Aedes aegypti,-9288581.992023788,3492485.5164869004
Aedes aegypti,-5038010.3548772605,-3168665.9717871845
Aedes aegypti,-4020312.9946353473,-432653.8996696765
Aedes aegypti,-4091759.2796172695,-1846539.1179457991
Aedes aegypti,-4746908.1368245715,-2551288.8422258627
Aedes aegypti,-6008035.997598961,474660.0810223946
Aedes aegypti,-7332720.428991005,-461070.51977144706
Aedes aegypti,-3900302.951988002,-2527182.9147704523
Aedes aegypti,-4092066.3783325437,-564827.4376641499
Aedes aegypti,-9134260.761323923,1961643.2594136647
Aedes aegypti,-3673719.575951556,-1192239.5128670123
Aedes aegypti,-3857562.468177769,-459835.0725132484
Aedes aegypti,-4411997.133768427,-2515125.422519084
Aedes aegypti,-4453307.266317641,-2875477.851227248
Aedes aegypti,-10231228.460342158,3534800.4926909944
Aedes aegypti,-3817995.28654769,-1134428.1376717002
Aedes aegypti,-4072160.3463406796,-2585016.6574024013
Aedes aegypti,-4932541.587628197,-2752086.480898186
Aedes aegypti,-9991151.808880052,2418243.3078175043
Aedes aegypti,-4222690.96825831,-468483.08972978726
Aedes aegypti,-4016702.50445712,-857291.0859175758
Aedes aegypti,-9897340.699617676,2497489.3217610638
Aedes aegypti,-9524969.95244736,2554602.45772859
Aedes aegypti,-4599492.330005057,-2660815.2697254536
Aedes aegypti,-4484154.422623013,-372105.4516640414
Aedes aegypti,-8336051.822726268,1146142.8975368326
Aedes aegypti,-3766399.9030183763,-1539631.5002705348
Aedes aegypti,-4804718.61023719,-180514.01981358012
Aedes aegypti,-3917561.038480315,-1417026.7770056452
Aedes aegypti,-3869254.6910334337,-1550657.260471079
Aedes aegypti,-4636563.887261438,-2730486.5743399416
Aedes aegypti,-9596212.67645485,2010379.6696267738
Aedes aegypti,-4440549.8821431175,-2313333.673612644
Aedes aegypti,-6792763.383980125,-1234041.3450299504
Aedes aegypti,-4810198.451265937,-2046341.1957470363
Aedes aegypti,-5263821.085560142,638829.4177497331
Aedes aegypti,-5492374.249307817,-1922146.4804894875
Aedes aegypti,-4661555.847657522,-1172562.4357981854
Aedes aegypti,-10228454.976835888,3538324.2267819494
Aedes aegypti,-4848769.544817051,-2102269.0802662508
Aedes aegypti,-9441715.182231758,1937988.68376983
Aedes aegypti,-3812492.794323183,-714202.7494777215
Aedes aegypti,-3870058.073367501,-2329070.4273061343
Aedes aegypti,-4238931.915204243,-2493414.389161199
Aedes aegypti,-4633752.486900521,-2922104.1411974384
Aedes aegypti,-8601597.647901442,2577791.2940951386
Aedes aegypti,-4003716.592134292,-610515.6244840219
