species,X,Y
Aedes aegypti,-8423426.55144999,1230353.6127752839
Aedes aegypti,-8415324.187153468,1231582.871310114
Aedes aegypti,-8416317.028610185,1231582.871310114
Aedes aegypti,-8420288.394437065,1231582.871310114
Aedes aegypti,-8417309.870066907,1231582.871310114
Aedes aegypti,-8416157.367247934,1232812.1153998564
Aedes aegypti,-8471049.407882325,1311453.024837073
Aedes aegypti,-8415324.187155008,1231582.8713100136
Aedes aegypti,-8416317.028611692,1231582.8713100154
Aedes aegypti,-8351460.970886418,1233559.4887385294
Aedes aegypti,-8416157.367249439,1232812.1153997583
Aedes aegypti,-8325598.582189711,1129506.6432225595
Aedes aegypti,-8471131.445099436,1289341.4764823487
Aedes aegypti,-8417309.870068379,1231582.8713100185
Aedes aegypti,-8289321.115301201,1246332.8428448897
Aedes aegypti,-8265091.372668306,1234041.345027374
Aedes aegypti,-8471049.407882566,1311453.0248370608
Aedes aegypti,-8344616.777740041,1186090.8079108868
Aedes aegypti,-8275803.555853872,1227895.0524264497
Aedes aegypti,-8266189.346497398,1238284.534397037
Aedes aegypti,-8405975.017553981,1232138.4914284158
Aedes aegypti,-8267054.063491088,1244430.2142561118
Aedes aegypti,-8229431.733480324,1187958.8213219126
Aedes aegypti,-8243739.821271762,1233630.783938935
Aedes aegypti,-8233252.898026654,1188525.7367481084
Aedes aegypti,-8347309.388785207,1229608.6750795606
Aedes aegypti,-8355254.723122818,1229783.231912493
Aedes aegypti,-8289397.988256581,1245938.3083987676
Aedes aegypti,-8366057.362768718,1235178.3695511955
Aedes aegypti,-8325788.708520589,1260478.546133901
Aedes aegypti,-8404070.915690461,1234271.2093646668
Aedes aegypti,-8272528.195111861,1074667.085952256
Aedes aegypti,-8315361.486715897,1260902.5184052414
Aedes aegypti,-8464052.402460795,1233652.9100303852
Aedes aegypti,-8474121.397936216,1246555.3055304764
Aedes aegypti,-8435111.13663225,1212435.5392028298
Aedes aegypti,-8450641.383638559,1229838.5491584032
Aedes aegypti,-8490515.427426117,1283778.4186439791
Aedes aegypti,-8488394.26121302,1301150.8870442922
Aedes aegypti,-8481098.195882678,1250880.327273911
Aedes aegypti,-8492347.208769035,1266357.4710204003
Aedes aegypti,-8440644.072300663,1285013.1788236164
Aedes aegypti,-8336051.822726269,1146142.8975368326
Aedes aegypti,-8472693.624923162,1311316.68548343
Aedes aegypti,-8454280.15548318,1297792.35655933
Aedes aegypti,-8245916.219920986,1054174.5338376001
Aedes aegypti,-8246426.711741535,1049109.3422056704
Aedes aegypti,-8337792.986150923,1142527.2235860685
Aedes aegypti,-8255816.501409251,1067229.302400188
Aedes aegypti,-8292867.701094672,1096345.061591627
Aedes aegypti,-8277761.75447825,1067885.450996892
Aedes aegypti,-8266355.133152983,1071648.6960869953
Aedes aegypti,-8774190.497794978,1718305.1519601494
Aedes aegypti,-8779088.97350826,1692631.0231134845
Aedes aegypti,-8774190.497794973,1718305.151960149
Aedes aegypti,-8779088.973508256,1692631.0231134838
Aedes aegypti,-8776425.078619638,1696299.297405044
Aedes aegypti,-8799761.867480408,1692631.0231134838
Aedes aegypti,-8812696.478603223,1737860.4061756865
Aedes aegypti,-8890390.557090158,1801378.4523922775
Aedes aegypti,-8924113.508317104,1761075.4543017738
Aedes aegypti,-9054312.785399167,1834336.4438389188
Aedes aegypti,-9053663.690385284,1800157.486753885
Aedes aegypti,-9042417.629359813,1844098.7570134476
Aedes aegypti,-9048204.56735153,1807482.961537461
Aedes aegypti,-9050906.80687036,1831895.6487733042
Aedes aegypti,-9039944.9487717,1891669.9459900341
Aedes aegypti,-9049515.542706037,1824572.745209212
Aedes aegypti,-9048017.205703812,1827013.7993406185
Aedes aegypti,-9043460.188967528,1839217.7740794779
Aedes aegypti,-9052350.216246592,1834336.4438389188
Aedes aegypti,-9039910.782180814,1890958.69989998
Aedes aegypti,-9043298.365565516,1839082.1998169401
Aedes aegypti,-8671720.613905054,1931895.9849184765
Aedes aegypti,-8675183.328133438,1929458.7454814552
Aedes aegypti,-8674920.51124953,1930677.3766063768
Aedes aegypti,-8670215.402365359,1934333.133045147
Aedes aegypti,-8670478.607347164,1933114.5704029894
Aedes aegypti,-8672246.238641914,1929458.7454814552
Aedes aegypti,-8677067.779899124,1934333.133045147
Aedes aegypti,-8668257.580212854,1934333.133045147
Aedes aegypti,-9019219.399735503,1809924.6160322533
Aedes aegypti,-9052681.624685057,1800157.4867538845
Aedes aegypti,-9040716.358684737,1842878.5438915116
Aedes aegypti,-9057511.317500548,1809924.6160322533
Aedes aegypti,-9051109.060117457,1835556.8089074893
Aedes aegypti,-9054312.785399165,1834336.4438389188
Aedes aegypti,-8890390.557090158,1801378.4523922768
Aedes aegypti,-9053663.690385282,1800157.4867538845
Aedes aegypti,-9042417.629359815,1844098.7570134467
