species,X,Y
Aedes aegypti,-6435603.117861397,2209113.5220264615
Aedes aegypti,-6402934.695304829,2217603.931433033
Aedes aegypti,-6442405.05381565,2209113.5220264615
Aedes aegypti,-6412761.886726216,2268519.1351711545
Aedes aegypti,-6413550.829392662,2212752.4264532337
Aedes aegypti,-6415043.416286422,2215178.2315054853
Aedes aegypti,-6409343.863918846,2266095.6703788913
Aedes aegypti,-6436643.302595128,2213965.342112506
Aedes aegypti,-6441884.472377343,2206687.4546832857
Aedes aegypti,-6439194.4222378945,2205474.3817387368
Aedes aegypti,-6419449.623209574,2217603.931433033
Aedes aegypti,-6414592.291472885,2217603.931433033
Aedes aegypti,-6407423.668908053,2209113.5220264615
Aedes aegypti,-6412354.082585335,2213965.342112506
Aedes aegypti,-6413029.135047349,2210326.5163953304
Aedes aegypti,-6412282.194589664,2209113.5220264615
Aedes aegypti,-6017888.5798685625,2001318.468885864
Aedes aegypti,-6013569.911960587,1997666.54725706
Aedes aegypti,-6034138.961665846,1972097.1645590712
Aedes aegypti,-6020378.467269119,1991579.5388938275
Aedes aegypti,-7510159.950513412,2187275.156444476
Aedes aegypti,-7455704.740025523,2205474.3817387368
Aedes aegypti,-7516235.12935419,2217603.931433033
Aedes aegypti,-7558348.301523323,2268519.1351711545
Aedes aegypti,-7291052.567164562,3061658.8269948326
Aedes aegypti,-7044193.463268634,2273365.74139822
Aedes aegypti,-7312747.561298486,2456000.6426641447
Aedes aegypti,-7311495.307460814,2457207.978923047
Aedes aegypti,-7249520.722914555,2470486.7427165383
Aedes aegypti,-7320361.1570900865,2476521.3682798687
Aedes aegypti,-7337416.385963415,2477728.2049253588
Aedes aegypti,-7218310.234501829,2480141.7896290915
Aedes aegypti,-7452531.818339749,2541647.9256653003
Aedes aegypti,-7453174.619858433,2617516.99602611
Aedes aegypti,-7472683.62486373,2619923.525342839
Aedes aegypti,-7471724.604891339,2619923.525342839
Aedes aegypti,-7589489.112304266,2666825.6739984904
Aedes aegypti,-7656473.647318814,2670431.5340182637
Aedes aegypti,-7600491.89296454,2686053.601049799
Aedes aegypti,-7573999.716547283,2688456.5148493364
Aedes aegypti,-7581581.227796232,2695664.483901336
Aedes aegypti,-7601249.173646258,2704072.313445874
Aedes aegypti,-7621280.503489192,2707675.18390274
Aedes aegypti,-7688760.580832339,2712478.5574648045
Aedes aegypti,-7622311.313497467,2724484.7167947097
Aedes aegypti,-7568034.843596334,2734087.2966979407
Aedes aegypti,-7650721.053593276,2738887.8014626293
Aedes aegypti,-7832630.55980332,2798849.5211534114
Aedes aegypti,-7847376.1527338,2813227.922669883
Aedes aegypti,-7838678.325252139,2816821.7649649847
Aedes aegypti,-7830701.538211961,2818019.644849259
Aedes aegypti,-7832245.464050112,2819217.4909344725
Aedes aegypti,-7849972.602934583,2820415.3032054184
Aedes aegypti,-7826173.26809668,2820415.3032054184
Aedes aegypti,-7846394.0905427355,2822810.826243666
Aedes aegypti,-7845442.20481053,2822810.826243666
Aedes aegypti,-7840321.503505271,2824008.5369805447
Aedes aegypti,-7834610.452270472,2824008.5369805447
Aedes aegypti,-7847574.455120099,2825206.213842313
Aedes aegypti,-7847212.51190794,2826403.8568137554
Aedes aegypti,-7845309.003718274,2826403.8568137554
Aedes aegypti,-7841501.987338934,2826403.8568137554
Aedes aegypti,-7840550.2332441015,2826403.8568137554
Aedes aegypti,-7838646.725054434,2826403.8568137554
Aedes aegypti,-7819611.64315775,2826403.8568137554
Aedes aegypti,-7844946.988490157,2827601.4658796615
Aedes aegypti,-7839236.727428534,2827601.4658796615
Aedes aegypti,-7827816.205305292,2827601.4658796615
Aedes aegypti,-7843633.147204914,2828799.041024815
Aedes aegypti,-7842681.480965263,2828799.041024815
Aedes aegypti,-7840778.14848596,2828799.041024815
Aedes aegypti,-7842319.234011048,2829996.5822339994
Aedes aegypti,-7838512.7448791405,2829996.5822339994
Aedes aegypti,-7837561.122596164,2829996.5822339994
Aedes aegypti,-7835657.878030212,2829996.5822339994
Aedes aegypti,-7838150.514041484,2831194.0894920025
Aedes aegypti,-7837198.935734572,2831194.0894920025
