species,X,Y
Aedes albopictus,-4175188.556127823,-2459622.563618842
Aedes albopictus,-4560313.085946779,-3496013.88230929
Aedes albopictus,-4153911.386690066,-2031742.826652072
Aedes albopictus,-3758607.2845590794,-1440334.9303895275
Aedes albopictus,-4535802.245711042,-2892221.583687195
Aedes albopictus,-3884532.4442688017,-2470486.7427165383
Aedes albopictus,-3504934.0123922857,-957127.545039984
Aedes albopictus,-3991837.075219392,-2582608.326256021
Aedes albopictus,-4117990.114436934,-2433055.7125788014
Aedes albopictus,-4104351.045259337,-478366.20938615815
Aedes albopictus,-4137230.9070910485,-2784466.287597247
Aedes albopictus,-4751173.857595536,-3539498.7184454687
Aedes albopictus,-4873872.735056109,-2449963.5228595026
Aedes albopictus,-4951421.376444942,-2849152.6138708894
Aedes albopictus,-4853536.581873336,-1097511.8083060142
Aedes albopictus,-4023022.716990936,-2173925.3457775256
Aedes albopictus,-4964764.789685667,-2669229.612592279
Aedes albopictus,-4684081.77952964,-2612703.5622780053
Aedes albopictus,-4816460.089088331,-2612703.5622780053
Aedes albopictus,-4690093.987433548,-2914934.320534708
Aedes albopictus,-4843236.461057165,-1905081.35502562
Aedes albopictus,-5093488.442125495,-2941217.471968222
Aedes albopictus,-4846981.261244428,-2591036.944910501
Aedes albopictus,-9442415.728932336,2895742.164526693
Aedes albopictus,-4213012.932710125,-600637.8999969836
Aedes albopictus,-5058327.758380308,-2783267.4675109917
Aedes albopictus,-4122924.6029164614,-2741287.8571238713
Aedes albopictus,-5088039.461321384,-2990153.9035467813
Aedes albopictus,-4337832.464858565,-2810831.85908998
Aedes albopictus,-5005987.472270323,-3591133.3498509307
Aedes albopictus,-9062075.671682812,1848877.7560375682
Aedes albopictus,-3505954.2307665064,-1069201.4306208014
Aedes albopictus,-9509873.615115864,2600500.5966633083
Aedes albopictus,-4228702.7846048,-2808435.660678785
Aedes albopictus,-4257067.301236317,-2396805.623641045
Aedes albopictus,-4387463.329706181,-2770078.24825256
Aedes albopictus,-4841271.481381285,-2624736.2082581567
Aedes albopictus,-4605538.064902672,-2826403.856813756
Aedes albopictus,-4539605.692077836,-2634360.0678359834
Aedes albopictus,-4055456.040536816,-2453585.88239932
Aedes albopictus,-4925802.93960018,-3246941.3127083536
Aedes albopictus,-3910454.003423445,-1604539.5088398885
Aedes albopictus,-4985145.813379405,-3596995.5683894837
Aedes albopictus,-7160767.283294292,2235793.3180206204
Aedes albopictus,-4221036.044029946,-2687255.0740224724
Aedes albopictus,-4994923.873934066,-3201894.3289599917
Aedes albopictus,-4194671.009185752,-1952608.8215526615
Aedes albopictus,-4189014.925331911,-2152073.4826940624
Aedes albopictus,-4891949.954065506,-3015195.537265931
Aedes albopictus,-4914214.2061970495,-2789261.234055167
Aedes albopictus,-4874054.193865119,-2442718.0163511364
Aedes albopictus,-4138449.316832966,-2657208.645282576
Aedes albopictus,-3581064.4726077043,-793163.3775973283
Aedes albopictus,-4308927.152672422,-2736487.6146135656
Aedes albopictus,-4386910.893332551,-2482555.2561164238
Aedes albopictus,-9503153.321478056,2589130.644260433
Aedes albopictus,-4556880.472843152,-2710076.935550491
Aedes albopictus,-4913539.256685577,-2873085.335991858
Aedes albopictus,-4622594.602967568,-3355765.5735519333
Aedes albopictus,-4813542.240655185,-2566951.17303237
Aedes albopictus,-9192700.677825116,3133459.9747215174
Aedes albopictus,-4813553.18775726,-2507889.486701004
Aedes albopictus,-4190049.047131207,-2084037.4456447803
Aedes albopictus,-4486065.747186531,-2790459.887121929
Aedes albopictus,-4160853.2483878536,-2595852.618125699
Aedes albopictus,-9267386.932337172,2148565.608157224
Aedes albopictus,-4615747.702103875,-1845318.9483697882
Aedes albopictus,-4783072.174034992,-793163.3775973283
Aedes albopictus,-4300280.311228252,-2914934.320534708
Aedes albopictus,-4944757.732733803,-2641576.64074449
Aedes albopictus,-5007505.783086844,-3333318.86541355
Aedes albopictus,-4932183.689744059,-2942411.755148452
Aedes albopictus,-4969543.254946029,-2794055.645564644
Aedes albopictus,-4328425.564413413,-2844364.4241994233
Aedes albopictus,-4197388.11351588,-2548878.7954300223
Aedes albopictus,-4900292.867293603,-2471693.726757295
Aedes albopictus,-9370621.46295393,2278380.1913175173
Aedes albopictus,-4038733.8020516057,-2506683.392662001
Aedes albopictus,-4484922.487901645,-2723284.247379748
Aedes albopictus,-4092430.405364428,-2591036.944910501
Aedes albopictus,-4510148.574548264,-2960321.748084885
