species,X,Y
Aedes albopictus,-8688690.12416075,2098623.1999301584
Aedes albopictus,-9054312.785399167,1834336.4438389188
Aedes albopictus,-9051830.241091413,1836777.1523135933
Aedes albopictus,-9048017.205703812,1827013.7993406185
Aedes albopictus,-9050906.80687036,1831895.6487733042
Aedes albopictus,-9053176.963338649,1835320.0597773432
Aedes albopictus,-9053176.674827185,1835319.5716339636
Aedes albopictus,-9041715.061472962,1845217.3072611853
Aedes albopictus,-9051909.671110312,1837133.122401945
Aedes albopictus,-9043298.365565516,1839082.1998169401
Aedes albopictus,-9048226.7985202,1826539.1431151736
Aedes albopictus,-9053071.57292321,1835556.8089074893
Aedes albopictus,-9050906.806870356,1831895.6487733037
Aedes albopictus,-9048017.20570381,1827013.7993406178
Aedes albopictus,-9051830.241091412,1836777.1523135926
Aedes albopictus,-9054312.785399165,1834336.4438389188
Aedes albopictus,-8670215.402365359,1934333.133045147
Aedes albopictus,-8671909.791145273,1935551.6728301847
Aedes albopictus,-8668257.580212854,1934333.133045147
Aedes albopictus,-8675183.328133438,1929458.7454814552
Aedes albopictus,-8670478.607347164,1933114.5704029894
Aedes albopictus,-8680719.72320536,1935551.6728301847
Aedes albopictus,-8674920.51124953,1930677.3766063768
Aedes albopictus,-8675899.511420082,1930677.3766063768
Aedes albopictus,-8672246.238641914,1929458.7454814552
Aedes albopictus,-8677141.387794456,1929458.7454814552
Aedes albopictus,-8677067.779899124,1934333.133045147
Aedes albopictus,-8671720.613905054,1931895.9849184765
Aedes albopictus,-8688690.12416075,2098623.1999301584
Aedes albopictus,-8688690.12416075,2098623.1999301584
Aedes albopictus,-8688690.12416075,2098623.1999301584
Aedes albopictus,-9395730.719548019,3036647.052017618
Aedes albopictus,-9406934.255281853,3074753.744312184
Aedes albopictus,-9388028.837052686,3084274.503053324
Aedes albopictus,-9420489.5036725,3087844.1740273805
Aedes albopictus,-9410732.645798136,3146101.033630395
Aedes albopictus,-9373851.791359017,3231536.8504877873
Aedes albopictus,-9423647.380568845,3100930.0956538734
Aedes albopictus,-9402184.613957712,3123522.3729683827
Aedes albopictus,-9421909.637701541,3150852.690852697
Aedes albopictus,-9457642.491595445,3186470.633866189
Aedes albopictus,-9054312.785399167,1834336.4438389188
Aedes albopictus,-9051830.241091413,1836777.1523135933
Aedes albopictus,-9048017.205703812,1827013.7993406185
Aedes albopictus,-8340990.2431693515,2592240.9096587882
Aedes albopictus,-9070793.50291781,1830675.2188057203
Aedes albopictus,-9050906.80687036,1831895.6487733042
Aedes albopictus,-9615371.804086866,2286691.6784702516
Aedes albopictus,-9204676.329839066,3174601.819374179
Aedes albopictus,-9213983.186335217,3179349.806636873
Aedes albopictus,-9356716.319990823,2568155.753675329
Aedes albopictus,-9363441.549915858,2568155.753675329
Aedes albopictus,-9350177.651953323,2570564.8229912883
Aedes albopictus,-9356902.325082233,2570564.8229912883
Aedes albopictus,-9417664.486828135,3087844.1740273805
Aedes albopictus,-9445147.70597157,2862948.873220925
Aedes albopictus,-9457301.181127531,2572505.3595336243
Aedes albopictus,-9537225.313466536,2580433.9789630133
Aedes albopictus,-9485186.326133298,2658611.295525155
Aedes albopictus,-9264083.319482487,2144619.010466596
Aedes albopictus,-9433130.796908334,2576185.547393918
Aedes albopictus,-9403959.587929487,3073299.0011854153
Aedes albopictus,-9440993.425695667,2564207.2648987914
Aedes albopictus,-9371904.222941402,2284269.024680758
Aedes albopictus,-9451974.416841187,2619422.1352808797
