species,X,Y
Aedes albopictus,-7006069.939165462,2279423.3916569054
Aedes albopictus,-7181038.809454337,2222455.0154377697
Aedes albopictus,-7160767.283294292,2235793.3180206204
Aedes albopictus,-7028939.581547727,2239430.4805214424
Aedes albopictus,-7168126.328035864,2251552.6256350116
Aedes albopictus,-7221232.272846168,2270942.492217349
Aedes albopictus,-7164840.607232274,2280634.840556194
Aedes albopictus,-7185052.496550521,2290325.455415884
Aedes albopictus,-6988268.139184121,2290325.455415884
Aedes albopictus,-7025898.022632332,2304858.110727406
Aedes albopictus,-6984630.027928361,2312122.9612606606
Aedes albopictus,-7014752.027429661,2338752.2601817977
Aedes albopictus,-7022093.979113975,2277000.4126611487
Aedes albopictus,-7014589.775569878,2275788.8825945016
Aedes albopictus,-6988268.139184121,2290325.455415884
Aedes albopictus,-7837198.935734572,2831194.0894920025
