species,X,Y
Aedes albopictus,-4114235.873484258,-2704072.313445874
Aedes albopictus,-4141809.4258693918,-2785665.074309981
Aedes albopictus,-4115354.610600938,-2802444.5755620333
Aedes albopictus,-4150601.860738029,-2802444.5755620333
Aedes albopictus,-4115166.5599375432,-2803642.8598490097
Aedes albopictus,-4760170.798906611,-2552493.819969992
Aedes albopictus,-4330054.695183002,-2806039.3275579237
Aedes albopictus,-4238431.838770311,-2441510.330033907
Aedes albopictus,-3889734.082227873,-2482555.2561164233
Aedes albopictus,-3914605.787898077,-2446340.9007084914
Aedes albopictus,-4481318.484033968,-2540442.6744949897
Aedes albopictus,-4120494.0377278607,-2800047.906199036
Aedes albopictus,-4120276.9614797984,-2789261.234055167
Aedes albopictus,-4615906.0376396505,-2800047.906199036
Aedes albopictus,-4138197.891286153,-2790459.887121929
Aedes albopictus,-4137230.9070910485,-2784466.287597247
Aedes albopictus,-6009867.819133184,-385698.92886267696
Aedes albopictus,-4311823.4339079475,-2795254.164742386
Aedes albopictus,-4486065.747186531,-2790459.887121929
Aedes albopictus,-4510328.597661986,-3040221.1541305855
Aedes albopictus,-3483174.0720049986,-1000244.4630078475
Aedes albopictus,-3481341.7921816222,-996549.2805322746
Aedes albopictus,-3478565.493269313,-991622.2072745658
Aedes albopictus,-4576263.539308295,-3210196.685969998
Aedes albopictus,-4129077.6734752115,-2806039.3275579237
Aedes albopictus,-3882867.9665512275,-2491001.456133979
Aedes albopictus,-4548028.580739427,-3197149.272350419
Aedes albopictus,-3550533.7383588054,-1192239.5128670125
Aedes albopictus,-5275934.496631588,-422769.22240210563
Aedes albopictus,-6012977.108971067,-381991.67013610655
Aedes albopictus,-4337832.464858565,-2810831.8590899794
Aedes albopictus,-4514333.951638167,-3361670.160740311
Aedes albopictus,-5019584.684878311,-3345134.750002376
Aedes albopictus,-4583785.485582167,-3281281.111614525
Aedes albopictus,-4564534.079147484,-3115200.4809739715
Aedes albopictus,-4313327.013917186,-2888634.2128585116
Aedes albopictus,-4337390.3408547845,-2819217.4909344725
Aedes albopictus,-3797508.4546786495,-1598418.3440722257
Aedes albopictus,-4437239.8829338765,-310310.57924729475
Aedes albopictus,-4145810.4181887037,-2784466.287597247
Aedes albopictus,-4141997.302145301,-2784466.287597247
Aedes albopictus,-4142897.4980959916,-2766480.490586743
Aedes albopictus,-5294853.231406986,-426476.0138032358
Aedes albopictus,-4522873.452161225,-2993732.2550320295
Aedes albopictus,-4973989.003176463,-2611500.1257800926
Aedes albopictus,-4948317.328355267,-2559723.04633352
Aedes albopictus,-4711898.53700201,-2511507.589360767
Aedes albopictus,-4942984.99208826,-2499446.201379354
Aedes albopictus,-4738629.841349586,-2494620.811103427
Aedes albopictus,-4913580.055698647,-2478935.01204677
Aedes albopictus,-4757660.191423874,-2477728.2049253588
Aedes albopictus,-4630455.179216471,-2477728.2049253588
Aedes albopictus,-4692503.185733423,-2475314.502125309
Aedes albopictus,-4900292.867293603,-2471693.726757295
Aedes albopictus,-4811401.66946681,-2460829.8120257338
Aedes albopictus,-4891816.733476262,-2458415.2859129463
Aedes albopictus,-4763754.526359328,-2457207.978923047
Aedes albopictus,-4858058.28619566,-2452378.4584233947
Aedes albopictus,-4790733.285809093,-2451171.005238457
Aedes albopictus,-4838958.907772141,-2451171.005238457
Aedes albopictus,-4851497.569482532,-2451171.005238457
Aedes albopictus,-4873872.735056109,-2449963.5228595026
Aedes albopictus,-5261684.344208677,-2718482.043871831
Aedes albopictus,-3858454.7612129776,-464776.8291782082
Aedes albopictus,-4418575.22870159,-2873085.3359918585
Aedes albopictus,-5513285.027883161,-1912395.522653974
Aedes albopictus,-4327951.634117671,-2807237.510949461
Aedes albopictus,-4347953.171159148,-2807237.510949461
Aedes albopictus,-3474316.049312549,-997781.0197119159
Aedes albopictus,-3480398.8238018416,-995317.5296842037
Aedes albopictus,-3477622.154762886,-990390.409897928
Aedes albopictus,-3482602.994285606,-990390.409897928
Aedes albopictus,-3481659.6351384725,-989158.6009254351
Aedes albopictus,-4875575.026091187,-2847955.6177070676
Aedes albopictus,-4993362.462958438,-2824008.5369805447
Aedes albopictus,-4936061.300035613,-2864710.446734781
Aedes albopictus,-4755548.50248176,-2833589.0020935894
Aedes albopictus,-6021487.935703535,-399291.8611022386
Aedes albopictus,-6000856.021337083,-385698.92886267696
Aedes albopictus,-6005897.766818229,-384463.1804383553
Aedes albopictus,-6006899.083551611,-384463.1804383553
Aedes albopictus,-6004034.721309337,-379520.14199200575
Aedes albopictus,-6005208.03313597,-373341.2443319164
