species,X,Y
Aedes aegypti,-66.23,17.98
Aedes aegypti,-65.91,18.05
Aedes aegypti,-66.3,17.98
Aedes aegypti,-66.11,18.47
Aedes aegypti,-66.01,18.01
Aedes aegypti,-66.03,18.03
Aedes aegypti,-66.07,18.45
Aedes aegypti,-66.25,18.02
Aedes aegypti,-66.29,17.96
Aedes aegypti,-66.26,17.95
Aedes aegypti,-66.08,18.05
Aedes aegypti,-66.03,18.05
Aedes aegypti,-65.94,17.98
Aedes aegypti,-66.0,18.02
Aedes aegypti,-66.0,17.99
Aedes aegypti,-65.99,17.98
Aedes aegypti,-61.58,16.27
Aedes aegypti,-61.53,16.24
Aedes aegypti,-61.7,16.03
Aedes aegypti,-61.59,16.19
Aedes aegypti,-77.24,17.8
Aedes aegypti,-76.72,17.95
Aedes aegypti,-77.37,18.05
Aedes aegypti,-77.92,18.47
Aedes aegypti,-77.34,25.07
Aedes aegypti,-72.63,18.51
Aedes aegypti,-75.83,20.02
Aedes aegypti,-75.82,20.03
Aedes aegypti,-75.21,20.14
Aedes aegypti,-75.96,20.19
Aedes aegypti,-76.14,20.2
Aedes aegypti,-74.91,20.22
Aedes aegypti,-77.5,20.73
Aedes aegypti,-77.71,21.36
Aedes aegypti,-77.92,21.38
Aedes aegypti,-77.91,21.38
Aedes aegypti,-79.27,21.77
Aedes aegypti,-79.98,21.8
Aedes aegypti,-79.44,21.93
Aedes aegypti,-79.17,21.95
Aedes aegypti,-79.27,22.01
Aedes aegypti,-79.5,22.08
Aedes aegypti,-79.72,22.11
Aedes aegypti,-80.44,22.15
Aedes aegypti,-79.78,22.25
Aedes aegypti,-79.24,22.33
Aedes aegypti,-80.12,22.37
Aedes aegypti,-82.21,22.87
Aedes aegypti,-82.41,22.99
Aedes aegypti,-82.33,23.02
Aedes aegypti,-82.25,23.03
Aedes aegypti,-82.27,23.04
Aedes aegypti,-82.46,23.05
Aedes aegypti,-82.21,23.05
Aedes aegypti,-82.43,23.07
Aedes aegypti,-82.42,23.07
Aedes aegypti,-82.37,23.08
Aedes aegypti,-82.31,23.08
Aedes aegypti,-82.45,23.09
Aedes aegypti,-82.45,23.1
Aedes aegypti,-82.43,23.1
Aedes aegypti,-82.39,23.1
Aedes aegypti,-82.38,23.1
Aedes aegypti,-82.36,23.1
Aedes aegypti,-82.16,23.1
Aedes aegypti,-82.43,23.11
Aedes aegypti,-82.37,23.11
Aedes aegypti,-82.25,23.11
Aedes aegypti,-82.42,23.12
Aedes aegypti,-82.41,23.12
Aedes aegypti,-82.39,23.12
Aedes aegypti,-82.41,23.13
Aedes aegypti,-82.37,23.13
Aedes aegypti,-82.36,23.13
Aedes aegypti,-82.34,23.13
Aedes aegypti,-82.37,23.14
Aedes aegypti,-82.36,23.14
