species,X,Y
Aedes aegypti,-57.95,-34.92
Aedes aegypti,-58.46,-34.59
Aedes aegypti,-64.19,-31.4
Aedes aegypti,-64.17,-31.32
Aedes aegypti,-60.05,-26.93
Aedes aegypti,-58.37,-34.61
Aedes aegypti,-63.81,-22.55
Aedes aegypti,-63.76,-22.28
Aedes aegypti,-63.72,-22.07
Aedes aegypti,-64.21,-31.46
Aedes aegypti,-64.11,-31.45
Aedes aegypti,-64.2,-31.42
Aedes aegypti,-64.27,-31.4
Aedes aegypti,-64.13,-31.39
Aedes aegypti,-64.24,-31.36
Aedes aegypti,-64.16,-31.36
Aedes aegypti,-58.99,-27.46
Aedes aegypti,-54.57,-25.62
Aedes aegypti,-54.57,-25.61
Aedes aegypti,-54.59,-25.6
Aedes aegypti,-54.57,-25.6
Aedes aegypti,-54.58,-25.6
Aedes aegypti,-54.57,-25.59
Aedes aegypti,-64.32,-23.14
Aedes aegypti,-64.33,-23.13
Aedes aegypti,-63.82,-22.53
Aedes aegypti,-58.5,-34.58
Aedes aegypti,-54.58,-25.61
Aedes aegypti,-63.68,-22.02
Aedes aegypti,-58.47,-34.59
Aedes aegypti,-54.59,-25.97
Aedes aegypti,-54.59,-25.96
Aedes aegypti,-57.72,-25.28
Aedes aegypti,-58.5,-34.67
Aedes aegypti,-58.46,-34.56
Aedes aegypti,-64.17,-31.4
Aedes aegypti,-64.17,-31.38
Aedes aegypti,-66.58,-31.33
Aedes aegypti,-61.48,-31.25
Aedes aegypti,-59.65,-29.1
Aedes aegypti,-64.27,-27.78
Aedes aegypti,-65.27,-26.93
Aedes aegypti,-55.03,-26.81
Aedes aegypti,-64.78,-23.82
Aedes aegypti,-64.32,-23.13
Aedes aegypti,-63.78,-22.52
Aedes aegypti,-63.67,-22.03
Aedes aegypti,-54.58,-25.92
Aedes aegypti,-68.05,-38.95
Aedes aegypti,-58.07,-34.87
Aedes aegypti,-58.69,-34.54
Aedes aegypti,-63.73,-22.24
Aedes aegypti,-57.9,-35.88
Aedes aegypti,-65.17,-26.85
Aedes aegypti,-57.81,-36.09
Aedes aegypti,-65.74,-27.38
Aedes aegypti,-65.66,-27.34
Aedes aegypti,-57.96,-34.93
Aedes aegypti,-58.46,-34.63
Aedes aegypti,-58.42,-34.6
Aedes aegypti,-63.23,-32.4
Aedes aegypti,-60.5,-31.73
Aedes aegypti,-64.18,-31.42
Aedes aegypti,-64.2,-31.37
Aedes aegypti,-66.85,-29.42
Aedes aegypti,-59.66,-29.12
Aedes aegypti,-65.78,-28.47
Aedes aegypti,-65.78,-28.45
Aedes aegypti,-55.13,-27.88
Aedes aegypti,-55.13,-27.87
Aedes aegypti,-58.83,-27.47
Aedes aegypti,-55.91,-27.4
Aedes aegypti,-55.88,-27.37
Aedes aegypti,-60.05,-26.92
Aedes aegypti,-65.22,-26.8
Aedes aegypti,-53.65,-26.25
Aedes aegypti,-54.58,-25.97
Aedes aegypti,-54.59,-25.92
Aedes aegypti,-54.6,-25.92
Aedes aegypti,-57.9,-25.85
Aedes aegypti,-65.42,-24.78
Aedes aegypti,-65.4,-24.77
Aedes aegypti,-61.85,-23.88
Aedes aegypti,-64.79,-23.83
Aedes aegypti,-64.35,-22.74
Aedes aegypti,-63.69,-22.05
Aedes aegypti,-63.68,-22.03
Aedes aegypti,-54.59,-25.55
Aedes aegypti,-54.58,-25.55
Aedes aegypti,-54.58,-25.54
Aedes aegypti,-54.57,-25.58
Aedes aegypti,-54.57,-25.55
Aedes aegypti,-57.58,-25.33
Aedes aegypti,-57.58,-25.32
Aedes aegypti,-57.58,-25.31
Aedes aegypti,-57.61,-25.26
Aedes aegypti,-57.61,-25.38
Aedes aegypti,-57.62,-25.37
Aedes aegypti,-57.6,-25.37
Aedes aegypti,-57.63,-25.3
Aedes aegypti,-55.85,-27.35
Aedes aegypti,-58.3,-33.13
Aedes aegypti,-58.3,-33.12
Aedes aegypti,-60.31,-34.27
Aedes aegypti,-57.71,-25.28
Aedes aegypti,-58.43,-34.76
Aedes aegypti,-59.0,-27.5
Aedes aegypti,-60.51,-31.74
Aedes aegypti,-57.96,-31.39
Aedes aegypti,-58.51,-33.01
Aedes aegypti,-58.38,-34.6
Aedes aegypti,-55.9,-27.36
Aedes aegypti,-64.18,-31.4
Aedes aegypti,-57.68,-36.32
Aedes aegypti,-58.01,-35.58
Aedes aegypti,-58.39,-34.7
Aedes aegypti,-58.68,-34.66
