species,X,Y
Aedes albopictus,-89.14,17.07
Aedes albopictus,-92.27,14.9
Aedes albopictus,-92.25,14.92
Aedes albopictus,-92.19,14.84
Aedes albopictus,-92.23,14.88
Aedes albopictus,-92.26055999999997,14.908059999999999
Aedes albopictus,-92.26055599999998,14.908055999999995
Aedes albopictus,-92.16527799999997,14.989166999999997
Aedes albopictus,-92.25158299999998,14.922916999999998
Aedes albopictus,-92.16805599999999,14.938888999999994
Aedes albopictus,-92.19111099999998,14.836110999999997
Aedes albopictus,-92.25999999999999,14.909999999999998
Aedes albopictus,-92.22999999999998,14.879999999999995
Aedes albopictus,-92.18999999999998,14.839999999999996
Aedes albopictus,-92.24999999999997,14.919999999999996
Aedes albopictus,-92.26999999999998,14.899999999999999
Aedes albopictus,-88.56999999999998,15.719999999999997
Aedes albopictus,-88.58999999999999,15.729999999999997
Aedes albopictus,-88.54999999999998,15.719999999999997
Aedes albopictus,-88.60999999999997,15.679999999999998
Aedes albopictus,-88.56999999999998,15.709999999999999
Aedes albopictus,-88.67999999999998,15.729999999999997
Aedes albopictus,-88.60999999999997,15.689999999999996
Aedes albopictus,-88.61999999999999,15.689999999999996
Aedes albopictus,-88.57999999999997,15.679999999999998
Aedes albopictus,-88.62999999999997,15.679999999999998
Aedes albopictus,-88.63999999999999,15.719999999999997
Aedes albopictus,-88.57999999999997,15.699999999999996
Aedes albopictus,-89.13999999999999,17.069999999999997
Aedes albopictus,-89.14,17.07
Aedes albopictus,-89.13999999999999,17.069999999999997
Aedes albopictus,-99.56,24.86
Aedes albopictus,-99.84,25.18
Aedes albopictus,-99.68,25.26
Aedes albopictus,-100.04,25.29
Aedes albopictus,-100.19,25.78
Aedes albopictus,-100.18,26.5
Aedes albopictus,-100.13,25.4
Aedes albopictus,-100.0,25.59
Aedes albopictus,-100.33,25.82
Aedes albopictus,-100.87,26.12
Aedes albopictus,-92.27,14.9
Aedes albopictus,-92.25,14.92
Aedes albopictus,-92.19,14.84
Aedes albopictus,-86.89,21.15
Aedes albopictus,-92.43,14.87
Aedes albopictus,-92.23,14.88
Aedes albopictus,-99.18,18.62
Aedes albopictus,-98.12,26.02
Aedes albopictus,-98.24,26.06
Aedes albopictus,-97.39,20.95
Aedes albopictus,-97.46,20.95
Aedes albopictus,-97.33,20.97
Aedes albopictus,-97.4,20.97
Aedes albopictus,-100.01,25.29
Aedes albopictus,-99.38027799999998,23.405277999999992
Aedes albopictus,-98.45166699999997,20.986110999999998
Aedes albopictus,-99.31083299999997,21.051943999999995
Aedes albopictus,-99.04083299999998,21.701666999999993
Aedes albopictus,-95.16388899999998,17.448610999999996
Aedes albopictus,-98.21249999999999,21.016666999999995
Aedes albopictus,-99.80222199999999,25.16777799999999
Aedes albopictus,-98.25388899999999,20.91722199999999
Aedes albopictus,-96.66166699999997,18.599999999999998
Aedes albopictus,-98.55694399999997,21.375832999999997
Aedes albopictus,-98.93805499999999,21.783610999999993
Aedes albopictus,-98.92111099999997,20.639721999999995
Aedes albopictus,-99.47444399999999,21.699166999999996
Aedes albopictus,-98.54972199999999,21.179721999999995
Aedes albopictus,-99.53888899999997,26.31055599999999
Aedes albopictus,-98.87499999999999,21.437499999999993
Aedes albopictus,-98.52749999999997,21.093055999999997
Aedes albopictus,-98.63249999999998,22.494443999999998
Aedes albopictus,-95.31861099999998,17.342499999999998
Aedes albopictus,-99.02916699999997,18.921943999999993
Aedes albopictus,-98.64777799999997,21.365277999999993
Aedes albopictus,-98.67805499999997,20.499443999999993
Aedes albopictus,-99.06249999999997,20.876388999999993
Aedes albopictus,-99.16027799999998,18.628888999999997
Aedes albopictus,-98.91499999999998,21.811943999999997
Aedes albopictus,-98.97138899999997,22.743332999999993
Aedes albopictus,-98.52166699999997,21.157777999999993
Aedes albopictus,-99.18638899999999,18.596388999999995
Aedes albopictus,-98.08833299999998,20.406110999999996
Aedes albopictus,-95.03722199999997,16.993055999999996
Aedes albopictus,-99.50805499999997,27.486388999999996
Aedes albopictus,-96.33555499999999,18.299999999999997
Aedes albopictus,-98.79944399999998,21.153332999999993
Aedes albopictus,-98.38305499999998,20.962221999999997
Aedes albopictus,-98.20777799999998,23.76749999999999
Aedes albopictus,-98.37527799999997,22.213888999999995
Aedes albopictus,-98.08166699999997,20.424443999999998
Aedes albopictus,-98.31777799999999,21.161943999999995
Aedes albopictus,-99.02583299999999,21.634721999999996
Aedes albopictus,-98.20111099999998,20.399721999999997
Aedes albopictus,-99.36138899999997,22.519999999999992
Aedes albopictus,-99.35972199999999,22.558332999999994
Aedes albopictus,-95.02611099999997,17.068888999999995
Aedes albopictus,-100.23472199999998,25.678888999999995
Aedes albopictus,-98.81249999999997,21.173610999999994
Aedes albopictus,-97.81444399999998,25.673610999999994
Aedes albopictus,-99.51138899999998,21.150832999999995
Aedes albopictus,-99.03999999999999,21.184166999999995
Aedes albopictus,-99.61583299999997,24.231388999999993
Aedes albopictus,-99.02111099999998,21.621110999999992
Aedes albopictus,-99.06305499999998,18.883610999999995
Aedes albopictus,-96.12388899999999,18.086110999999995
Aedes albopictus,-95.07222199999997,16.801110999999995
Aedes albopictus,-96.34999999999998,18.352777999999997
Aedes albopictus,-97.84722199999997,16.624999999999996
Aedes albopictus,-98.85694399999997,21.674166999999997
Aedes albopictus,-98.99305499999998,18.719999999999995
Aedes albopictus,-98.95749999999998,21.260555999999998
Aedes albopictus,-99.17083299999997,22.11499999999999
Aedes albopictus,-98.39388899999999,21.014443999999997
Aedes albopictus,-99.40861099999996,24.152499999999993
Aedes albopictus,-99.14611099999998,23.736110999999994
Aedes albopictus,-98.53777799999999,21.249999999999996
Aedes albopictus,-98.55944399999998,21.160832999999993
Aedes albopictus,-96.63138899999998,18.551388999999997
Aedes albopictus,-98.96055499999997,22.691666999999992
Aedes albopictus,-98.02111099999998,20.526666999999996
Aedes albopictus,-95.04166699999998,16.872221999999997
Aedes albopictus,-98.47972199999998,21.12305599999999
Aedes albopictus,-95.22499999999997,17.388055999999995
Aedes albopictus,-98.75416699999998,21.935277999999997
Aedes albopictus,-98.34527799999996,21.150555999999998
Aedes albopictus,-98.96666699999997,21.546110999999993
Aedes albopictus,-99.76694399999997,20.915555999999995
Aedes albopictus,-98.52527799999997,20.951388999999995
Aedes albopictus,-98.03361099999998,20.489721999999997
Aedes albopictus,-99.27083299999997,18.559443999999996
