species,X,Y
Culicidae,-66.9128,-45.003333000000005
Culicidae,-58.966666999999994,-27.166665999999996
Culicidae,-58.916668,-27.433332
Culicidae,-88.880555,17.897222000000003
Culicidae,-88.879917,17.898528
Culicidae,-88.879917,17.898528
Culicidae,-42.704399,-21.8878
Culicidae,-38.510799,-12.9711
Culicidae,-38.510799,-12.9711
Culicidae,-38.510799,-12.9711
Culicidae,-38.510799,-12.9711
Culicidae,-39.075298,-15.293300000000002
Culicidae,-39.075298,-15.293300000000002
Culicidae,-39.471401,-14.809699999999998
Culicidae,-39.471401,-14.809699999999998
Culicidae,-39.0494,-14.7889
Culicidae,-39.0494,-14.7889
Culicidae,-39.0494,-14.7889
Culicidae,-39.2803,-14.785599999999999
Culicidae,-40.349701,-3.6861099999999998
Culicidae,-42.531101,-22.2819
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-41.7869,-22.3708
Culicidae,-43.554401,-14.413899999999998
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.2075,-22.9028
Culicidae,-43.1786,-22.504998999999998
Culicidae,-43.1786,-22.504998999999998
Culicidae,-42.981899,-22.537201
Culicidae,-42.981899,-22.537201
Culicidae,-42.981899,-22.537201
Culicidae,-42.981899,-22.537201
Culicidae,-42.981899,-22.537201
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.653099,-22.4625
Culicidae,-42.0186,-22.8794
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.292801000000004,-22.1619
Culicidae,-43.379397999999995,-18.6047
Culicidae,-43.379397999999995,-18.6047
Culicidae,-43.3722,-22.8039
Culicidae,-43.662498,-22.4039
Culicidae,-43.468899,-22.453899
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-43.451099,-22.759199
Culicidae,-54.45,2.24
Culicidae,-54.45,2.24
Culicidae,-54.45,2.24
Culicidae,-54.45,2.24
Culicidae,-54.45,2.24
Culicidae,-54.45,2.24
Culicidae,-54.45,2.24
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-56.3783,-20.240601
Culicidae,-57.653301,-19.009199
Culicidae,-57.601699999999994,-19.0047
Culicidae,-56.65,-18.983333
Culicidae,-44.674702,-2.88083
Culicidae,-44.737801,-2.7058299999999997
Culicidae,-46.771702000000005,-13.0367
Culicidae,-46.771702000000005,-13.0367
Culicidae,-46.771702000000005,-13.0367
Culicidae,-44.454399,-13.8292
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-44.563301,-22.496098999999997
Culicidae,-48.504397999999995,-1.45583
Culicidae,-48.504397999999995,-1.45583
Culicidae,-48.504397999999995,-1.45583
Culicidae,-48.504397999999995,-1.45583
Culicidae,-48.504397999999995,-1.45583
Culicidae,-48.408575,-1.409889
Culicidae,-48.408575,-1.409889
Culicidae,-48.408575,-1.409889
