Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.91112E-6,0.000591112,0.010853301,1,0,0
6.87591E-6,0.001278703,0.012602427,0.999599038,0,0
8.461E-6,0.002872831,0.015462703,0.998797113,0,0
1.01895E-5,0.005756834,0.018562953,0.997594226,0,0
1.22691E-5,0.010415835,0.022267109,0.995990377,0,0
1.55733E-5,0.026221116,0.028095378,0.991579791,0,0
2.0114E-5,0.050129328,0.035992444,0.986367281,0,0
2.42745E-5,0.101816602,0.043116235,0.977145148,0,0
3.24508E-5,0.200110447,0.056813935,0.96351243,0.008888889,0
3.95163E-5,0.3008583,0.068338526,0.952285485,0.008888889,0
4.6552E-5,0.401320233,0.079538201,0.943063352,0.008888889,0
5.02055E-5,0.503042355,0.085248432,0.934643144,0.008888889,0
5.27418E-5,0.601188708,0.089170901,0.92702486,0.013333333,0
5.53821E-5,0.703800332,0.093218813,0.919406576,0.017777778,0
5.78589E-5,0.755155496,0.096983421,0.915797915,0.017777778,0
5.87701E-5,0.801814203,0.098360529,0.912590217,0.017777778,0
6.04055E-5,0.903133734,0.100821752,0.905773857,0.017777778,0
6.35124E-5,1.00252372,0.10546055,0.89935846,0.017777778,0
6.61416E-5,1.106272077,0.109348766,0.892943063,0.017777778,0
6.8906E-5,1.20665644,0.113400799,0.886928629,0.017777778,0
7.00211E-5,1.303883573,0.115024802,0.881315156,0.017777778,0
7.16715E-5,1.403175488,0.117417704,0.875701684,0.017777778,0
7.3881E-5,1.505499875,0.120600868,0.870088212,0.017777778,0
7.83356E-5,1.757396487,0.126949313,0.856856455,0.022222222,0
8.51169E-5,2.002620016,0.136439577,0.844827586,0.022222222,0
8.80124E-5,2.253856748,0.140429168,0.833199679,0.026666667,0
9.19359E-5,2.505459402,0.14577671,0.821972735,0.031111111,0
9.51658E-5,2.758456823,0.150129278,0.811146752,0.035555556,0
9.91261E-5,3.001838011,0.155406006,0.801122694,0.035555556,0
1.03046E-4,3.255478191,0.160564385,0.791098637,0.035555556,0
1.07273E-4,3.50765857,0.166057137,0.781475541,0.035555556,0
1.11571E-4,3.758927822,0.171569144,0.772253408,0.04,0
1.15544E-4,4.008709146,0.176599808,0.763432237,0.04,0
1.20937E-4,4.256726164,0.183331749,0.755012029,0.04,0
1.25288E-4,4.503305089,0.18868233,0.746992783,0.04,0
1.29318E-4,4.758017022,0.193576786,0.738973536,0.044444444,0
1.3366E-4,5.008430184,0.198784518,0.731355253,0.044444444,0
1.38653E-4,5.254251811,0.204690183,0.724137931,0.044444444,0
1.41662E-4,5.506246594,0.208207743,0.716920609,0.044444444,0
1.45843E-4,5.75135091,0.213043815,0.71010425,0.044444444,0
1.48779E-4,6.002098966,0.216404174,0.703287891,0.048888889,0
1.53472E-4,6.258544274,0.221716345,0.696471532,0.057777778,0
1.55256E-4,6.505647982,0.223717585,0.690056135,0.057777778,0
1.59638E-4,6.758010145,0.22858784,0.683640738,0.062222222,0
1.63299E-4,7.000880731,0.232610839,0.677626303,0.066666667,0
1.66136E-4,7.264673146,0.235700388,0.671210906,0.066666667,0
1.70851E-4,7.50028238,0.240778936,0.665597434,0.066666667,0
1.73849E-4,7.759136387,0.243972929,0.659582999,0.071111111,0
1.76813E-4,8.004746791,0.24710414,0.653969527,0.071111111,0
1.80323E-4,8.254872265,0.250779877,0.648356055,0.08,0
1.84312E-4,8.510213626,0.254913526,0.642742582,0.08,0
1.87816E-4,8.752364845,0.258506506,0.637530072,0.08,0
1.89465E-4,9.016649181,0.260185982,0.6319166,0.08,0
1.94189E-4,9.266897143,0.264954505,0.62670409,0.08,0
1.98748E-4,9.503594619,0.269497835,0.621892542,0.08,0
2.03755E-4,9.766216784,0.274424331,0.616680032,0.08,0
2.10556E-4,10.013830927,0.281009893,0.611868484,0.084444444,0
2.14212E-4,10.269457816,0.284501271,0.607056937,0.088888889,0
2.18818E-4,10.507596816,0.288851849,0.602646351,0.088888889,0
2.21123E-4,10.771658706,0.291008623,0.597834804,0.088888889,0
2.24372E-4,11.017263468,0.294027182,0.593424218,0.093333333,0
2.27884E-4,11.26639776,0.297261709,0.589013633,0.093333333,0
2.33056E-4,11.520870902,0.30197138,0.584603047,0.093333333,0
2.38083E-4,11.75623251,0.306488472,0.580593424,0.093333333,0
2.41857E-4,12.019801363,0.30984114,0.576182839,0.097777778,0
2.44854E-4,12.263094919,0.312480978,0.572173216,0.102222222,0
2.47649E-4,12.509349057,0.314924885,0.568163593,0.102222222,0
2.49883E-4,12.758076579,0.316865702,0.56415397,0.102222222,0
2.563E-4,13.010439338,0.322379017,0.560144346,0.102222222,0
2.61569E-4,13.269693853,0.326840572,0.556134723,0.106666667,0
2.65474E-4,13.507293519,0.330109228,0.552526063,0.106666667,0
2.67985E-4,13.774138517,0.332194635,0.548516439,0.106666667,0
2.71512E-4,14.017078694,0.335101516,0.544907779,0.115555556,0
2.74649E-4,14.263046741,0.337665932,0.541299118,0.115555556,0
2.7741E-4,14.511801467,0.339906175,0.537690457,0.115555556,0
2.82416E-4,14.764209045,0.343930486,0.534081796,0.115555556,0
2.86368E-4,15.020417655,0.347072683,0.530473136,0.124444444,0
2.91495E-4,15.252212083,0.351104713,0.527265437,0.124444444,0
2.95401E-4,15.516191364,0.354143811,0.523656776,0.124444444,0
3.01574E-4,15.753959826,0.358888061,0.520449078,0.128888889,0
3.06054E-4,16.027744067,0.362288216,0.516840417,0.133333333,0
3.09127E-4,16.274256366,0.364599562,0.513632719,0.133333333,0
3.15703E-4,16.524996295,0.369490035,0.51042502,0.133333333,0
3.1907E-4,16.779058235,0.371964465,0.507217322,0.142222222,0
3.23015E-4,17.004046353,0.374839944,0.504410585,0.142222222,0
3.2536E-4,17.263563166,0.376536293,0.501202887,0.146666667,0
3.30595E-4,17.526334073,0.380290795,0.497995188,0.146666667,0
3.33968E-4,17.759114915,0.382686208,0.495188452,0.146666667,0
3.37851E-4,18.028026538,0.385420533,0.491980754,0.151111111,0
3.44481E-4,18.267394318,0.390034202,0.489174018,0.155555556,0
3.52842E-4,18.512176026,0.39575428,0.486367281,0.155555556,0
3.57756E-4,18.760484202,0.399066223,0.483560545,0.155555556,0
3.59979E-4,19.011994686,0.400552541,0.480753809,0.16,0
3.62832E-4,19.265051856,0.402449712,0.477947073,0.16,0
