Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.82482E-11,0.000000009,0.000000467,1,0,0
9.66413E-11,0.000000018,0.000000512,0.9999,0,0
1.06619E-10,0.000000029,0.000000565,0.9998,0,0
1.60403E-10,0.000000107,0.00000085,0.9992,0,0
2.91236E-10,0.000000272,0.000001543,0.9985,0,0
7.30221E-10,0.000001013,0.000003868,0.997,0,0
1.4477E-9,0.000002606,0.000007669,0.9955,0,0
4.77997E-9,0.000010199,0.00002532,0.9929,0,0
8.04196E-9,0.000025691,0.000042598,0.9905,0,0
1.58889E-8,0.000051292,0.00008416,0.9882,0,0
2.55233E-8,0.000101442,0.000135185,0.9858,0,0
4.50381E-8,0.000250867,0.000238521,0.9814,0,0
7.58762E-8,0.000504959,0.000401773,0.9771,0,0
1.35189E-7,0.00100433,0.000715614,0.9723,0,0
2.48966E-7,0.002521299,0.001317098,0.9642,0.000621118,0
4.80795E-7,0.005028487,0.002540417,0.9573,0.000621118,0.001114206
6.93202E-7,0.010049997,0.003658626,0.9488,0.000621118,0.001299907
1.24159E-6,0.025023483,0.00653405,0.9332,0.001242236,0.002042711
2.04439E-6,0.050055825,0.010713592,0.9179,0.001242236,0.003528319
3.10128E-6,0.100283583,0.016162723,0.8983,0.001242236,0.00538533
4.72021E-6,0.200438696,0.024394152,0.8725,0.00310559,0.010399257
6.22876E-6,0.300278817,0.031941356,0.8542,0.003726708,0.016713092
7.32264E-6,0.400644826,0.037341342,0.8394,0.004968944,0.022098422
8.36966E-6,0.500100008,0.042453893,0.8267,0.004968944,0.025812442
9.19112E-6,0.601074845,0.046427178,0.8152,0.004968944,0.028969359
9.89567E-6,0.700429877,0.049808787,0.8048,0.004968944,0.032126277
1.0201E-5,0.750783453,0.051266683,0.7998,0.005590062,0.03268338
1.05919E-5,0.800633346,0.053127106,0.795,0.005590062,0.03454039
1.13745E-5,0.900509579,0.056829183,0.7859,0.00621118,0.037883008
1.21919E-5,1.008856096,0.06066545,0.7767,0.008695652,0.041411328
1.28332E-5,1.100638207,0.063653167,0.7694,0.009937888,0.044011142
1.36125E-5,1.200956771,0.067258589,0.7618,0.011180124,0.048282266
1.4018E-5,1.300336959,0.069123958,0.7546,0.011180124,0.049953575
1.47371E-5,1.400042805,0.07241288,0.7477,0.011180124,0.053296193
1.53006E-5,1.504428819,0.074974415,0.7408,0.011180124,0.054967502
1.70934E-5,1.751301538,0.083029575,0.7255,0.01242236,0.062024141
1.83399E-5,2.001733661,0.088548412,0.7112,0.013043478,0.067595172
1.93172E-5,2.263835849,0.09282896,0.6974,0.016149068,0.073723305
2.06285E-5,2.51569493,0.09850969,0.6848,0.018012422,0.078365831
2.18007E-5,2.752088252,0.103527719,0.6737,0.019875776,0.083194058
2.31766E-5,3.023108187,0.109347495,0.6617,0.021118012,0.090250696
2.43478E-5,3.254680532,0.114241914,0.6519,0.02173913,0.095264624
2.55125E-5,3.593040219,0.119056072,0.6385,0.022981366,0.10176416
2.62194E-5,3.750818778,0.121952628,0.6324,0.024223602,0.104921077
2.74599E-5,4.001789745,0.126989618,0.6231,0.02484472,0.112349118
2.86202E-5,4.261790406,0.131649147,0.6139,0.026708075,0.119591458
2.98879E-5,4.501942411,0.136683406,0.6057,0.027950311,0.125348189
3.12595E-5,4.754706123,0.142064688,0.5974,0.030434783,0.131847725
3.2088E-5,5.037796484,0.14528284,0.5885,0.031677019,0.135747447
3.28711E-5,5.255381195,0.148302945,0.5818,0.034161491,0.140204271
3.37525E-5,5.50236584,0.151676313,0.5744,0.034782609,0.143918292
3.52545E-5,5.753143905,0.157363586,0.5671,0.037888199,0.150417827
3.6043E-5,6.005430425,0.160319213,0.5601,0.037888199,0.154317549
3.71649E-5,6.250464659,0.164488508,0.5534,0.041614907,0.159145775
3.84103E-5,6.503712097,0.16906841,0.5467,0.044720497,0.162859796
3.97783E-5,6.753841334,0.174041999,0.5403,0.049068323,0.170659239
4.03091E-5,7.002982726,0.175955834,0.5341,0.049689441,0.171773445
4.10726E-5,7.250209497,0.178692859,0.528,0.052173913,0.17455896
4.22072E-5,7.501419304,0.182727153,0.5219,0.053416149,0.179201486
4.32373E-5,7.75680462,0.186355929,0.516,0.054037267,0.184958217
4.44062E-5,8.002427422,0.190434291,0.5104,0.055279503,0.189415042
4.54031E-5,8.258969017,0.193880744,0.5047,0.056521739,0.19275766
4.67434E-5,8.503884531,0.198468142,0.4994,0.057142857,0.199257196
4.77996E-5,8.750209706,0.202046633,0.4942,0.059627329,0.205571031
4.887E-5,9.007081156,0.20564085,0.4889,0.061490683,0.211142061
5.01969E-5,9.25453851,0.21005134,0.4839,0.062732919,0.217455896
5.10117E-5,9.502936135,0.212735704,0.479,0.063354037,0.219312906
5.23257E-5,9.751174681,0.217026055,0.4742,0.065217391,0.224883937
5.33885E-5,10.000173774,0.220462435,0.4695,0.067080745,0.22915506
5.49985E-5,10.255478693,0.225610743,0.4648,0.068322981,0.236768802
5.6093E-5,10.505591144,0.229072256,0.4603,0.072049689,0.24178273
5.70777E-5,10.754979327,0.232160012,0.4559,0.074534161,0.245868152
5.84501E-5,11.021129206,0.236422233,0.4513,0.077018634,0.253296193
5.97569E-5,11.251613563,0.240437169,0.4474,0.07826087,0.261467038
6.05639E-5,11.504236529,0.242895672,0.4432,0.080124224,0.264995357
6.16186E-5,11.753517873,0.246084653,0.4391,0.081987578,0.269266481
6.2584E-5,12.002988273,0.248980229,0.4351,0.086956522,0.273909006
6.37335E-5,12.267588404,0.252398856,0.4309,0.088198758,0.279108635
6.47986E-5,12.502994458,0.25553898,0.4272,0.088819876,0.28189415
6.64076E-5,12.767863191,0.260232978,0.4232,0.092546584,0.286908078
6.74055E-5,13.000516781,0.263114775,0.4197,0.095031056,0.289693593
6.86818E-5,13.254017904,0.266767552,0.416,0.099378882,0.29452182
6.93517E-5,13.502375383,0.26867046,0.4124,0.100621118,0.297678737
7.01928E-5,13.753571046,0.271045885,0.4088,0.102484472,0.300464253
7.13897E-5,14.022692669,0.274399418,0.405,0.102484472,0.303249768
7.23825E-5,14.252952729,0.27715785,0.4018,0.10621118,0.306406685
7.35783E-5,14.501273929,0.280452421,0.3984,0.107453416,0.311792015
7.47025E-5,14.760968234,0.283522568,0.3949,0.111801242,0.316248839
7.55059E-5,15.016224953,0.285700504,0.3915,0.11242236,0.318291551
7.6315E-5,15.259145808,0.287880622,0.3882,0.116149068,0.321634169
7.75039E-5,15.500099895,0.291060107,0.3851,0.119875776,0.326090994
7.90897E-5,15.760658197,0.2952573,0.3818,0.122981366,0.331476323
8.00222E-5,16.002646103,0.297701928,0.3788,0.12484472,0.334818942
8.10679E-5,16.252475294,0.300423566,0.3757,0.126708075,0.339461467
8.2457E-5,16.505732256,0.304006263,0.3726,0.130434783,0.344103993
8.30073E-5,16.770489163,0.305415545,0.3694,0.133540373,0.346146704
8.40879E-5,17.004470482,0.308166231,0.3666,0.133540373,0.351160631
8.52527E-5,17.25028644,0.311106957,0.3637,0.137267081,0.35450325
8.68814E-5,17.500090706,0.315177201,0.3608,0.139751553,0.361559889
8.82187E-5,17.754351845,0.318483582,0.3579,0.140993789,0.366388115
8.90328E-5,18.002532548,0.320480681,0.3551,0.143478261,0.369545032
9.00004E-5,18.253571526,0.322839203,0.3523,0.148447205,0.373816156
9.15186E-5,18.502108018,0.326506839,0.3495,0.152795031,0.381058496
9.28104E-5,18.766825873,0.329596521,0.3467,0.154037267,0.38718663
9.38034E-5,19.000189602,0.331952398,0.3442,0.154658385,0.388486537
9.43972E-5,19.25439711,0.333353284,0.3415,0.157142857,0.390157846
9.58245E-5,19.502000346,0.336696512,0.3389,0.159627329,0.397028784
9.72207E-5,19.753236123,0.339934677,0.3363,0.162111801,0.400928505
9.8241E-5,20.001863685,0.342281152,0.3337,0.164596273,0.405942433
9.92954E-5,20.254606902,0.344688421,0.3312,0.165217391,0.409842154
1.00639E-4,20.504613886,0.34773103,0.3286,0.170807453,0.413741876
1.01906E-4,20.778046647,0.350573712,0.326,0.173291925,0.417084494
1.03119E-4,21.001362678,0.353273473,0.3238,0.176397516,0.422284123
1.0485E-4,21.252869927,0.357085711,0.3214,0.178881988,0.429526462
1.05934E-4,21.505734698,0.35944943,0.319,0.180745342,0.433983287
1.07087E-4,21.750752071,0.361947105,0.3167,0.182608696,0.437511606
1.07973E-4,22.009122546,0.363851175,0.3142,0.18447205,0.440482823
1.08945E-4,22.252898926,0.365927272,0.312,0.188819876,0.444382544
1.10388E-4,22.506085897,0.368987488,0.3097,0.19378882,0.44902507
1.11704E-4,22.75539081,0.371750032,0.3075,0.195652174,0.451439183
1.129E-4,23.002251226,0.374239789,0.3053,0.199378882,0.454224698
1.13878E-4,23.251639953,0.376263494,0.3031,0.204347826,0.45812442
1.14673E-4,23.514418425,0.37789599,0.3008,0.206832298,0.460167131
1.15507E-4,23.750468466,0.379602628,0.2987,0.208695652,0.464252553
1.17134E-4,24.023605008,0.382902052,0.2964,0.211180124,0.471123491
1.17912E-4,24.270625427,0.384467313,0.2943,0.21242236,0.472237697
1.18893E-4,24.507599602,0.386430437,0.2922,0.213664596,0.476137419
1.20233E-4,24.757661422,0.389091239,0.2902,0.21863354,0.480965645
1.2149E-4,25.000602638,0.391565468,0.2882,0.22173913,0.484679666
1.23338E-4,25.325592088,0.395168781,0.2855,0.225465839,0.490436397
1.24082E-4,25.505311631,0.396606794,0.2841,0.226708075,0.491922006
1.25514E-4,25.750561058,0.399355662,0.2821,0.227950311,0.494707521
1.2731E-4,26.020472775,0.402768071,0.28,0.232298137,0.499535747
1.28633E-4,26.250890243,0.405256866,0.2782,0.236645963,0.503064067
1.29873E-4,26.509451042,0.407572735,0.2762,0.237267081,0.506220984
1.30987E-4,26.757645141,0.409635799,0.2743,0.239130435,0.510306407
1.32491E-4,27.008199713,0.412399241,0.2724,0.240372671,0.513091922
1.33436E-4,27.274394532,0.414122904,0.2704,0.241614907,0.517734448
1.34475E-4,27.502070644,0.416006891,0.2687,0.242857143,0.519405757
1.35355E-4,27.758328251,0.417591921,0.2668,0.245341615,0.521634169
1.36282E-4,28.016372549,0.419253101,0.2649,0.245962733,0.524605385
1.37021E-4,28.260117263,0.420569131,0.2631,0.247204969,0.526276695
1.38289E-4,28.593195759,0.422815832,0.2607,0.250310559,0.531662024
1.39026E-4,28.759718026,0.424113119,0.2595,0.254658385,0.534261838
1.41246E-4,29.011917565,0.427988436,0.2577,0.259006211,0.541132776
1.42399E-4,29.252988856,0.429978973,0.256,0.262111801,0.54354689
1.43281E-4,29.51013892,0.431493361,0.2542,0.264596273,0.5454039
1.44172E-4,29.754481136,0.433014647,0.2525,0.267701863,0.547632312
1.4492E-4,30.000131069,0.434285495,0.2508,0.268322981,0.549860724
1.46022E-4,30.260499592,0.436148012,0.249,0.270807453,0.552089136
1.47237E-4,30.511542929,0.438186767,0.2473,0.274534161,0.555060353
1.47991E-4,30.756912262,0.439444543,0.2456,0.27515528,0.556917363
1.48914E-4,31.022657382,0.440976921,0.2438,0.277639752,0.558588672
1.4965E-4,31.283627472,0.442192239,0.242,0.279503106,0.561374188
1.50311E-4,31.523797645,0.44327925,0.2404,0.280745342,0.563788301
1.51554E-4,31.750287124,0.445312566,0.239,0.28447205,0.566759517
1.52592E-4,32.008703164,0.446999999,0.2372,0.288198758,0.568987929
1.53549E-4,32.25367432,0.448546132,0.2356,0.290062112,0.571402043
1.54716E-4,32.500135614,0.450419177,0.2341,0.291925466,0.57455896
1.55571E-4,32.763885587,0.451784053,0.2324,0.29378882,0.577344475
1.56547E-4,33.008877406,0.453333416,0.2308,0.294409938,0.580315692
1.58469E-4,33.265654854,0.456358524,0.2291,0.296273292,0.585329619
