Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.94397E-13,0.000000001,0.000000006,0.9972,0,0
1.86813E-12,0.000000003,0.000000013,0.9961,0,0
5.9363E-12,0.00000001,0.000000041,0.9938,0,0
1.68223E-11,0.000000027,0.000000116,0.9923,0,0
6.77554E-11,0.000000106,0.000000469,0.9901,0,0
1.15083E-10,0.000000258,0.000000797,0.9886,0,0
3.85979E-10,0.000001031,0.000002672,0.9854,0,0
9.31382E-10,0.000002503,0.000006447,0.9829,0,0
3.25315E-9,0.000010306,0.000022518,0.9784,0,0
8.74632E-9,0.000025028,0.00006054,0.9755,0,0
1.39547E-8,0.000051237,0.000096588,0.9731,0,0
2.33652E-8,0.000101588,0.000161711,0.9704,0,0
4.45295E-8,0.000251876,0.000308145,0.966,0,0
7.85443E-8,0.000505557,0.0005434,0.9621,0,0.00058326
1.33709E-7,0.001002793,0.000924699,0.9574,0,0.001166521
2.96078E-7,0.002516965,0.002045303,0.9503,0,0.003499563
4.74745E-7,0.005039052,0.00327549,0.9437,0,0.006124234
7.9039E-7,0.010045961,0.005441426,0.9359,0,0.011665209
1.60729E-6,0.025097209,0.011003485,0.9229,0,0.023038787
2.54651E-6,0.05021335,0.017321989,0.9106,0,0.031204433
3.71465E-6,0.100362241,0.025068737,0.8943,0,0.04141149
5.84279E-6,0.200384599,0.038872468,0.8733,0,0.059200933
7.44592E-6,0.300632113,0.049015409,0.8583,0,0.067658209
8.93528E-6,0.400293536,0.058248554,0.8462,0,0.074948965
1.04769E-5,0.500020834,0.067618662,0.836,0.004016064,0.08223972
1.18226E-5,0.601045112,0.075646823,0.8269,0.004016064,0.086905803
1.31236E-5,0.700336749,0.083278281,0.819,0.004016064,0.094779819
1.38672E-5,0.750204166,0.087583316,0.8153,0.004016064,0.0965296
1.43901E-5,0.801232138,0.090587269,0.8117,0.004016064,0.098571012
1.55084E-5,0.901404672,0.096944323,0.805,0.004016064,0.103237095
1.66546E-5,1.000658624,0.103368843,0.7988,0.004016064,0.107028288
1.74374E-5,1.10147182,0.107703762,0.7929,0.004016064,0.11023622
1.82721E-5,1.201773587,0.1122806,0.7873,0.004016064,0.112860892
1.94502E-5,1.301693072,0.118660782,0.782,0.008032129,0.116652085
2.03455E-5,1.401133096,0.123448763,0.777,0.008032129,0.120151648
2.13283E-5,1.501517016,0.128644912,0.7722,0.008032129,0.12335958
2.33222E-5,1.750627511,0.13899964,0.761,0.016064257,0.129775445
2.55318E-5,2.000842639,0.150190774,0.7507,0.016064257,0.134733158
2.76961E-5,2.252622757,0.16087433,0.7412,0.016064257,0.139982502
2.96887E-5,2.502052499,0.170475034,0.7325,0.016064257,0.144648586
3.18703E-5,2.750466631,0.180738005,0.7244,0.016064257,0.148439778
3.36456E-5,3.000511821,0.188904167,0.7168,0.016064257,0.152522601
3.53719E-5,3.252155904,0.196690185,0.7095,0.016064257,0.156897055
