Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.94397E-12,0.000000001,0.000000018,0.9997,0,0
6.59243E-12,0.000000003,0.00000002,0.9995,0,0
1.17505E-11,0.000000011,0.000000036,0.9987,0,0
1.43648E-11,0.000000026,0.000000044,0.9975,0,0
3.09617E-11,0.000000106,0.000000094,0.9941,0,0
6.30457E-11,0.000000255,0.000000192,0.9909,0,0
2.15397E-10,0.000001021,0.000000656,0.9843,0,0
4.45499E-10,0.000002515,0.000001356,0.9797,0,0
1.47261E-9,0.000010114,0.000004483,0.9709,0,0
2.92961E-9,0.000025055,0.000008919,0.9639,0,0
5.18439E-9,0.000050153,0.000015784,0.9578,0,0
9.26412E-9,0.000100038,0.000028204,0.9507,0,0
1.7735E-8,0.000251078,0.000053991,0.9392,0,0
2.83244E-8,0.000501803,0.000086226,0.9282,0,0
5.12543E-8,0.001001255,0.000156019,0.9153,0,0.000531067
1.03523E-7,0.002500253,0.000315077,0.8953,0,0.003983006
1.70893E-7,0.005016543,0.000520011,0.8768,0,0.007169411
3.03344E-7,0.010025658,0.000922677,0.8547,0,0.016994158
6.7313E-7,0.02503007,0.002045148,0.8223,0,0.040095592
1.19928E-6,0.05002431,0.003637915,0.7949,0,0.060541689
2.20947E-6,0.100138331,0.006681759,0.7649,0,0.083643123
3.97553E-6,0.200255366,0.011958741,0.7322,0,0.1133829
5.41901E-6,0.300613057,0.016230366,0.7107,0,0.134891131
6.7889E-6,0.400099309,0.020250217,0.6945,0,0.158789166
7.97678E-6,0.500768017,0.023709462,0.6808,0,0.174455656
9.05881E-6,0.600403022,0.026839281,0.6691,0,0.19118428
9.99352E-6,0.700477787,0.029526834,0.6586,0,0.201540096
1.04298E-5,0.752585326,0.030776351,0.6535,0,0.206585236
1.07452E-5,0.80030766,0.031677452,0.6489,0,0.209240574
1.16106E-5,0.900140378,0.034141673,0.64,0,0.219596389
1.24712E-5,1.000086324,0.036579671,0.6318,0,0.22968667
1.33246E-5,1.102596138,0.038985142,0.6238,0,0.244556559
1.38933E-5,1.200899348,0.040581616,0.6166,0,0.250929368
1.46717E-5,1.300051994,0.042757966,0.6096,0,0.262081784
1.53632E-5,1.400300316,0.044683061,0.603,0,0.27031333
1.60493E-5,1.505430687,0.04658585,0.5963,0,0.27748274
1.76747E-5,1.750342363,0.051062902,0.5817,0,0.298990972
1.91937E-5,2.000401818,0.055209079,0.5682,0,0.314391928
2.06083E-5,2.258815617,0.05903783,0.5552,0,0.32527881
2.19658E-5,2.502255833,0.062682745,0.5437,0,0.341210834
2.34642E-5,2.766669607,0.066673726,0.5322,0,0.353690919
2.48443E-5,3.001336708,0.070319447,0.5225,0,0.362984599
2.61441E-5,3.251129311,0.073727123,0.5127,0,0.373074881
2.74382E-5,3.500202393,0.077095236,0.5034,0,0.382103027
2.87207E-5,3.761520407,0.080409094,0.494,0,0.391131174
2.9944E-5,4.013706054,0.083547703,0.4854,0,0.401221455
3.12193E-5,4.252146549,0.086797258,0.4777,0,0.411311737
3.2549E-5,4.500743042,0.090160769,0.4699,0,0.420074349
3.39354E-5,4.766544277,0.093641393,0.4618,0,0.425916091
3.49692E-5,5.022339007,0.096219575,0.4545,0,0.431757833
3.62352E-5,5.254658885,0.099357055,0.448,0,0.440254912
3.78054E-5,5.53375532,0.103218186,0.4405,0,0.449017525
3.89265E-5,5.788606216,0.105954538,0.4338,0,0.457249071
3.98586E-5,6.000448969,0.108217215,0.4285,0,0.462825279
4.08011E-5,6.250047311,0.110493414,0.4223,0,0.468667021
4.20545E-5,6.515156495,0.11350231,0.4158,0,0.474508763
4.30793E-5,6.753800326,0.115947625,0.4103,0,0.478757302
4.44015E-5,7.029422915,0.11908255,0.404,0,0.484864578
4.54415E-5,7.268141842,0.121532701,0.3986,0,0.489378651
4.68321E-5,7.508807679,0.124787818,0.3935,0,0.495220393
4.79465E-5,7.765223888,0.127379036,0.388,0,0.501327669
4.91222E-5,8.017219396,0.130096017,0.3829,0,0.507169411
5.00316E-5,8.258556789,0.132186117,0.378,0,0.511683484
5.12185E-5,8.525876459,0.134898914,0.3727,0,0.518056293
5.24065E-5,8.753674823,0.137597338,0.3684,0,0.523366968
5.34709E-5,9.034785976,0.140000882,0.3631,0,0.529739777
5.4619E-5,9.250849601,0.142578362,0.3591,0,0.533457249
5.53891E-5,9.506155597,0.14429839,0.3544,0,0.537705789
5.68233E-5,9.784409556,0.147483765,0.3495,0,0.544344132
5.78626E-5,10.00239999,0.149777272,0.3457,0,0.548327138
5.91464E-5,10.278137311,0.152593289,0.3409,0,0.553903346
6.08807E-5,10.505758609,0.15636796,0.3372,0,0.55921402
6.23625E-5,10.752406168,0.159566572,0.3332,0,0.565321296
6.36307E-5,11.042334386,0.16228482,0.3286,0,0.570897504
6.46099E-5,11.267526429,0.164371769,0.325,0,0.572490706
6.59649E-5,11.502580713,0.167242378,0.3215,0,0.578066914
6.71861E-5,11.755191668,0.169812943,0.3177,0,0.581518853
6.81499E-5,12.002318697,0.171830367,0.314,0,0.58417419
6.99775E-5,12.253729008,0.175629032,0.3104,0,0.59346787
7.11581E-5,12.557852897,0.178064458,0.306,0,0.596919809
7.21916E-5,12.751592678,0.180184582,0.3034,0,0.59984068
7.35433E-5,13.006154369,0.182941179,0.2999,0,0.603558152
7.51512E-5,13.252459632,0.186196225,0.2966,0,0.610462029
7.65891E-5,13.556056102,0.189085177,0.2926,0,0.615507169
7.77263E-5,13.753435393,0.191355515,0.29,0,0.618693574
7.91382E-5,14.001649916,0.194156473,0.2868,0,0.622942114
