X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-57.95,-34.92,train,8.058803840453225E-5,18.508931773178578,0.3837721610492922
-58.46,-34.59,train,1.1052910149794632E-4,28.49210818094533,0.460671633805555
-64.19,-31.4,train,1.0637340102715294E-4,27.12316875208443,0.4511655768584843
-64.17,-31.32,train,1.3257465161455796E-4,36.71388394766517,0.5060566902073309
-60.05,-26.93,train,1.529492322257145E-4,47.124754785387815,0.5416999380280961
-58.37,-34.61,train,5.967354599132725E-5,9.859650865295963,0.31560816693969457
-63.81,-22.55,train,1.3198390978680217E-4,36.5288565911413,0.5049403567962679
-63.76,-22.28,train,1.0077439538624787E-4,25.3627498545052,0.43781521919538424
-63.72,-22.07,train,5.277910319671564E-5,7.830042872659701,0.28970800498461546
-64.21,-31.46,train,1.353661002336445E-4,37.95882249698117,0.5112643467831186
-64.11,-31.45,train,1.2478321394012557E-4,33.552638125032864,0.49091599814880826
-64.27,-31.4,train,1.1322388178813452E-4,29.353982587072952,0.46666182745246393
-64.13,-31.39,train,1.3054166691342222E-4,36.02210984714093,0.5021936142277986
-64.24,-31.36,train,9.365560461792612E-5,22.88456930626107,0.4198732642181778
-64.16,-31.36,train,1.313003133935181E-4,36.33157362085541,0.5036422402920113
-58.99,-27.46,train,1.6858435658713119E-4,62.50286679003438,0.5657466657687586
-54.57,-25.62,train,1.0170265304919023E-4,25.641689188399653,0.44007330463216743
-54.59,-25.6,train,1.1318537114896372E-4,29.340894145994582,0.4665771599846647
-54.57,-25.6,train,1.2426382978598209E-4,33.332386101054546,0.4898736387652599
-64.32,-23.14,train,1.38502100867749E-4,39.33199970637495,0.5169853479653045
-64.33,-23.13,train,1.4550133553871078E-4,42.760591520485924,0.5292832790306055
-63.82,-22.53,train,1.4257458367364676E-4,41.297836751935556,0.5242178616985966
-58.5,-34.58,train,8.109220508883136E-5,18.674818395353114,0.38524812885984
-63.68,-22.02,train,1.1144317713108004E-4,28.854868060344426,0.4627185441211601
-54.59,-25.97,train,5.887732071395004E-5,9.640745829400574,0.3127138911346143
-54.59,-25.96,train,6.272855040806774E-5,10.916169888883696,0.32649049856593154
-57.72,-25.28,train,1.328535992984512E-4,36.80701643465936,0.5065820736231657
-58.5,-34.67,train,1.483458198210768E-4,44.332470467093785,0.534104018896325
-58.46,-34.56,train,3.108130082430713E-5,2.352774364115941,0.19367403489006987
-64.17,-31.4,train,1.1539501873521581E-4,30.146402304261514,0.47139208855665926
-66.58,-31.33,train,6.683981478979649E-5,12.825317466615537,0.3406005717875086
-61.48,-31.25,train,1.391166997235867E-4,39.635514998390015,0.5180908988830774
-59.65,-29.1,train,1.6758321070311689E-4,61.343992428116984,0.5642827812452507
-64.27,-27.78,train,1.7450598323171912E-4,68.16879743627835,0.5742080840398606
-65.27,-26.93,train,6.0040455890136596E-5,9.984195971633978,0.31693369424602363
-55.03,-26.81,train,1.0044355686534634E-4,25.26936660938437,0.4370060106098239
-64.78,-23.82,train,1.363862977979449E-4,38.37322518050917,0.5131403072998296
-54.58,-25.92,train,3.980731683722877E-5,4.02294896172642,0.23525593534291664
