X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-57.95,-34.92,train,1.4583615037928333E-5,0.9093311437136135,0.08938882339364908
-58.46,-34.59,train,6.787693109246295E-5,12.916218990736072,0.31360419901844505
-64.17,-31.32,train,1.0081966954850741E-4,19.82011918538703,0.40427459095741464
-60.05,-26.93,train,9.739648193229748E-5,19.12956176264738,0.395983519318637
-63.81,-22.55,train,1.1746026070411845E-4,23.087495336294445,0.441538882443052
-63.76,-22.28,train,3.073238500971232E-5,3.7211364536619027,0.17140504570770865
-63.72,-22.07,train,4.889244696159767E-5,8.16864912172744,0.247610712287952
-64.13,-31.39,train,9.672050190241616E-5,18.999678406619562,0.394318912304602
-58.99,-27.46,train,9.344395221048523E-5,18.443336610105725,0.386118601783344
-54.57,-25.62,train,9.0069412717453E-5,17.79523659762769,0.37743765911898686
-64.32,-23.14,train,1.0920882240442737E-4,21.531591036925082,0.42366229221984353
-63.68,-22.02,train,6.915745901227871E-5,13.217483832277718,0.3176412246214944
-54.59,-25.97,train,4.752461919374074E-5,7.821840159779461,0.24236238876755872
-57.72,-25.28,train,1.5586773914416966E-4,32.938991972912845,0.51199490825812
-58.5,-34.67,train,2.72807589567295E-5,2.9651818281063926,0.15514074324548402
-58.46,-34.56,train,3.0790486483344916E-5,3.735909197024433,0.171673466440547
-66.58,-31.33,train,3.7120168364208504E-5,5.070164267066244,0.1999097470450312
-61.48,-31.25,train,8.495220299944474E-5,16.669961567575772,0.3637950268001537
-59.65,-29.1,train,1.3595201147549485E-4,27.608300518730776,0.47783528214116266
-64.27,-27.78,train,7.748387537481291E-5,15.152125143162658,0.34277568580811185
-65.27,-26.93,train,4.043749882497062E-5,5.9113374720492695,0.21395279556277152
-54.58,-25.92,train,5.091103098604015E-5,8.714306577700922,0.2552244844870554
-68.05,-38.95,train,1.1163756325911834E-4,21.957748671677642,0.42904186185218995
-58.69,-34.54,train,2.190326460371012E-5,1.9181224375731323,0.12848921303643168
-63.73,-22.24,train,8.639698347036257E-5,16.943191412862998,0.36770705799216175
-57.9,-35.88,train,7.759133096635843E-6,0.30753660262932986,0.049635071876740836
-65.17,-26.85,train,7.023759856600285E-5,13.445971691201532,0.3210097609433955
-57.81,-36.09,train,1.3244579654130956E-5,0.7632674445959652,0.08185314713725685
-65.74,-27.38,train,4.891743206245091E-5,8.174974070343087,0.24770590340360124
-65.66,-27.34,train,6.258897228764844E-5,11.681624136260448,0.2964146484144434
-63.23,-32.4,train,2.2800106818564616E-5,2.0773546088706496,0.13305029383514974
-60.5,-31.73,train,9.866746469682434E-5,19.36346997112945,0.39908867864436026
-66.85,-29.42,train,3.299834012370376E-5,4.184864459441914,0.18174614480250884
-65.78,-28.47,train,7.601952778331685E-5,14.817758544093529,0.3384904078429804
-55.13,-27.88,train,7.166677041761885E-5,13.78128678307276,0.3254160102622502
-58.83,-27.47,train,9.464934817922168E-5,18.643563525806368,0.3891610694326345
-55.91,-27.4,train,1.3145708087423415E-4,26.374243984373802,0.46945344798547506
-55.88,-27.37,train,1.4855820298359003E-4,30.828421248952765,0.4999894598952139
-65.22,-26.8,train,3.693127167150327E-5,5.020606598918969,0.19909498761051864
-53.65,-26.25,train,5.674067991980794E-6,0.17607459427419808,0.03678761610807983
-57.9,-25.85,train,1.2483110809713186E-4,24.715358677040328,0.4565952039659584
-65.42,-24.78,train,7.99424286427782E-5,15.71529981627438,0.34984689906493155
-61.85,-23.88,train,1.9786564991827797E-4,53.965906277554,0.5711560300410359
-49.92,-22.44,train,1.9133013750348532E-4,48.92996563537153,0.5629101942508925
-49.08,-22.33,train,1.8229774130158855E-4,42.994557843335386,0.5509778302348866
-49.06,-22.31,train,1.9986051635713874E-4,55.65041430843653,0.5736113259742656
-49.93,-22.21,train,1.7316118253054723E-4,39.29514905711514,0.5382262281872966
-50.36,-22.01,train,1.0713635165356495E-4,21.08053350202271,0.4189910398901701
-50.31,-21.3,train,1.444601290713511E-4,29.64186168065237,0.4929965992890601
-50.63,-21.25,train,1.3705077342415753E-4,27.886748279667966,0.47984405003214536
-47.8,-21.19,train,1.9254111152356467E-4,49.86600817136672,0.5644619261294463
-49.17,-20.95,train,2.231645392743953E-4,74.99676714006287,0.6003420122529659
-49.38,-20.8,train,2.131220964331764E-4,67.14098004016321,0.5892452701825972
-49.98,-20.4,train,2.1199700667801923E-4,66.03673572341967,0.5879635582612837
-50.78,-20.38,train,2.0184205886117316E-4,57.21037023958026,0.576022546142643
-50.23,-20.26,train,2.0505851743152795E-4,60.06386328061519,0.5798789298549029
-48.06,-16.03,train,2.4390790849740433E-4,88.11966901660266,0.6214651631628954
-47.99,-15.83,train,2.2246673953050389E-4,74.46404398727661,0.5995903740159587
-47.93,-15.77,train,2.5783201180877525E-4,94.63535209749762,0.6344346608278635
