Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.62849E-11,0.000000002,0.000000049,1,0,0
2.60154E-11,0.000000004,0.000000078,0.9999,0,0
5.74287E-11,0.000000015,0.000000172,0.9997,0,0
1.08566E-10,0.000000036,0.000000325,0.9995,0,0
1.64205E-10,0.000000105,0.000000491,0.999,0,0
2.49447E-10,0.000000263,0.000000747,0.9983,0,0
3.88375E-10,0.000001008,0.000001162,0.996,0,0
5.96121E-10,0.000002538,0.000001784,0.9929,0,0
1.19959E-9,0.00001006,0.00000359,0.9841,0,0
2.46259E-9,0.000025116,0.000007371,0.9756,0,0
4.41373E-9,0.000050436,0.00001321,0.968,0,0.000136631
8.20815E-9,0.000100672,0.000024567,0.9599,0,0.000136631
1.60448E-8,0.000250361,0.000048021,0.947,0,0.000409892
3.00581E-8,0.000500893,0.000089958,0.9357,0,0.000409892
5.1168E-8,0.001002867,0.000153125,0.9231,0,0.000409892
1.14378E-7,0.002510068,0.000342224,0.9039,0,0.000956415
1.85892E-7,0.005000609,0.000556076,0.8874,0,0.001502938
3.25984E-7,0.010029877,0.000974739,0.8674,0,0.002595983
7.12091E-7,0.025044266,0.002126801,0.8377,0,0.009290887
1.22993E-6,0.050080425,0.003667771,0.8119,0,0.016259052
2.06987E-6,0.100017813,0.006157106,0.7811,0,0.028419183
3.64922E-6,0.200208887,0.010804343,0.745,0,0.049596939
5.30102E-6,0.300030699,0.015618472,0.7224,0,0.067222298
6.6138E-6,0.400300281,0.019411281,0.7055,0,0.079792321
7.80288E-6,0.50036457,0.02282154,0.6916,0,0.095914742
8.91886E-6,0.600441594,0.026000644,0.6796,0,0.108074874
9.7494E-6,0.700140739,0.028353204,0.6689,0,0.120918158
1.01986E-5,0.750975138,0.029620986,0.6638,0,0.126520016
1.05915E-5,0.800902995,0.030726922,0.659,0,0.130618937
1.15649E-5,0.90047357,0.033456415,0.65,0,0.144828528
1.25063E-5,1.002582099,0.036081421,0.6415,0,0.156032245
1.32511E-5,1.100674561,0.038148368,0.6339,0,0.162727149
