X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-72.25,18.56,train,0.002285193017285849,92.3809075214152,0.8764221937442714
-73.93,18.09,train,0.001338755338291496,86.02407070574024,0.8060064449157386
-73.75,18.2,train,0.0016592234910455304,88.45417943230093,0.83738196205562
-72.4,18.23,train,4.5332867989680766E-4,61.811327109211646,0.5845277951600915
-73.86,18.33,train,5.459505793370537E-4,67.15262357186559,0.6288530782212609
-74.45,18.49,train,9.165438713776766E-4,79.85160229014376,0.7398869628077389
-73.89,18.57,train,6.159291854899635E-4,70.98141898110008,0.6565377959797852
-74.12,18.65,train,0.0015064121835648538,87.08071183043774,0.8237926244458476
-72.09,18.65,train,0.0013767320612153584,86.2503429788373,0.8103427929921122
-72.51,18.77,train,0.0017159052857216464,88.92231584685585,0.8419044959047551
-72.1,18.83,train,0.0017210283484885816,88.93678056812452,0.8423008911465029
-72.47,19.05,train,0.0026812218130726232,94.6751306765688,0.8927169658591972
-72.41,18.54,train,0.0014654283211993097,86.96033388855368,0.8197528666221625
-72.33,18.53,train,0.0017091119655952072,88.90313523428324,0.841375781561192
-82.36,23.14,train,0.001114729101097742,83.18819830129827,0.775762018002307
-89.14,17.07,test,1.0797082157393684E-4,18.165251472375925,0.2509846326115901
-92.27,14.9,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-92.25,14.92,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-92.19,14.84,test,9.332175163999995E-5,15.222565181840977,0.2245795187029104
-92.23,14.88,test,2.2737053662656964E-4,39.13849571867098,0.413710364108549
-92.26055999999997,14.908059999999999,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-92.26055599999998,14.908055999999995,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-92.16527799999997,14.989166999999997,test,3.0429855509581786E-5,3.595280983439192,0.08628959991650001
-92.25158299999998,14.922916999999998,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-92.16805599999999,14.938888999999994,test,1.4380559397658485E-4,25.348020170965434,0.3085799706775203
-92.19111099999998,14.836110999999997,test,9.332175163999995E-5,15.222565181840977,0.2245795187029104
-92.25999999999999,14.909999999999998,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-92.22999999999998,14.879999999999995,test,2.2737053662656964E-4,39.13849571867098,0.413710364108549
-92.18999999999998,14.839999999999996,test,9.332175163999995E-5,15.222565181840977,0.2245795187029104
-92.24999999999997,14.919999999999996,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-92.26999999999998,14.899999999999999,test,1.8465306096607665E-4,32.213102633944324,0.36429975921874447
-88.56999999999998,15.719999999999997,test,1.159631949897269E-4,19.874202003003553,0.2646465799917638
-88.58999999999999,15.729999999999997,test,1.159631949897269E-4,19.874202003003553,0.2646465799917638
-88.54999999999998,15.719999999999997,test,1.159631949897269E-4,19.874202003003553,0.2646465799917638
-88.60999999999997,15.679999999999998,test,9.78670442645284E-5,16.106179935823427,0.23296951440604244
-88.56999999999998,15.709999999999999,test,1.159631949897269E-4,19.874202003003553,0.2646465799917638
-88.67999999999998,15.729999999999997,test,2.9035842106762727E-4,46.98077979530272,0.47399530714590615
-88.60999999999997,15.689999999999996,test,9.78670442645284E-5,16.106179935823427,0.23296951440604244
-88.61999999999999,15.689999999999996,test,9.78670442645284E-5,16.106179935823427,0.23296951440604244
-88.57999999999997,15.679999999999998,test,1.2110296433002444E-4,20.88383986162308,0.27317210882455
-88.62999999999997,15.679999999999998,test,9.78670442645284E-5,16.106179935823427,0.23296951440604244
-88.63999999999999,15.719999999999997,test,2.9035842106762727E-4,46.98077979530272,0.47399530714590615
-88.57999999999997,15.699999999999996,test,1.159631949897269E-4,19.874202003003553,0.2646465799917638
-89.13999999999999,17.069999999999997,test,1.0797082157393684E-4,18.165251472375925,0.2509846326115901
-89.14,17.07,test,1.0797082157393684E-4,18.165251472375925,0.2509846326115901
-89.13999999999999,17.069999999999997,test,1.0797082157393684E-4,18.165251472375925,0.2509846326115901
-43.03,-22.08,test,2.3044310499863117E-5,2.4212553177899987,0.06674432635864751
