Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.32415E-9,0.000000132,0.000010272,1,0,0
2.09054E-9,0.000000341,0.000016216,0.9999,0,0
3.87738E-9,0.000001386,0.000030077,0.9996,0,0
6.7489E-9,0.000002521,0.00005235,0.9994,0,0
1.39033E-8,0.000010946,0.000107838,0.9986,0,0
2.54306E-8,0.000026337,0.000197231,0.9978,0,0
3.71563E-8,0.000051998,0.000288145,0.997,0,0
4.56978E-8,0.000102009,0.00035436,0.9958,0,0
8.24913E-8,0.000257385,0.00063949,0.9933,0,0
1.22029E-7,0.00050889,0.000945703,0.9908,0,0
1.92289E-7,0.001002901,0.001489401,0.9876,0,0
3.99566E-7,0.002505913,0.003089924,0.9825,0,0
7.56254E-7,0.005009214,0.00583218,0.9782,0,0
1.3873E-6,0.010078226,0.010646947,0.9735,0,0
2.44004E-6,0.025121665,0.018576229,0.9658,0,0
3.78044E-6,0.050151003,0.028490052,0.9576,0,0
5.88365E-6,0.100405243,0.043648361,0.9473,0,0
9.22076E-6,0.200430363,0.066752383,0.9338,0,0
1.18572E-5,0.300022714,0.084231164,0.9244,0,0
1.41047E-5,0.400836886,0.098622004,0.9166,0.000303767,0
1.64508E-5,0.500895979,0.113169733,0.9101,0.000607533,0
1.80757E-5,0.601621429,0.122973527,0.9043,0.000607533,0
1.98314E-5,0.70089737,0.133325551,0.8991,0.001215067,0
2.04163E-5,0.751247769,0.136720176,0.8966,0.001518834,0
2.1253E-5,0.80129097,0.141530319,0.8942,0.002126367,0
2.28568E-5,0.900111189,0.150601977,0.8897,0.002430134,0
2.41315E-5,1.001705058,0.1576764,0.8854,0.003341434,0
2.52564E-5,1.100337672,0.1638223,0.8814,0.003948967,0
2.64292E-5,1.20160632,0.170135547,0.8775,0.003948967,0
2.74272E-5,1.301429781,0.175432671,0.8738,0.003948967,0
2.83363E-5,1.401981513,0.18019984,0.8702,0.005164034,0
2.94177E-5,1.500333322,0.185798978,0.8668,0.006379101,0
3.13936E-5,1.750910026,0.195834742,0.8586,0.007897934,0.005420054
3.27889E-5,2.00147171,0.202773975,0.8508,0.008505468,0.010840108
3.41173E-5,2.25282192,0.209269615,0.8433,0.008809235,0.013550136
3.55644E-5,2.500105795,0.21622646,0.8362,0.009416768,0.013550136
3.66956E-5,2.752918235,0.221580224,0.8292,0.010328068,0.013550136
3.76146E-5,3.002530532,0.225875907,0.8225,0.010935601,0.013550136
3.86705E-5,3.250525707,0.230753493,0.816,0.011239368,0.013550136
3.94881E-5,3.500365118,0.234488403,0.8096,0.012150668,0.013550136
4.03897E-5,3.751993453,0.238565247,0.8033,0.013669502,0.013550136
4.12465E-5,4.000898135,0.242398845,0.7972,0.013669502,0.013550136
4.19929E-5,4.250718164,0.24570783,0.7912,0.015795869,0.013550136
4.28847E-5,4.501530622,0.249623064,0.7853,0.017314702,0.013550136
4.36156E-5,4.752730362,0.252801955,0.7795,0.017618469,0.013550136
4.44481E-5,5.004128332,0.256390289,0.7738,0.018226002,0.013550136
4.521E-5,5.251112199,0.259644256,0.7683,0.018529769,0.013550136
4.59879E-5,5.501860731,0.262936786,0.7628,0.019744836,0.013550136
4.6553E-5,5.751461212,0.265310757,0.7574,0.020959903,0.013550136
4.73199E-5,6.000178986,0.268507968,0.7521,0.021567436,0.013550136
4.80102E-5,6.252955626,0.271361685,0.7468,0.02217497,0.013550136
4.86644E-5,6.504218571,0.274046132,0.7416,0.02308627,0.013550136
4.91762E-5,6.753613702,0.276132433,0.7365,0.023693803,0.013550136
4.98061E-5,7.001171408,0.278683653,0.7315,0.025212637,0.016260163
5.03755E-5,7.251580795,0.280974387,0.7265,0.025516403,0.024390244
5.10109E-5,7.500068315,0.283513592,0.7216,0.026123937,0.027100271
5.1639E-5,7.751640246,0.286006167,0.7167,0.02764277,0.027100271
5.22822E-5,8.000919564,0.288540828,0.7119,0.029161604,0.027100271
5.2874E-5,8.253288049,0.290856828,0.7071,0.030072904,0.027100271
5.35332E-5,8.503450782,0.293419126,0.7024,0.031287971,0.027100271
5.41484E-5,8.751056788,0.295793587,0.6978,0.032503038,0.027100271
5.46372E-5,9.001458593,0.297668887,0.6932,0.032503038,0.027100271
5.52091E-5,9.254308543,0.299850408,0.6886,0.034021871,0.032520325
5.57948E-5,9.503986952,0.302070682,0.6841,0.035236938,0.048780488
5.6367E-5,9.750953582,0.30422613,0.6797,0.036755772,0.048780488
5.69398E-5,10.000133599,0.306370259,0.6753,0.037970838,0.048780488
5.74562E-5,10.251900802,0.308292402,0.6709,0.038274605,0.048780488
5.80407E-5,10.500235155,0.310455015,0.6666,0.039489672,0.048780488
5.85376E-5,10.750798609,0.312282911,0.6623,0.040097205,0.048780488
5.91886E-5,11.003904551,0.314662976,0.658,0.041312272,0.048780488
5.99223E-5,11.254223607,0.317325636,0.6538,0.043134872,0.048780488
6.03803E-5,11.500902789,0.318977476,0.6497,0.044957473,0.048780488
6.09052E-5,11.755814094,0.320860775,0.6455,0.045565006,0.048780488
6.16222E-5,12.001033403,0.323416257,0.6415,0.047387606,0.051490515
6.22444E-5,12.254900483,0.325618484,0.6374,0.048602673,0.054200542
6.28699E-5,12.505132347,0.327818068,0.6334,0.049513973,0.054200542
6.33258E-5,12.751444204,0.329412263,0.6295,0.05072904,0.054200542
6.3771E-5,13.005610617,0.330961587,0.6255,0.052247874,0.054200542
