Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.7893E-8,0.000002789,0.000222829,1,0,0
4.30739E-8,0.000011176,0.000344064,0.999790312,0,0
5.32575E-8,0.000026011,0.000425373,0.999475781,0,0
7.2625E-8,0.000051489,0.000579974,0.999056406,0,0
9.29379E-8,0.00010294,0.000742069,0.998427343,0,0
1.39468E-7,0.000257446,0.00111318,0.997064374,0,0
1.84574E-7,0.000508498,0.001472666,0.995491717,0,0
2.55195E-7,0.001008481,0.002034989,0.99308031,0,0
4.45253E-7,0.002535102,0.00354518,0.988467184,0,0
7.07064E-7,0.005044653,0.005618053,0.983854057,0,0
1.21908E-6,0.01009052,0.009647059,0.978297337,0,0
2.72519E-6,0.025146324,0.021311554,0.969909834,0,0
4.72309E-6,0.050184541,0.036367383,0.96257077,0,0
7.75063E-6,0.100035918,0.058319622,0.954078423,0,0
1.23323E-5,0.200187992,0.08970168,0.943489201,0,0
1.62896E-5,0.3000928,0.115171413,0.936150136,0,0
1.97829E-5,0.400754535,0.136498096,0.930278884,0,0
2.2442E-5,0.500166858,0.152055606,0.925351227,0,0
2.49829E-5,0.601624115,0.166406644,0.920842944,0.001127396,0
2.701E-5,0.70016594,0.177512136,0.91685888,0.001127396,0
2.79619E-5,0.752476617,0.182625638,0.914866848,0.001127396,0
2.87049E-5,0.800654132,0.18657282,0.913084504,0.001127396,0
3.06145E-5,0.901674295,0.196545286,0.909519815,0.001127396,0
3.20206E-5,1.001772793,0.203733177,0.906164814,0.001127396,0
3.30741E-5,1.102751841,0.209035333,0.902914657,0.001127396,0
3.39955E-5,1.200088852,0.213614757,0.899874187,0.001127396,0
3.50552E-5,1.300326273,0.218816238,0.896833718,0.001127396,0
3.5683E-5,1.402885184,0.2218658,0.893793248,0.001127396,0.003389831
3.67367E-5,1.500509452,0.226930633,0.890962466,0.001127396,0.003389831
3.88845E-5,1.751154278,0.237052833,0.884042776,0.002254791,0.003389831
4.03277E-5,2.001323521,0.243706887,0.877437618,0.002254791,0.003389831
4.15611E-5,2.251403135,0.249302371,0.871042147,0.003382187,0.003389831
4.30129E-5,2.50128895,0.255783525,0.864856364,0.004509583,0.003389831
4.43972E-5,2.750761895,0.261859838,0.858880268,0.005636979,0.003389831
4.56953E-5,3.002894336,0.267468046,0.853009017,0.005636979,0.003389831
4.64942E-5,3.25205392,0.270877872,0.847347452,0.005636979,0.003389831
4.75511E-5,3.500991877,0.275339965,0.841790732,0.005636979,0.003389831
4.8509E-5,3.750862127,0.279336959,0.836338855,0.005636979,0.006779661
4.92217E-5,4.004919484,0.282282585,0.830886978,0.005636979,0.010169492
5.01106E-5,4.253419455,0.285922769,0.825644789,0.005636979,0.010169492
5.10234E-5,4.501295517,0.289622757,0.820507444,0.005636979,0.013559322
5.1675E-5,4.753014195,0.292240518,0.815370099,0.005636979,0.013559322
5.24614E-5,5.002829471,0.295374112,0.810337597,0.00789177,0.013559322
5.33432E-5,5.251534586,0.298855422,0.805409939,0.00789177,0.016949153
5.41037E-5,5.504129051,0.301829764,0.800482281,0.00789177,0.016949153
5.49857E-5,5.754955022,0.305248255,0.795659467,0.010146561,0.016949153
5.57006E-5,6.004063863,0.307994652,0.790941497,0.010146561,0.020338983
5.64115E-5,6.250574288,0.310704407,0.786328371,0.011273957,0.020338983
5.70062E-5,6.500081984,0.312954779,0.781715244,0.012401353,0.020338983
5.76328E-5,6.752371599,0.31531022,0.777102118,0.012401353,0.020338983
5.83514E-5,7.001980791,0.317991268,0.772593835,0.013528749,0.020338983
5.89924E-5,7.254375733,0.320365355,0.768085553,0.013528749,0.020338983
5.96608E-5,7.503518681,0.322823607,0.763682114,0.014656144,0.020338983
6.02757E-5,7.75541507,0.325069208,0.759278675,0.014656144,0.027118644
6.08487E-5,8.003658805,0.327148183,0.75498008,0.014656144,0.027118644
6.14913E-5,8.254565539,0.329464867,0.750681485,0.01578354,0.027118644
6.1995E-5,8.501493862,0.331269838,0.746487733,0.01578354,0.027118644
6.25476E-5,8.750646306,0.333238728,0.742293982,0.01578354,0.027118644
6.30349E-5,9.001848668,0.334964979,0.738100231,0.01578354,0.027118644
6.35562E-5,9.255151292,0.336802147,0.733906479,0.01578354,0.027118644
6.41458E-5,9.504242136,0.338867951,0.729817572,0.01578354,0.033898305
6.47268E-5,9.755531476,0.340890892,0.725728664,0.018038331,0.033898305
6.51265E-5,10.002160027,0.342275478,0.721744601,0.018038331,0.033898305
6.55332E-5,10.250431543,0.34367832,0.717760537,0.019165727,0.033898305
6.59408E-5,10.500346135,0.345078331,0.713776473,0.021420519,0.033898305
6.64625E-5,10.752016141,0.346861346,0.709792409,0.021420519,0.033898305
6.70586E-5,11.005601553,0.348887195,0.705808346,0.022547914,0.037288136
6.76006E-5,11.254528339,0.350717947,0.701929126,0.02367531,0.037288136
6.80611E-5,11.505621525,0.352265537,0.698049906,0.028184893,0.037288136
6.85215E-5,11.751557769,0.353805398,0.694275529,0.03156708,0.037288136
6.90889E-5,12.005933462,0.355693121,0.690396309,0.03156708,0.040677966
6.94447E-5,12.255293636,0.356871177,0.686621933,0.03156708,0.044067797
6.99481E-5,12.506054896,0.358530537,0.682847557,0.032694476,0.044067797
7.03545E-5,12.751645933,0.359863979,0.679178025,0.033821871,0.044067797
7.08564E-5,13.005888171,0.361503064,0.675403649,0.034949267,0.047457627
7.13499E-5,13.254691293,0.363106558,0.671734116,0.034949267,0.047457627
