Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.12593E-7,0.000041259,0.000903532,1,0,0
4.76035E-7,0.000088863,0.001042318,0.999599038,0,0
6.32474E-7,0.00015211,0.00138438,0.999198075,0,0
1.0023E-6,0.000325407,0.002192096,0.998396151,0,0
1.20519E-6,0.000547986,0.002634651,0.997594226,0,0
1.60265E-6,0.001116282,0.003500504,0.995990377,0,0
1.88282E-6,0.002517388,0.004109937,0.992782678,0,0
2.81963E-6,0.005013634,0.006142292,0.988372093,0,0
4.77333E-6,0.010444217,0.010354175,0.982357658,0,0
1.29091E-5,0.025844871,0.027516531,0.975140337,0,0
2.01692E-5,0.051344415,0.042336638,0.96872494,0,0
3.58029E-5,0.102023487,0.072764954,0.961507618,0,0
5.20957E-5,0.200924267,0.102484607,0.952285485,0,0.004237288
6.95004E-5,0.30520462,0.132197386,0.945469126,0,0.004237288
8.16606E-5,0.404479868,0.151815894,0.940256616,0.001408451,0.004237288
9.19409E-5,0.501035141,0.16772261,0.93584603,0.002816901,0.004237288
9.73784E-5,0.605331354,0.175897133,0.931435445,0.002816901,0.004237288
1.03351E-4,0.705343974,0.184693507,0.927425822,0.004225352,0.004237288
1.07482E-4,0.757787501,0.190667383,0.92542101,0.004225352,0.004237288
1.08891E-4,0.801216267,0.192685763,0.923817161,0.004225352,0.004237288
1.12268E-4,0.900960078,0.197480529,0.9202085,0.005633803,0.004237288
1.16029E-4,1.004462254,0.202755255,0.91659984,0.007042254,0.004237288
1.19111E-4,1.110635742,0.207025863,0.912991179,0.007042254,0.008474576
1.2282E-4,1.207833264,0.212105967,0.90978348,0.008450704,0.008474576
1.28405E-4,1.308504634,0.219632639,0.906575782,0.008450704,0.012711864
1.30354E-4,1.412048132,0.222224965,0.903368083,0.011267606,0.021186441
1.33044E-4,1.504159235,0.225775596,0.900561347,0.014084507,0.021186441
1.41099E-4,1.751901064,0.236215376,0.893344026,0.015492958,0.021186441
1.46338E-4,2.010723482,0.242856003,0.886126704,0.015492958,0.021186441
1.52292E-4,2.250130925,0.250265297,0.879711307,0.01971831,0.021186441
1.59682E-4,2.514175555,0.259260425,0.872894948,0.022535211,0.033898305
1.66245E-4,2.757915349,0.267070351,0.866880513,0.023943662,0.038135593
1.70864E-4,3.010795612,0.272468569,0.860866079,0.028169014,0.042372881
1.78514E-4,3.255779007,0.281237083,0.855252606,0.030985915,0.042372881
1.83277E-4,3.509424919,0.286590139,0.849639134,0.032394366,0.042372881
1.88796E-4,3.751690272,0.292694641,0.844426624,0.033802817,0.042372881
1.92995E-4,4.00017518,0.297269072,0.839214114,0.035211268,0.042372881
1.96857E-4,4.253640088,0.301424198,0.834001604,0.038028169,0.042372881
2.00681E-4,4.512267051,0.305490985,0.828789094,0.03943662,0.042372881
2.04204E-4,4.754755188,0.30919611,0.823977546,0.042253521,0.042372881
2.08655E-4,5.003130763,0.313820875,0.819165998,0.046478873,0.042372881
2.12665E-4,5.256409991,0.317934159,0.814354451,0.047887324,0.042372881
2.14737E-4,5.512952877,0.320039934,0.809542903,0.047887324,0.042372881
2.17428E-4,5.750418471,0.322756121,0.805132318,0.049295775,0.046610169
2.21052E-4,6.013853086,0.326380477,0.80032077,0.052112676,0.050847458
