Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.7483E-7,0.000077483,0.001660226,1,0,0
8.35081E-7,0.000160991,0.001789093,0.999599038,0,0
1.10618E-6,0.000271609,0.002368525,0.999198075,0,0
1.81092E-6,0.000579832,0.003871667,0.998396151,0,0
2.39772E-6,0.001230079,0.005119783,0.997193264,0,0
3.13836E-6,0.002669974,0.006690678,0.995188452,0,0
3.70941E-6,0.005153951,0.007898475,0.992381716,0,0
5.20843E-6,0.010410538,0.01105506,0.987570168,0,0
8.30565E-6,0.025051792,0.017513873,0.97914996,0,0
1.59651E-5,0.051530265,0.033130088,0.969526864,0,0.002483855
2.62546E-5,0.100775374,0.053343426,0.960304731,0,0.002483855
4.24112E-5,0.202437817,0.083431174,0.9478749,0,0.005961252
5.58862E-5,0.301550329,0.107100076,0.939855654,0,0.008941878
6.74465E-5,0.403428484,0.126452694,0.933039294,0.001331558,0.009438649
7.99504E-5,0.507464184,0.146462291,0.927425822,0.001331558,0.009438649
8.63286E-5,0.606912864,0.15632013,0.922614274,0.001331558,0.009438649
9.03172E-5,0.703858721,0.16236979,0.918203689,0.001331558,0.009438649
9.45346E-5,0.750211204,0.168672753,0.916198877,0.001331558,0.009438649
9.93051E-5,0.808681956,0.175689061,0.913793103,0.001331558,0.009438649
1.06398E-4,0.900303933,0.185904239,0.910184443,0.001331558,0.009438649
1.13015E-4,1.010457491,0.195209922,0.90617482,0.002663116,0.009438649
1.17154E-4,1.103125148,0.200922806,0.902967121,0.002663116,0.009438649
1.22608E-4,1.211198204,0.208326968,0.89935846,0.002663116,0.012419275
1.27584E-4,1.311432625,0.214964285,0.896150762,0.002663116,0.012419275
1.3269E-4,1.402537928,0.221661316,0.893344026,0.002663116,0.012419275
1.3751E-4,1.510522237,0.227877925,0.890136327,0.002663116,0.012419275
1.45695E-4,1.7524258,0.238211461,0.883319968,0.002663116,0.012916046
1.52686E-4,2.006338278,0.246819829,0.876503609,0.005326232,0.012916046
1.58842E-4,2.255942563,0.254240767,0.870088212,0.00665779,0.012916046
1.66945E-4,2.516495707,0.263789334,0.863672815,0.010652463,0.012916046
1.71993E-4,2.754285543,0.269615598,0.858059342,0.013315579,0.013412817
1.77602E-4,3.00011932,0.275981704,0.85244587,0.017310253,0.015399901
1.81928E-4,3.252346694,0.280815625,0.846832398,0.018641811,0.020864382
1.86922E-4,3.509680434,0.286317121,0.841218925,0.021304927,0.020864382
1.89872E-4,3.754511002,0.289528324,0.836006415,0.023968043,0.029309488
