Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.69483E-10,0.000000057,0.00000178,1,0,0
6.57058E-10,0.000000123,0.000002053,0.9999,0,0
1.39356E-9,0.000000262,0.000004355,0.9998,0,0
2.08907E-9,0.000001019,0.000006528,0.9994,0,0
3.0596E-9,0.000002575,0.000009561,0.9988,0,0
5.32321E-9,0.000010211,0.000016634,0.997,0,0
8.69754E-9,0.00002585,0.000027178,0.9948,0,0
1.32292E-8,0.000050143,0.000041338,0.9926,0,0
1.89957E-8,0.000101137,0.000059355,0.9893,0,0
3.45042E-8,0.000252895,0.000107809,0.9836,0,0
5.46501E-8,0.000501548,0.000170744,0.978,0,0
8.229E-8,0.001005314,0.000257078,0.9708,0,0.000138293
1.7699E-7,0.002516955,0.000552762,0.9584,0,0.000276587
2.706E-7,0.005001604,0.00084487,0.9473,0,0.000553174
4.557E-7,0.010034889,0.001421969,0.9332,0,0.000968054
8.76672E-7,0.025003644,0.002731981,0.9106,0,0.002212695
1.4107E-6,0.050118101,0.004388871,0.8884,0,0.003457336
2.38505E-6,0.10021406,0.007397789,0.8615,0,0.005670032
3.83289E-6,0.20009937,0.011835439,0.829,0,0.010233716
5.17735E-6,0.300445062,0.01592085,0.8066,0,0.014935694
6.29007E-6,0.400090127,0.019276628,0.7893,0,0.020052552
7.33296E-6,0.500111419,0.022401076,0.7746,0,0.024616236
8.43006E-6,0.600802032,0.025666509,0.7618,0,0.030286267
9.32938E-6,0.700395199,0.028327084,0.7506,0,0.034711658
9.74214E-6,0.750022178,0.029543312,0.7453,0,0.036647767
1.00785E-5,0.8006881,0.030532134,0.7403,0,0.040658277
1.09856E-5,0.903174122,0.033188978,0.7306,0,0.044668787
1.16533E-5,1.000809154,0.035135202,0.722,0,0.049232471
1.24082E-5,1.100565088,0.037326407,0.7137,0,0.054902503
1.30761E-5,1.201217229,0.039256782,0.7058,0,0.059051307
1.36379E-5,1.300033684,0.040874486,0.6984,0,0.063061817
1.43044E-5,1.400646705,0.042786652,0.6912,0,0.067487208
1.48198E-5,1.501480185,0.04426008,0.6842,0,0.071359425
1.60184E-5,1.750900252,0.047668974,0.6681,0,0.080486793
1.74895E-5,2.002656959,0.051819961,0.653,0,0.091826857
1.85452E-5,2.251844125,0.05477657,0.6392,0,0.099294703
1.94678E-5,2.501036475,0.057345463,0.6261,0,0.106624257
2.06297E-5,2.75182401,0.060560558,0.6136,0,0.114783571
2.17144E-5,3.001620171,0.063542602,0.6018,0,0.123772646
2.24829E-5,3.255061039,0.065643719,0.5903,0,0.129442677
2.34648E-5,3.500761825,0.068314745,0.5796,0,0.13635735
2.45515E-5,3.751563601,0.071253175,0.5692,0,0.143963491
2.53805E-5,4.001007003,0.073482343,0.5592,0,0.151016457
2.6437E-5,4.250986578,0.076307594,0.5495,0,0.160143825
2.73714E-5,4.500247604,0.078792133,0.5403,0,0.168026552
2.8098E-5,4.752578252,0.08071509,0.5312,0,0.175356106
2.91884E-5,5.001690278,0.083585558,0.5225,0,0.183377126
3.00843E-5,5.250526067,0.085930677,0.5141,0,0.191398147
3.10204E-5,5.500965226,0.088368198,0.5059,0,0.198589407
3.2116E-5,5.750341775,0.091204514,0.498,0,0.20591896
3.32932E-5,6.015643278,0.094232475,0.4899,0,0.214493154
3.41327E-5,6.251932816,0.096379726,0.4829,0,0.220854654
3.51084E-5,6.501676664,0.098862334,0.4757,0,0.229013968
3.59224E-5,6.750303271,0.100923244,0.4687,0,0.234822293
3.66799E-5,7.000395822,0.102832444,0.4618,0,0.240492325
3.76001E-5,7.251043406,0.105141128,0.455,0,0.247545291
3.85362E-5,7.503689046,0.107477328,0.4484,0,0.254598258
3.93356E-5,7.752999196,0.109462878,0.442,0,0.260268289
4.02483E-5,8.000422721,0.111718973,0.4358,0,0.265246854
4.12612E-5,8.251664048,0.114209255,0.4296,0.015625,0.273544461
4.21961E-5,8.504034504,0.11649555,0.4236,0.015625,0.281012308
