Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.51227E-9,0.000000651,0.000039166,1,0,0
7.57384E-9,0.000001409,0.000045551,0.9999,0,0
9.47626E-9,0.000003172,0.000056991,0.9997,0,0
1.54072E-8,0.000010109,0.000092657,0.9992,0,0
2.18094E-8,0.00002561,0.000131155,0.9984,0,0
3.13482E-8,0.000052162,0.000188507,0.9974,0,0
4.57651E-8,0.000103701,0.000275177,0.9961,0,0
7.22843E-8,0.000256535,0.000434562,0.9935,0,0
1.05372E-7,0.000500576,0.000633357,0.9907,0,0
1.71352E-7,0.001014643,0.001029527,0.987,0,0
3.22813E-7,0.002525699,0.001937784,0.9808,0,0
4.92571E-7,0.005034449,0.002953801,0.9746,0,0
7.93329E-7,0.010013114,0.004748789,0.9669,0,0
1.55077E-6,0.025098834,0.009240845,0.9536,0,0
2.1747E-6,0.050172691,0.012910763,0.9401,0,0
3.11831E-6,0.100286243,0.018409707,0.9212,0.000367782,0
4.67603E-6,0.200071856,0.027354518,0.8953,0.000735565,0
6.10705E-6,0.300171296,0.035429283,0.8766,0.001471129,0
7.43868E-6,0.400295996,0.042823768,0.8618,0.002206694,0
8.62806E-6,0.500557386,0.049333095,0.8493,0.002574476,0
9.75653E-6,0.600020079,0.055427757,0.8385,0.002942258,0.001103753
1.07175E-5,0.700335381,0.060556332,0.8287,0.00331004,0.001103753
1.11085E-5,0.750666823,0.062627271,0.8241,0.00331004,0.001103753
1.15308E-5,0.800624375,0.064853632,0.8197,0.00331004,0.002207506
1.22552E-5,0.90050013,0.068648275,0.8113,0.004045605,0.002207506
1.3037E-5,1.000239072,0.072709272,0.8034,0.004413387,0.002207506
1.35458E-5,1.101094813,0.075333103,0.7958,0.00478117,0.002207506
1.41638E-5,1.200981503,0.078500389,0.7886,0.00478117,0.003311258
1.46626E-5,1.300500246,0.081040966,0.7817,0.005516734,0.003311258
1.53029E-5,1.401083541,0.084281776,0.775,0.005516734,0.004415011
1.57276E-5,1.500377666,0.086418379,0.7686,0.005884516,0.004415011
1.70369E-5,1.750388474,0.092944233,0.7533,0.007723428,0.005518764
1.81705E-5,2.000679165,0.098519323,0.7391,0.009562339,0.006622517
1.92813E-5,2.250126606,0.103915914,0.7258,0.009930121,0.006622517
2.04095E-5,2.500122468,0.109331303,0.7132,0.01140125,0.006622517
2.14113E-5,2.751294991,0.114085691,0.7012,0.01140125,0.006622517
2.25802E-5,3.002011621,0.119569176,0.6898,0.013975726,0.009933775
2.34991E-5,3.250642985,0.123832468,0.679,0.014343509,0.009933775
2.45025E-5,3.500180709,0.128441126,0.6686,0.015446855,0.011037528
2.55336E-5,3.750830203,0.133126681,0.6586,0.015446855,0.01214128
2.66026E-5,4.000848102,0.137931096,0.649,0.01618242,0.01214128
2.76149E-5,4.25272895,0.142432213,0.6397,0.017653549,0.01214128
2.85326E-5,4.502262771,0.146472246,0.6308,0.019124678,0.013245033
2.98649E-5,4.752883746,0.152270502,0.6222,0.01949246,0.013245033
3.1022E-5,5.000004078,0.157242457,0.6141,0.019860243,0.014348786
3.22052E-5,5.252812239,0.162266321,0.6061,0.021331372,0.015452539
3.33971E-5,5.501995069,0.167267183,0.5985,0.022066936,0.015452539
3.4632E-5,5.750302257,0.172385962,0.5912,0.023170283,0.015452539
3.58802E-5,6.000877044,0.177496359,0.5841,0.023538065,0.016556291
