Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.42199E-12,0.000000001,0.000000007,0.9995,0,0
5.89246E-12,0.000000003,0.000000011,0.9992,0,0
1.48468E-11,0.000000011,0.000000028,0.9985,0,0
2.76347E-11,0.000000025,0.000000053,0.9979,0,0
5.11558E-11,0.000000105,0.000000098,0.9959,0,0
8.07843E-11,0.000000257,0.000000155,0.9936,0,0
1.57669E-10,0.000001015,0.000000303,0.9873,0,0
3.04114E-10,0.000002513,0.000000583,0.9805,0,0
9.15362E-10,0.000010022,0.000001756,0.9675,0,0
1.73258E-9,0.00002505,0.000003324,0.9564,0,0
2.95428E-9,0.000050226,0.000005668,0.9454,0,0
5.20191E-9,0.000100128,0.000009981,0.933,0,0
1.20747E-8,0.000250875,0.000023167,0.9144,0,0
2.33581E-8,0.000501204,0.000044814,0.8998,0,0
4.87273E-8,0.00100398,0.000093482,0.8851,0,0
1.14072E-7,0.002511188,0.000218817,0.8654,0,0
1.94259E-7,0.005012439,0.000372576,0.8492,0,0.000531067
3.39694E-7,0.010010581,0.000651329,0.8303,0,0.001062135
7.01754E-7,0.025029734,0.00134461,0.8001,0,0.007966012
1.25996E-6,0.050024625,0.002411598,0.7739,0,0.025225704
2.27328E-6,0.100271956,0.004342696,0.7448,0,0.055231014
3.9553E-6,0.20019952,0.007531684,0.7117,0,0.089750398
5.28915E-6,0.300133486,0.010046084,0.6902,0,0.120286776
6.66035E-6,0.40025219,0.012617651,0.6733,0,0.145778014
7.83805E-6,0.500142725,0.014815671,0.6596,0,0.169144981
8.90551E-6,0.600223724,0.016799511,0.6477,0,0.19118428
9.81189E-6,0.700163617,0.018477737,0.637,0,0.20685077
1.0273E-5,0.750311694,0.019329339,0.632,0,0.215613383
1.07605E-5,0.802978243,0.02022805,0.627,0,0.226500266
1.15229E-5,0.900803519,0.021630144,0.6182,0,0.244556559
1.20974E-5,1.000050927,0.022684081,0.6098,0,0.253053638
1.26246E-5,1.103924122,0.023649392,0.6014,0,0.259160913
1.33109E-5,1.200113051,0.024903038,0.594,0,0.272968667
1.39682E-5,1.301077478,0.026100577,0.5866,0,0.283324482
1.4623E-5,1.400910799,0.02729075,0.5796,0,0.293414764
1.51251E-5,1.500659041,0.028201323,0.5729,0,0.303239511
1.65606E-5,1.75712657,0.030795532,0.5567,0,0.328996283
1.79201E-5,2.000194321,0.033239608,0.5426,0,0.347318109
1.89734E-5,2.253698165,0.035124625,0.5289,0,0.361391397
2.01793E-5,2.500044931,0.037273882,0.5163,0,0.376526819
2.12067E-5,2.750181395,0.039097453,0.5042,0,0.3866171
2.24048E-5,3.011515863,0.041215185,0.4922,0,0.399628253
2.34116E-5,3.250461175,0.0429878,0.4817,0,0.409984068
2.43803E-5,3.501329528,0.044686991,0.4713,0,0.419808816
2.52145E-5,3.751868151,0.046145462,0.4612,0,0.428305895
2.61848E-5,4.008786255,0.04783616,0.4512,0,0.441317047
2.71596E-5,4.254798202,0.049528883,0.4419,0,0.45220393
2.81869E-5,4.501288519,0.051306173,0.433,0,0.460169942
2.92475E-5,4.750863379,0.053134121,0.4244,0,0.470525757
3.03528E-5,5.01366529,0.055031567,0.4155,0,0.480350505
3.11128E-5,5.250220138,0.056331837,0.4079,0,0.486988848
3.18918E-5,5.508643992,0.057660892,0.3997,0,0.492299522
3.28253E-5,5.754661742,0.059248693,0.392,0,0.497344663
3.39729E-5,6.001614639,0.061193369,0.3847,0,0.502655337
3.5268E-5,6.260159967,0.063378389,0.3772,0,0.511152416
3.63579E-5,6.501731847,0.065209263,0.3705,0,0.517259692
3.73498E-5,6.752296746,0.066869325,0.3637,0,0.522039299
3.88712E-5,7.02309344,0.06940408,0.3566,0,0.533988317
4.02707E-5,7.251784061,0.071723594,0.3508,0,0.542219862
4.16497E-5,7.506778767,0.073997907,0.3446,0,0.550451407
4.28167E-5,7.751414893,0.075913941,0.3388,0,0.554434413
4.40236E-5,8.012222204,0.077887034,0.3328,0,0.560541689
4.56218E-5,8.263775422,0.080487055,0.3271,0,0.567976633
4.71843E-5,8.508310367,0.083014741,0.3219,0,0.575146044
4.83372E-5,8.752570845,0.084871106,0.3168,0,0.578332448
4.95912E-5,9.002777887,0.086881465,0.3117,0,0.583112055
5.12848E-5,9.254747381,0.089582808,0.3067,0,0.588688263
5.23471E-5,9.509329975,0.091269082,0.3018,0,0.593733404
5.4336E-5,9.753366302,0.094409452,0.2972,0,0.603292618
5.54494E-5,10.017951051,0.096157928,0.2924,0,0.608337759
5.70927E-5,10.255068615,0.098726381,0.2882,0,0.614179501
5.87666E-5,10.502012801,0.101327567,0.2839,0,0.619224642
6.02863E-5,10.796142316,0.10367623,0.279,0,0.623738715
6.20156E-5,11.016338179,0.106334033,0.2754,0,0.628518322
6.34847E-5,11.254117865,0.108579469,0.2716,0,0.634625597
6.50091E-5,11.511648213,0.110897573,0.2676,0,0.640467339
6.66501E-5,11.755478966,0.113379514,0.2639,0,0.64551248
6.8147E-5,12.01808188,0.11563136,0.26,0,0.648964418
6.96164E-5,12.252549853,0.117830833,0.2566,0,0.654275093
7.08079E-5,12.512801204,0.119606415,0.2529,0,0.658789166
7.21184E-5,12.770688834,0.121550945,0.2493,0,0.662506638
7.39682E-5,13.001191655,0.124281146,0.2461,0,0.666489644
7.55938E-5,13.259079854,0.126666633,0.2427,0,0.670738184
7.70328E-5,13.503364133,0.128767306,0.2395,0,0.67472119
7.85911E-5,13.752893626,0.131030777,0.2363,0,0.679500797
8.07122E-5,14.007993446,0.13409305,0.2331,0,0.686670207
8.22261E-5,14.252353863,0.136265477,0.2301,0,0.690653213
8.45675E-5,14.502181161,0.1396039,0.2271,0,0.694901753
8.61162E-5,14.758078139,0.141797985,0.2241,0,0.698619225
8.72802E-5,15.000910603,0.143439673,0.2213,0,0.701805629
8.87871E-5,15.254635123,0.145555731,0.2184,0,0.705257568
9.04754E-5,15.505096177,0.147914097,0.2156,0,0.709771641
9.22052E-5,15.754791048,0.15031706,0.2129,0,0.712692512
9.41522E-5,16.006253476,0.153005404,0.2102,0,0.715878917
9.56861E-5,16.263035554,0.155111532,0.2075,0,0.719596389
9.66799E-5,16.503656845,0.156470447,0.205,0,0.721986192
9.84524E-5,16.767399326,0.158883304,0.2023,0,0.726234732
1.0088E-4,17.006935883,0.162166279,0.1999,0,0.73181094
1.03131E-4,17.251965279,0.16518684,0.1975,0,0.736856081
1.04687E-4,17.501524815,0.167262173,0.1951,0,0.739776952
1.06186E-4,17.797304772,0.169251547,0.1923,0,0.742432289
1.08355E-4,18.022977189,0.172114036,0.1902,0,0.746149761
1.09748E-4,18.252139553,0.17394147,0.1881,0,0.749070632
1.11356E-4,18.501842622,0.176040985,0.1858,0,0.752257037
1.12959E-4,18.753657952,0.178124404,0.1836,0,0.756240042
1.14521E-4,19.004016185,0.180143368,0.1814,0,0.759691981
1.16507E-4,19.258316384,0.18269695,0.1792,0,0.76394052
1.18278E-4,19.504862685,0.184960802,0.1771,0,0.767923526
1.19721E-4,19.754624351,0.186795498,0.175,0,0.771640998
1.21369E-4,20.007823049,0.188881295,0.1729,0,0.774561869
1.22552E-4,20.251865255,0.190371552,0.1709,0,0.776420605
1.25146E-4,20.511673345,0.193620433,0.1688,0,0.77960701
1.27639E-4,20.751759034,0.196719177,0.1669,0,0.784652151
1.29462E-4,21.035262907,0.198969349,0.1647,0,0.787307488
1.31553E-4,21.257980159,0.201535592,0.163,0,0.789431758
1.33727E-4,21.510042123,0.204185673,0.1611,0,0.792883696
1.35627E-4,21.752652553,0.206488159,0.1593,0,0.795539033
1.37233E-4,22.012027468,0.208423597,0.1574,0,0.796866702
1.3938E-4,22.253422134,0.210996976,0.1556,0,0.799256506
1.41476E-4,22.500081074,0.213492055,0.1539,0,0.80244291
1.43246E-4,22.756282801,0.215587734,0.1521,0,0.804832714
1.45071E-4,23.000486146,0.217735793,0.1504,0,0.807488051
1.46661E-4,23.251792558,0.21959859,0.1486,0,0.809612321
1.48581E-4,23.50135091,0.221835761,0.147,0,0.812002124
1.49799E-4,23.754871961,0.22324782,0.1453,0,0.81386086
1.5165E-4,24.011233019,0.225384658,0.1436,0,0.816781731
1.54764E-4,24.256587536,0.228953015,0.142,0,0.82023367
1.577E-4,24.505126945,0.232287788,0.1404,0,0.823420074
1.597E-4,24.760669877,0.234543049,0.1388,0,0.824747743
1.61358E-4,25.001765956,0.23640242,0.1373,0,0.827137546
1.63771E-4,25.261848763,0.239091715,0.1357,0,0.829261816
1.65815E-4,25.502202517,0.241355835,0.1342,0,0.832182687
1.67575E-4,25.75956768,0.243293786,0.1327,0,0.834306957
1.69089E-4,26.009126087,0.244953612,0.1312,0,0.834572491
1.70273E-4,26.250007884,0.24624654,0.1298,0,0.835634626
1.72632E-4,26.507236239,0.248809536,0.1283,0,0.83669676
1.74489E-4,26.750246869,0.250815009,0.1269,0,0.83882103
1.76355E-4,27.012772954,0.252819337,0.1254,0,0.840414233
1.78274E-4,27.261130327,0.254868314,0.124,0,0.84306957
1.80262E-4,27.512413913,0.256980183,0.1226,0,0.845990441
