X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-72.25,18.56,train,0.020065520167472296,95.87991709930368,0.974682718822084
-73.93,18.09,train,0.0019115606234007688,78.13957339597431,0.7857578669857647
-73.75,18.2,train,0.003081281243881769,85.23039192184054,0.8553219921772359
-72.4,18.23,train,0.002112342644744071,79.3976781766312,0.8020917479827874
-73.86,18.33,train,0.0025087077520816,83.1073509689932,0.8279816224397354
-74.45,18.49,train,0.001116815085283087,70.84561109512788,0.6818101048674118
-73.89,18.57,train,5.105452704526692E-4,53.41200309598813,0.49483665710609914
-74.12,18.65,train,0.0024848488158310442,83.0493638670731,0.8266163166647686
-72.09,18.65,train,0.0020152598375466294,78.60617615675717,0.7945168240374811
-72.51,18.77,train,0.0020220753786335337,78.69395796928625,0.7950674836958086
-72.1,18.83,train,0.0028880599629916423,84.76644640775362,0.8471223030608114
-72.47,19.05,train,0.004661970077413479,90.07653932147748,0.8994438168193115
-72.41,18.54,train,0.02262830794881677,96.19027359561551,0.9774854919793817
-72.33,18.53,train,8.447497715615387E-4,64.75209690702742,0.6184340938648891
-82.36,23.14,train,0.0026440463626039453,84.08884798211253,0.8353367307547782
-89.14,17.07,test,1.196539733228104E-4,19.743023038067694,0.1867102645378567
-92.27,14.9,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-92.25,14.92,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-92.19,14.84,test,5.403085258523935E-5,9.715924975492014,0.09392902563099244
-92.23,14.88,test,2.126497089782267E-4,31.43331745239664,0.2897729206503215
-92.26055999999997,14.908059999999999,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-92.26055599999998,14.908055999999995,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-92.16527799999997,14.989166999999997,test,2.900742965014798E-5,4.694371276459487,0.05272091910064314
-92.25158299999998,14.922916999999998,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-92.16805599999999,14.938888999999994,test,1.0415965326111145E-4,17.41694614696135,0.16655965858739896
-92.19111099999998,14.836110999999997,test,5.403085258523935E-5,9.715924975492014,0.09392902563099244
-92.25999999999999,14.909999999999998,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-92.22999999999998,14.879999999999995,test,2.126497089782267E-4,31.43331745239664,0.2897729206503215
-92.18999999999998,14.839999999999996,test,5.403085258523935E-5,9.715924975492014,0.09392902563099244
-92.24999999999997,14.919999999999996,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-92.26999999999998,14.899999999999999,test,4.6913678222738653E-4,50.935270564359854,0.47371449400583826
-88.56999999999998,15.719999999999997,test,1.9054125760687603E-4,28.744552663285774,0.26771149651615567
-88.58999999999999,15.729999999999997,test,1.9054125760687603E-4,28.744552663285774,0.26771149651615567
-88.54999999999998,15.719999999999997,test,3.7577169703164366E-5,6.792766684170548,0.0672489620405329
-88.60999999999997,15.679999999999998,test,3.3214303376702837E-4,42.596996961467326,0.3892257946400663
-88.56999999999998,15.709999999999999,test,1.9054125760687603E-4,28.744552663285774,0.26771149651615567
-88.67999999999998,15.729999999999997,test,1.3213742191464878E-4,21.325740294975628,0.20224995922224748
-88.60999999999997,15.689999999999996,test,3.3214303376702837E-4,42.596996961467326,0.3892257946400663
-88.61999999999999,15.689999999999996,test,3.3214303376702837E-4,42.596996961467326,0.3892257946400663
-88.57999999999997,15.679999999999998,test,1.6584268707586035E-4,25.506251203813516,0.24138637079512523
-88.62999999999997,15.679999999999998,test,3.3214303376702837E-4,42.596996961467326,0.3892257946400663
-88.63999999999999,15.719999999999997,test,8.175807849775E-4,63.90236599734719,0.6106906598203304
-88.57999999999997,15.699999999999996,test,1.9054125760687603E-4,28.744552663285774,0.26771149651615567
