Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.95652E-12,0.000000001,0.000000014,0.9995,0,0
5.05294E-12,0.000000003,0.000000018,0.9992,0,0
1.83401E-11,0.000000012,0.000000067,0.9983,0,0
2.58636E-11,0.000000026,0.000000094,0.9977,0,0
6.56492E-11,0.000000103,0.000000238,0.996,0,0
1.09279E-10,0.000000254,0.000000397,0.9942,0,0
2.59542E-10,0.000001007,0.000000942,0.9899,0,0
5.21929E-10,0.000002513,0.000001895,0.986,0,0
1.69482E-9,0.000010006,0.000006153,0.9787,0,0
3.66155E-9,0.000025045,0.000013292,0.973,0,0
7.17913E-9,0.000050498,0.000026061,0.9683,0,0
1.25039E-8,0.000100636,0.00004539,0.9631,0,0
2.33079E-8,0.000251445,0.000084606,0.9545,0,0
4.05653E-8,0.000500907,0.00014724,0.9464,0,0.000183486
6.39734E-8,0.001004853,0.000232184,0.9367,0,0.000183486
1.10776E-7,0.002504069,0.00040198,0.9194,0,0.000366972
1.59347E-7,0.005003978,0.000578133,0.9007,0,0.001284404
2.36219E-7,0.010022756,0.000856795,0.8752,0.000962464,0.001834862
3.95444E-7,0.025038248,0.001433496,0.8271,0.000962464,0.006238532
6.2872E-7,0.050013524,0.002277204,0.7774,0.000962464,0.010825688
1.20835E-6,0.100104782,0.004367422,0.7191,0.000962464,0.015779817
2.85513E-6,0.200025478,0.010258479,0.6662,0.002887392,0.024220183
4.6002E-6,0.300339559,0.016425506,0.6387,0.003849856,0.031192661
6.33039E-6,0.400625039,0.022464549,0.6202,0.00481232,0.033394495
7.79944E-6,0.500751397,0.027534205,0.606,0.006737247,0.037981651
9.28073E-6,0.600834341,0.032593139,0.5942,0.009624639,0.041284404
1.06755E-5,0.700906865,0.037308805,0.5841,0.012512031,0.048440367
1.11224E-5,0.750929364,0.038809925,0.5795,0.013474495,0.050825688
1.17803E-5,0.800128256,0.041011515,0.5752,0.015399423,0.054678899
1.33268E-5,0.901093813,0.046146703,0.5672,0.01732435,0.059816514
1.46916E-5,1.000430131,0.050633551,0.5601,0.01732435,0.066972477
1.59682E-5,1.100478337,0.054791951,0.5536,0.01732435,0.073027523
1.7094E-5,1.201166082,0.058429525,0.5475,0.018286814,0.076513761
1.81441E-5,1.300118973,0.061796985,0.5419,0.02213667,0.080366972
1.9143E-5,1.400129289,0.064978099,0.5365,0.023099134,0.087522936
2.01907E-5,1.501782854,0.068291564,0.5314,0.025024062,0.096513761
2.30284E-5,1.750872292,0.077148919,0.5198,0.027911453,0.115045872
2.56103E-5,2.001125681,0.085062819,0.5095,0.031761309,0.126422018
2.80799E-5,2.251108149,0.092506792,0.5002,0.037536092,0.142018349
3.0837E-5,2.500073617,0.100675473,0.4917,0.04427334,0.15706422
3.33759E-5,2.753111532,0.108068487,0.4839,0.045235804,0.168807339
3.59708E-5,3.000112238,0.115500046,0.4767,0.048123195,0.18
3.85891E-5,3.251077193,0.12287436,0.47,0.052935515,0.191009174
4.05988E-5,3.502006154,0.12845144,0.4637,0.052935515,0.202568807
4.31782E-5,3.751543406,0.135506604,0.4577,0.054860443,0.220550459
4.49897E-5,4.004410124,0.140393736,0.452,0.056785371,0.229541284
4.67523E-5,4.252348856,0.145095947,0.4466,0.059672762,0.23706422
4.85719E-5,4.504521722,0.149896436,0.4413,0.063522618,0.246238532
5.02203E-5,4.751344477,0.154199208,0.4363,0.064485082,0.255412844
5.24926E-5,5.000080274,0.160059476,0.4314,0.070259865,0.264587156
5.42217E-5,5.253582543,0.164464624,0.4267,0.074109721,0.273394495
5.59722E-5,5.502034879,0.168877487,0.4222,0.076034649,0.283486239
5.75006E-5,5.751731601,0.172692596,0.4178,0.076034649,0.291376147
5.90339E-5,6.000026162,0.176484934,0.4135,0.077959577,0.299266055
6.05367E-5,6.253106304,0.180168124,0.4093,0.077959577,0.305688073
6.2093E-5,6.50455305,0.183948014,0.4052,0.07892204,0.313394495
6.32974E-5,6.751858954,0.186849344,0.4012,0.08373436,0.318165138
6.51352E-5,7.005048285,0.191236892,0.3973,0.085659288,0.326055046
6.65602E-5,7.25292167,0.194606623,0.3935,0.086621752,0.333027523
6.78945E-5,7.500127407,0.197736374,0.3898,0.089509143,0.339082569
6.9405E-5,7.75149739,0.201250183,0.3862,0.095283927,0.346972477
7.12211E-5,8.004977248,0.205434338,0.3826,0.098171319,0.353761468
7.2374E-5,8.256112344,0.20806804,0.3791,0.098171319,0.36
7.41377E-5,8.505677877,0.212063091,0.3757,0.100096246,0.366972477
7.57192E-5,8.752838874,0.215611472,0.3724,0.10105871,0.375412844
7.72224E-5,9.005038586,0.218954742,0.3691,0.107795958,0.383669725
7.86458E-5,9.254329384,0.222094234,0.3659,0.110683349,0.389357798
7.97576E-5,9.500066811,0.224528987,0.3628,0.112608277,0.39412844
8.11148E-5,9.75171378,0.227480491,0.3596,0.114533205,0.400366972
8.20447E-5,10.00228839,0.229489925,0.3566,0.118383061,0.402385321
8.357E-5,10.250733876,0.232763272,0.3536,0.122232916,0.406788991
8.46411E-5,10.503162997,0.235045442,0.3506,0.124157844,0.412293578
8.57197E-5,10.750303031,0.237329714,0.3477,0.125120308,0.418165138
8.70455E-5,11.000608519,0.240118983,0.3448,0.126082772,0.427155963
8.82162E-5,11.254878461,0.242565107,0.3419,0.1280077,0.430642202
8.94941E-5,11.503680763,0.245217284,0.3391,0.128970164,0.436880734
