Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.31785E-11,0.000000001,0.000000055,1,0,0
1.45351E-11,0.000000003,0.00000006,0.9999,0,0
3.81756E-11,0.00000001,0.000000159,0.9996,0,0
4.32472E-11,0.000000027,0.00000018,0.9992,0,0
8.22647E-11,0.000000106,0.000000342,0.998,0,0
1.54889E-10,0.000000265,0.000000645,0.9966,0,0
5.23891E-10,0.000001044,0.00000218,0.9942,0,0
9.32557E-10,0.000002585,0.000003881,0.9921,0,0
2.66623E-9,0.000010185,0.000011097,0.9874,0,0
4.63962E-9,0.000025407,0.00001931,0.9831,0,0
7.38895E-9,0.000050652,0.000030753,0.979,0,0
1.12889E-8,0.000100652,0.000046984,0.9736,0,0
2.10857E-8,0.000252097,0.000087754,0.964,0,0
3.18418E-8,0.000502589,0.000132512,0.9544,0,0
5.37725E-8,0.001002757,0.000223758,0.9424,0,0
1.13657E-7,0.002501828,0.00047283,0.9243,0,0
1.97223E-7,0.005018335,0.000820194,0.9079,0,0
3.62155E-7,0.01001901,0.001505065,0.8897,0,0
7.87888E-7,0.025002146,0.003268571,0.863,0,0.008130081
1.18552E-6,0.050038372,0.004910039,0.8379,0,0.010840108
1.72039E-6,0.100127947,0.007109583,0.8031,0.001518834,0.010840108
2.39845E-6,0.200226932,0.009883987,0.7543,0.001518834,0.01897019
3.0507E-6,0.300077053,0.01253821,0.7174,0.002126367,0.027100271
3.67716E-6,0.400107826,0.015074107,0.6874,0.002430134,0.027100271
4.48642E-6,0.500227704,0.018330748,0.6627,0.003037667,0.032520325
5.75685E-6,0.600572224,0.023400048,0.643,0.0036452,0.032520325
6.99141E-6,0.700501498,0.02827631,0.6272,0.004252734,0.032520325
7.7396E-6,0.750470246,0.031207905,0.6204,0.005771567,0.035230352
8.58237E-6,0.800074477,0.034488925,0.6143,0.006682868,0.043360434
1.00779E-5,0.900609778,0.040256925,0.6035,0.007594168,0.046070461
1.18874E-5,1.001159502,0.047144269,0.5944,0.009113001,0.046070461
1.33176E-5,1.100719382,0.052518548,0.5865,0.011846902,0.046070461
1.45745E-5,1.201092326,0.057191538,0.5793,0.012758202,0.051490515
1.578E-5,1.30002486,0.061630616,0.5728,0.013973269,0.056910569
1.69893E-5,1.400491593,0.066041573,0.5667,0.015795869,0.06504065
1.83806E-5,1.501298963,0.071065749,0.561,0.017010936,0.067750678
2.07175E-5,1.750375036,0.079383651,0.5482,0.019137303,0.067750678
2.32604E-5,2.001521771,0.088267289,0.5368,0.022782503,0.073170732
2.56536E-5,2.250143766,0.096472886,0.5266,0.027035237,0.081300813
2.75455E-5,2.500656055,0.102855817,0.5171,0.029465371,0.086720867
2.93311E-5,2.752308991,0.108797642,0.5083,0.033414338,0.089430894
3.10533E-5,3.001822612,0.114454872,0.5,0.035540705,0.092140921
3.30206E-5,3.251492954,0.120829437,0.4922,0.037363305,0.113821138
3.48509E-5,3.502366446,0.126678694,0.4848,0.038274605,0.113821138
3.66897E-5,3.750988821,0.132477015,0.4779,0.040704739,0.130081301
3.87724E-5,4.00382454,0.138952112,0.4712,0.043134872,0.130081301
4.0235E-5,4.252718791,0.143441972,0.4649,0.046780073,0.146341463
4.18105E-5,4.503250958,0.148226296,0.4588,0.04799514,0.178861789
4.34745E-5,4.750409074,0.153221448,0.453,0.050121507,0.189701897
4.54397E-5,5.002034365,0.159046025,0.4473,0.052855407,0.197831978
4.71911E-5,5.25410297,0.164169792,0.4419,0.057411908,0.208672087
4.88975E-5,5.503680975,0.169102251,0.4367,0.061057108,0.222222222
5.03968E-5,5.751872505,0.173388349,0.4317,0.063791009,0.227642276
5.23735E-5,6.003856812,0.178971953,0.4268,0.066524909,0.25203252
5.40054E-5,6.253472795,0.183524927,0.4221,0.068347509,0.268292683
5.57816E-5,6.500680104,0.188423833,0.4176,0.071385176,0.27100271
5.744E-5,6.750899509,0.192944848,0.4131,0.074119077,0.281842818
5.89346E-5,7.000538884,0.19697639,0.4089,0.075941677,0.292682927
6.10899E-5,7.25260076,0.202719717,0.4047,0.079890644,0.317073171
6.24866E-5,7.505771655,0.206397722,0.4006,0.080801944,0.317073171
6.40467E-5,7.752042689,0.210466282,0.3967,0.083535844,0.327913279
6.59529E-5,8.006232976,0.215381228,0.3928,0.085662211,0.330623306
6.75776E-5,8.253372383,0.219522236,0.3891,0.086877278,0.349593496
6.93506E-5,8.506707875,0.223991778,0.3854,0.090826245,0.357723577
7.12148E-5,8.753251364,0.22863622,0.3819,0.093560146,0.360433604
7.28607E-5,9.005199558,0.232690668,0.3784,0.095078979,0.376693767
7.44673E-5,9.254311409,0.236607715,0.375,0.096597813,0.403794038
7.59807E-5,9.503980685,0.240260778,0.3717,0.09963548,0.409214092
7.73474E-5,9.753147454,0.243530137,0.3684,0.10054678,0.428184282
7.86757E-5,10.006909492,0.246680593,0.3652,0.10236938,0.444444444
8.02307E-5,10.253127787,0.250335689,0.3621,0.103584447,0.444444444
8.14188E-5,10.503664476,0.253104402,0.359,0.105103281,0.452574526
8.252E-5,10.758057204,0.255652465,0.3559,0.107229648,0.45799458
8.4459E-5,11.000419688,0.260097235,0.353,0.108748481,0.466124661
8.6047E-5,11.256237348,0.263698105,0.35,0.111786148,0.474254743
8.71335E-5,11.507262877,0.266141634,0.3471,0.114216282,0.474254743
8.87842E-5,11.753716525,0.269823125,0.3443,0.116646416,0.485094851
9.02384E-5,12.004261685,0.273035772,0.3415,0.119076549,0.495934959
9.1686E-5,12.25613958,0.276205959,0.3387,0.122417983,0.498644986
9.27114E-5,12.504585324,0.278434915,0.336,0.12454435,0.506775068
