X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-43.03,-22.08,train,4.1125661336963236E-4,70.89021698096175,0.6312279006349029
-43.45,-22.76,train,4.378468280672457E-5,4.790125051511331,0.1541461777014917
-43.2,-22.9,train,2.011166861956529E-5,1.685803124005971,0.07724161423375517
-43.57,-22.9,train,4.7790644292174986E-5,5.341792297443841,0.16590951336470833
-49.52,-20.82,train,6.469116795955406E-4,90.79626485075245,0.7291828254248406
-45.46,-22.93,train,7.671334533472664E-4,94.253784400291,0.7615019378212071
-43.93,-19.9,train,1.3190385547222865E-5,1.0918636585677828,0.05204289101269935
-40.37,-20.24,train,2.8236888647688015E-4,51.40820941490195,0.5402837655602822
-40.58,-19.94,train,3.7885818811564024E-4,67.09695277575618,0.6119301310155979
-46.6,-20.72,train,7.831524581570443E-4,94.51903963496433,0.7652350317246758
-43.23,-22.79,train,1.2001230306275714E-5,1.0090835207618327,0.04757426923158748
-48.45,-22.88,train,5.478494256270181E-4,86.34379517743754,0.6951422507579272
-43.42,-22.8,train,2.3827676840829153E-5,2.0604543716536194,0.09022576460525976
-60.02,-3.12,train,8.004656806402495E-5,10.223972384214903,0.24990468832290558
-45.25,-22.84,train,3.344365755616707E-4,60.20304074189603,0.5819340679054497
-47.07,-22.8,train,1.730235272775223E-4,28.99069638767654,0.41865391095922366
-47.8,-24.89,train,3.5264904215037196E-5,3.5583435567257764,0.12799086631073173
-34.97,-8.1,train,1.9767309566393217E-4,34.15814205967208,0.4513755087176345
-34.95,-8.07,train,1.9274996604965003E-4,33.22221266910967,0.44513791989734236
-48.86,-26.32,train,1.849950444598571E-4,31.505268330748557,0.4350195366876625
-43.35,-22.93,train,2.630819634484055E-5,2.3368208782770967,0.09869150565171551
-40.31,-20.31,train,7.155211170136546E-5,8.80488577312212,0.22947054080556176
-48.53,-26.21,train,1.3261341259039643E-4,20.125813978725528,0.35565090074839684
-35.74,-9.66,train,9.567222927363658E-5,13.098331218319338,0.28479467704456596
