X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-58.46,-34.59,train,4.7600392317264116E-5,5.215500847561438,0.23930868398290378
-64.19,-31.4,train,6.670565077434505E-5,10.96686676231479,0.3059707287800811
-64.17,-31.32,train,9.801654308449884E-5,22.664611942440633,0.3931290837518512
-60.05,-26.93,train,1.3312039593089598E-4,34.63029100438247,0.4680285772644983
-63.81,-22.55,train,1.3687037975184372E-4,36.12838830791745,0.47495098243255846
-63.72,-22.07,train,1.8399642865219598E-4,52.7122439542229,0.5487451780783391
-64.21,-31.46,train,6.456761717381548E-5,10.330269205589302,0.2990970430214208
-64.11,-31.45,train,6.554967357196916E-5,10.624182629808061,0.3022711420725093
-58.99,-27.46,train,1.0624953629270406E-4,25.319366265721946,0.4125281407026218
-54.57,-25.62,train,6.757456428698586E-5,11.326783242225218,0.3087258715576483
-64.32,-23.14,train,1.348585729805714E-4,35.23091979373171,0.4712597794206497
-57.72,-25.28,train,1.4455682033165862E-4,39.0057364900144,0.4885915515530176
-58.46,-34.56,train,4.1026781525102835E-5,3.7847647470350507,0.21330974134799255
-66.58,-31.33,train,2.4167654460235203E-5,1.4573502924285755,0.1377269099251303
-61.48,-31.25,train,1.0939797027598285E-4,26.355004325961822,0.4196227988052565
-59.65,-29.1,train,1.1997328633140757E-4,29.956916534753187,0.4422475921585923
-64.27,-27.78,train,1.1708493228699219E-4,28.912654000279186,0.4362452386294868
-65.27,-26.93,train,1.207204882668593E-4,30.239521139316945,0.4437796170083071
-55.03,-26.81,train,1.0647585706737988E-4,25.439289618456154,0.41304391128639245
-68.05,-38.95,train,2.2654040077877926E-4,68.99673400286254,0.5995544353830795
-57.9,-35.88,train,3.374627867934821E-5,2.4652131112526665,0.18235927990116663
-65.17,-26.85,train,9.255620046951227E-5,20.723097063858607,0.37954066219696686
-57.81,-36.09,train,2.3634549346476485E-5,1.402953797551759,0.13509928480288763
-65.66,-27.34,train,5.569620874516181E-5,7.3946890911093295,0.26905895511488254
-63.23,-32.4,train,8.037604425116209E-5,16.027843459011862,0.34692163948075555
-60.5,-31.73,train,7.607317643119584E-5,14.553253864588536,0.3345630275864687
-66.85,-29.42,train,5.4240271382619836E-5,7.016175511684767,0.26388154923971135
-65.78,-28.47,train,5.5131105737520313E-5,7.254382700538103,0.2670580845504233
