Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.45268E-9,0.000000145,0.000009148,1,0,0
9.44436E-9,0.00000109,0.000059472,0.999895156,0,0
1.32769E-8,0.00000346,0.000083603,0.999685469,0,0
2.06409E-8,0.000011094,0.000129968,0.999266094,0,0
3.01813E-8,0.000026452,0.000190029,0.998637031,0,0
3.5078E-8,0.000053137,0.000220853,0.997798281,0,0
6.24435E-8,0.000103651,0.00039308,0.996644999,0,0
9.87541E-8,0.00025566,0.000621512,0.994652967,0,0
1.17872E-7,0.000506328,0.000741741,0.99224156,0,0
1.45136E-7,0.00100705,0.000913149,0.988257496,0,0
2.53184E-7,0.002520833,0.001591871,0.980184525,0,0
3.83211E-7,0.00500214,0.002407442,0.971901866,0,0
5.58352E-7,0.010020863,0.003503867,0.960683581,0,0
9.81533E-7,0.025073942,0.00614318,0.939714825,0.000547945,0
1.60269E-6,0.050056531,0.009992032,0.919270287,0.00109589,0
2.6553E-6,0.100047476,0.016446572,0.894107779,0.00109589,0
4.77148E-6,0.200212988,0.02917158,0.864961208,0.00109589,0.002980626
7.19976E-6,0.300661306,0.043373502,0.846928077,0.00109589,0.002980626
9.37593E-6,0.400429515,0.055752509,0.834451667,0.001643836,0.003477397
1.15174E-5,0.500364571,0.067625322,0.824386664,0.002739726,0.003477397
1.34655E-5,0.600920459,0.078169472,0.815894317,0.003287671,0.007948336
1.53972E-5,0.700328495,0.088392168,0.808660096,0.004383562,0.007948336
1.65025E-5,0.75155882,0.09413998,0.805305095,0.004383562,0.010432191
1.71809E-5,0.800230474,0.097632275,0.802264626,0.004383562,0.010432191
1.87338E-5,0.901150732,0.105525907,0.796393374,0.005479452,0.010432191
2.02909E-5,1.000859238,0.113302959,0.791046341,0.006575342,0.010928962
2.15941E-5,1.101629417,0.119708939,0.786013839,0.007671233,0.010928962
2.28667E-5,1.201998141,0.125875327,0.781295869,0.007671233,0.021857923
2.42486E-5,1.301087169,0.132474875,0.77689243,0.008219178,0.024838549
2.54199E-5,1.40041338,0.137991,0.772698679,0.008767123,0.025832091
2.67332E-5,1.502194701,0.14409284,0.768609771,0.009315068,0.025832091
2.88371E-5,1.752127498,0.153689757,0.759173831,0.011506849,0.025832091
3.11771E-5,2.001783972,0.164114423,0.750471797,0.012054795,0.026825633
3.34855E-5,2.251505862,0.174149663,0.742398826,0.01369863,0.027819175
3.57463E-5,2.501685902,0.183746931,0.734850073,0.014246575,0.028315946
3.78772E-5,2.752356442,0.192590914,0.727720696,0.015890411,0.028812717
3.98145E-5,3.000704409,0.200466528,0.721010694,0.018082192,0.028812717
4.13249E-5,3.252863917,0.206501131,0.71451038,0.019726027,0.029309488
4.2905E-5,3.501398822,0.2127172,0.708324596,0.020821918,0.039244908
4.4351E-5,3.750039827,0.218321142,0.702348501,0.023013699,0.042722305
