Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.12024E-8,0.00000312,0.000062637,1,0,0
3.00544E-7,0.000033175,0.000603001,0.999599038,0,0
3.24283E-7,0.000065603,0.000650599,0.999198075,0,0
4.58153E-7,0.000111418,0.00091893,0.998797113,0,0
6.58422E-7,0.00028393,0.001320085,0.997594226,0,0
8.16957E-7,0.000514659,0.001637415,0.996391339,0,0
1.18618E-6,0.001034111,0.002375684,0.994386528,0,0
1.74023E-6,0.00250805,0.003481467,0.990777867,0,0
2.58706E-6,0.005205722,0.005166875,0.985966319,0,0
3.75954E-6,0.010229369,0.007491011,0.979550922,0,0
7.23065E-6,0.025231139,0.014308349,0.96872494,0,0
1.21939E-5,0.050753339,0.0238951,0.95829992,0,0
1.91236E-5,0.100241639,0.036972533,0.945870088,0.001408451,0
2.89352E-5,0.202603912,0.05490039,0.929029671,0.001408451,0
3.73011E-5,0.302125157,0.069667631,0.917000802,0.001408451,0
4.40161E-5,0.400876124,0.081191031,0.907377706,0.001408451,0
4.78845E-5,0.503657109,0.087700801,0.898556536,0.001408451,0.004237288
5.68193E-5,0.603113714,0.102389392,0.890938252,0.001408451,0.004237288
6.3222E-5,0.70585656,0.112627737,0.884121893,0.002816901,0.004237288
6.60569E-5,0.751185053,0.11708676,0.881315156,0.002816901,0.004237288
6.74996E-5,0.80471077,0.119338661,0.878107458,0.002816901,0.004237288
7.15653E-5,0.901203168,0.12562384,0.872493986,0.004225352,0.004237288
7.79221E-5,1.006009251,0.13527304,0.866880513,0.004225352,0.004237288
8.38402E-5,1.103410233,0.144066665,0.862068966,0.004225352,0.004237288
8.93071E-5,1.208215545,0.15203255,0.857257418,0.004225352,0.004237288
9.33784E-5,1.300184636,0.15786914,0.853247795,0.004225352,0.004237288
9.58779E-5,1.404404942,0.161412884,0.848837209,0.005633803,0.004237288
1.00272E-4,1.502328915,0.167570675,0.844827586,0.007042254,0.004237288
1.11158E-4,1.757558788,0.182444586,0.835204491,0.007042254,0.008474576
1.19875E-4,2.011284525,0.193976452,0.82638332,0.008450704,0.012711864
1.25794E-4,2.257043906,0.201622074,0.818364074,0.008450704,0.012711864
1.36101E-4,2.506135956,0.21459754,0.81074579,0.009859155,0.012711864
1.44965E-4,2.756969897,0.225423794,0.803528468,0.014084507,0.016949153
1.53069E-4,3.010677399,0.235063532,0.796712109,0.016901408,0.016949153
1.5908E-4,3.260580742,0.242058946,0.790296712,0.01971831,0.029661017
1.67031E-4,3.506041309,0.251119622,0.784282277,0.022535211,0.029661017
1.73392E-4,3.761613826,0.258213467,0.778267843,0.025352113,0.029661017
1.82612E-4,4.009770634,0.268260914,0.77265437,0.028169014,0.033898305
1.86583E-4,4.250327378,0.27250492,0.76744186,0.029577465,0.033898305
1.90622E-4,4.513972998,0.276770546,0.761828388,0.030985915,0.033898305
