X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-43.03,-22.08,train,5.004977321070894E-4,28.62709408556599,0.41730305581782234
-43.45,-22.76,train,5.084364911937165E-4,29.837200492418333,0.4211346510768552
-43.2,-22.9,train,5.251468868159716E-4,31.725857165549538,0.429037408489847
-49.52,-20.82,train,0.0012643377203393749,76.76516699588272,0.6440179146239357
-43.93,-19.9,train,6.880147931727906E-4,45.93622293632122,0.4960882679164728
-40.37,-20.24,train,5.820529215521627E-4,36.840163405350786,0.4544029815541194
-40.58,-19.94,train,5.032208861839185E-4,29.019981680865172,0.4186230726158046
-46.6,-20.72,train,8.119885290317026E-4,53.57430056951594,0.53743696179823
-47.07,-22.8,train,8.51933536162772E-4,55.14929246506116,0.549351522882879
-47.8,-24.89,train,1.812609294973385E-4,5.176617169467161,0.2059488579228226
-34.97,-8.1,train,6.692173609761767E-4,44.55729702341312,0.4891645278666885
-48.86,-26.32,train,2.9398150621771105E-4,10.33476146665627,0.2960996539859774
-48.53,-26.21,train,4.0039698090748416E-4,19.045078858791793,0.3642416355385287
-35.74,-9.66,train,6.112506420976877E-4,39.650066134757694,0.46656235801932355
-48.54,-27.6,train,3.5755057371369286E-4,14.75716989243937,0.33845636456909156
-45.43,-23.62,train,4.26061032703095E-4,21.257573700146047,0.37874582084198966
-38.5,-12.97,train,5.942000458329386E-4,37.83454864938568,0.45952835001439546
-44.3,-2.51,train,5.076589388524842E-4,29.779134567341295,0.42076159746909425
-51.85,-21.31,train,0.0011292011186163611,68.5867893397623,0.6177025593600434
-48.95,-20.48,train,0.0011951798721988036,71.76719083293297,0.6310198302623619
-51.33,-20.38,train,0.0011991798647614951,72.07041511137577,0.6317974293402665
-48.05,-20.2,train,0.0010687063093104284,64.69853366759142,0.6046184983774399
-55.06,-22.2,train,0.001074843397129195,65.06014487893101,0.6059865310285195
-38.55,-3.76,train,0.001075491037990063,65.25098232718318,0.606130346146304
-46.51,-23.49,train,6.75878240394389E-4,45.18065924471903,0.4916396180425015
-56.29,-15.54,train,9.981850921722815E-4,61.343752214648866,0.5881883500290203
-51.27,-23.28,train,8.91124179610894E-4,56.58496332854142,0.5604592738293436
-52.46,-23.08,train,0.0010473494190148074,63.78319027725154,0.5997828268384138
-51.94,-23.42,train,6.485552042351717E-4,43.095300290737825,0.4813310676140217
-49.98,-23.16,train,8.029000994484415E-4,53.26686073068929,0.5346376081516414
-46.42,-10.58,train,7.98301343900225E-4,53.040407780411876,0.533208182561286
-76.52,3.45,train,5.226071428885153E-4,31.35076477406431,0.42785023546590195
-77.04,3.88,train,1.8994852901916013E-4,5.574489457780251,0.21371021406360727
-69.94,-4.22,train,1.3370007545910757E-4,3.2668121766698697,0.16058813875150146
-72.25,18.56,train,0.0010308895364487508,62.72409593527306,0.5959744670152155
-73.93,18.09,train,6.09897950613433E-4,39.51858678463607,0.4660110155804826
-72.51,18.77,train,0.0011610845016822322,70.51784094311714,0.6242559285511202
-99.56,24.86,train,0.001510156051688781,87.07416314476241,0.6836313543640401
-99.84,25.18,train,6.482639231135627E-4,43.07657354249162,0.48121891912841264
-100.19,25.78,train,0.0014553837970695408,85.89222773440935,0.6755876112012991
-100.87,26.12,train,4.347461216911508E-4,22.48880458152936,0.3835055199475762
-86.89,21.15,train,1.382370041407496E-4,3.4794424040924548,0.16513758641911735
-92.43,14.87,train,3.1131642881119777E-4,11.263190433455327,0.3081787297773489
-99.18,18.62,train,3.2627602273352076E-4,12.159887654613385,0.31827428254998535
-98.12,26.02,train,6.814666441511883E-4,45.51985578545625,0.49369776333351373
-97.39,20.95,train,5.355788858673414E-4,32.4344802718557,0.4338624809724137
-87.53,13.02,train,0.0010800726351925967,65.59776512528579,0.6071447448925423
-79.39,9.08,train,3.846166256968329E-4,17.58092885829012,0.3549821404032397
-66.92,10.48,train,4.2034110441248486E-4,20.750646169947984,0.37557077618409124
-66.83,10.43,train,4.68062115497267E-4,25.68463328889309,0.4011065560789906
-75.565521,6.326812,train,4.333357361058855E-4,22.3613469035354,0.38273755106870294
-45.45,-18.58,train,7.24461620410796E-4,48.54523229870381,0.5089918303251924
-82.36,23.14,train,0.0010902257451281634,66.04878594921027,0.6093742028505935
-49.28,-16.64,train,0.0012077270129262246,72.79289704400351,0.6334480614151001
-61.62,10.68,train,4.666885607369715E-4,25.53787969694785,0.40040078590225314
-44.83,-2.07,train,3.379184550005991E-4,13.010344486555695,0.32592963764930394
-45.37,-2.59,train,5.180944790025025E-4,30.85138216993771,0.42572862038371106
-40.26,-3.19,train,0.0020746857712640723,96.38471847939624,0.7480251649311449
-46.92,-2.39,train,4.7341929209613253E-4,26.050440103497465,0.40384341604666973
-41.35,-2.99,train,0.0019513417532374875,95.37749564883813,0.7362979332387104
-44.12,-2.51,train,5.613381685789203E-4,34.90525710617488,0.4454346598072089
-45.41,-2.12,train,4.2189885271449513E-4,20.913121074170363,0.376438669597072
-56.19,-2.65,train,2.1355669986514674E-4,6.600405715077992,0.23405482407677702
-39.06,-3.59,train,0.0016853034013411014,91.05371897153493,0.706872636239397
-44.92,-3.55,train,6.618411267774778E-4,43.768433596968826,0.4863953464746332
-50.01,-1.57,train,2.3851410837822426E-4,7.654949481038189,0.25444786093226995
-41.52,-3.43,train,0.0021462400661183432,97.01691132669207,0.7543623233984392
-42.58,-3.21,train,0.00130299379144825,79.6037874813313,0.6508919603266697
-49.51,-2.28,train,2.485116696010835E-4,7.973605302589417,0.2623155902250121
-59.6,-2.51,train,2.308978018563778E-4,7.426779380633528,0.2483405466549391
-60.02,-1.22,train,1.4644100207686838E-4,3.8012939389913423,0.1732402256068588
-40.77,-3.89,train,0.001443866497763024,85.60185486590795,0.673843876818917
-47.53,-3.8,train,5.270642996396881E-4,32.004349443257865,0.42993042164922013
-58.58,-2.54,train,2.5933414354654613E-4,8.53674454383978,0.27064743896355664
-40.4,-3.49,train,0.002274530462236929,98.78099069966295,0.7649606293619007
-44.1,-2.44,train,5.778037622792766E-4,36.5664137741675,0.4525870613223483
-53.26,-3.17,train,1.3150927106219453E-4,3.1835034809584264,0.15837349016950036
-45.48,-3.71,train,5.764531904942572E-4,36.44132764517926,0.45200734680350796
-57.11,-3.13,train,3.129812640340375E-4,11.331928182265527,0.3093170137858387
-61.02,-1.8,train,6.002011475753252E-5,1.3005859531932384,0.07908985666810565
-49.29,-3.76,train,4.2201527045137937E-4,20.92416636722131,0.3765034344082373
-43.46,-3.77,train,6.231439097486002E-4,40.6673519062057,0.47136135492189307
-49.86,-3.8,train,4.017451708677035E-4,19.164945724708183,0.36502040632287336
-48.42,-4.48,train,6.436345862136437E-4,42.8588365397236,0.47943000803319963
-50.55,-3.7,train,3.2357362798704644E-4,11.896715525500184,0.31647242183051083
-42.18,-4.64,train,0.0021978287583491077,98.10235881599164,0.7587370097016792
-60.23,-3.75,train,2.2810925813226184E-4,7.356009186213543,0.24607938865781157
-43.02,-4.1,train,0.0011358458563231145,69.26576625192646,0.6190871187927712
-44.32,-4.69,train,7.03759955530612E-4,46.90673235952557,0.5017449276090113
-46.51,-3.96,train,4.2842475076149784E-4,21.513810173551413,0.38004847592634006
-40.97,-4.38,train,0.0014278572643135002,85.32949647682985,0.6713886857435681
-39.57,-4.61,train,0.0015711849587462328,88.76905273553746,0.6921367322378258
-40.37,-4.89,train,9.380906505035373E-4,58.32379337760588,0.5730702915724082
-42.77,-4.62,train,0.0016089226043844254,89.89078257162356,0.6971710061433798
-45.09,-4.3,train,5.125924231781467E-4,30.20116981266747,0.42312046170227785
-42.67,-5.34,train,0.0017210871153227989,91.75743551220002,0.7112070962848479
-49.91,-5.08,train,3.57307826272149E-4,14.723293743007266,0.33830431745961
-43.35,-4.83,train,9.523841109619563E-4,59.20442417825846,0.5767658592941959
-47.76,-5.68,train,0.0010874111169938262,65.83434707595812,0.6087586953432593
-35.73,-5.18,train,0.0011943454970415835,71.59154673148296,0.6308572134334248
-37.76,-4.89,train,0.0017440970771459517,92.41708022350326,0.7139272014220485
-38.01,-5.3,train,0.002586591570142132,100.0,0.7872852727994716
-48.11,-5.64,train,9.907229289443133E-4,61.022742215672125,0.5863695599541561
-35.99,-5.15,train,7.498605173568672E-4,50.01730854321745,0.5176001317412928
-40.75,-5.21,train,0.0013204678615968335,80.78341877419345,0.6539129275471786
-42.26,-5.8,train,0.002293616516374652,99.01030494309875,0.7664597110209408
-45.78,-5.22,train,8.964640552708571E-4,56.97766637304529,0.5619305018629184
-46.48,-5.38,train,9.649710615702474E-4,59.66760065999973,0.579967633408721
-36.88,-5.27,train,0.0021689599268795096,97.66547543219063,0.7563083465892565
-40.34,-5.5,train,8.765750242002818E-4,56.00721314503604,0.5564001244830103
-50.07,-5.53,train,3.6230614022394857E-4,15.354411457184492,0.34142102752102466
-44.53,-5.6,train,0.0012219950895361962,73.78753050738221,0.636170795453101
-37.95,-6.47,train,0.0023268337379709386,99.10801371594259,0.7690236012852574
-35.87,-6.42,train,0.0012478586203144716,75.00428720096659,0.6410045108010993
-38.71,-5.98,train,0.001968395163641124,95.77030116444749,0.7379839403385244
-48.19,-6.19,train,0.0011265303645890908,68.36096634533129,0.6171432161895727
-48.79,-6.17,train,0.0011257240584352114,68.31316824453785,0.616974027527702
-35.05,-6.56,train,9.365754639941828E-4,58.21564224057386,0.5726747540093632
-47.24,-6.18,train,0.0013710758899248643,83.34623092196561,0.6623744176664854
-44.06,-6.98,train,0.0014197305974602875,85.02963312591629,0.6701281739774309
