X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-66.23,17.98,train,0.0012437971057854828,44.087885527245696,0.47597909741891953
-65.91,18.05,train,7.553062096850756E-4,30.547381707440316,0.35549794261811873
-66.11,18.47,train,0.00343661102797727,74.27285939248385,0.7150745636869399
-77.24,17.8,train,0.0029203800460097366,70.44397207262057,0.6807862076184739
-76.72,17.95,train,5.99684377258997E-4,25.59871871694043,0.3045596420918807
-77.92,18.47,train,0.0033773942457605687,73.589962352482,0.7115200400709946
-72.63,18.51,train,0.002425031522229321,65.31866707228467,0.6391133734442715
-75.83,20.02,train,0.002821418811443438,69.28828992747772,0.6732482373559209
-76.14,20.2,train,0.00224614467221064,62.957434128232556,0.6212574190466376
-74.91,20.22,train,0.003217848392694766,72.92587893182139,0.7014864836259325
-77.5,20.73,train,0.012799972091973987,98.65656220448825,0.9033589579119471
-77.71,21.36,train,0.0050756626793567496,82.19705813432991,0.7875350053441676
-77.92,21.38,train,0.008824765826391313,90.1245260739078,0.8656736322819799
-79.27,21.77,train,0.0091276621187835,91.03730179740273,0.8695496885877713
-79.98,21.8,train,0.0026333540153539283,66.84079421805288,0.6578959389048609
-79.72,22.11,train,0.013430585791044726,99.99996973761611,0.9074767608776849
-79.24,22.33,train,0.009430615319210115,91.98034216351914,0.8732089954991329
-82.21,22.87,train,0.007561737648621907,89.24204766311588,0.8466772630427373
-82.41,22.99,train,0.004346127020767987,78.8648098605967,0.7604154582076913
-82.33,23.02,train,0.007187005694805147,88.48586440591357,0.8399623695014297
-82.46,23.05,train,0.0013992607765838736,48.28978509710374,0.5054041805472641
-57.95,-34.92,test,2.4806870150403316E-5,0.30979100972775037,0.017793625674892607
-58.46,-34.59,test,2.4806870150403316E-5,0.30979100972775037,0.017793625674892607
-64.19,-31.4,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-64.17,-31.32,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-60.05,-26.93,test,7.537573374088377E-5,2.4270851534476052,0.05217351778265135
-58.37,-34.61,test,2.4806870150403316E-5,0.30979100972775037,0.017793625674892607
-63.81,-22.55,test,1.4001476871692879E-5,0.1591056901217003,0.010121513561520901
-63.76,-22.28,test,4.1274175209477784E-5,0.6847412770403513,0.02925978648982992
-63.72,-22.07,test,4.1274175209477784E-5,0.6847412770403513,0.02925978648982992
-64.21,-31.46,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-64.11,-31.45,test,1.5164234175882952E-6,0.012402097277185225,0.0011061895029044829
-64.2,-31.42,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-64.27,-31.4,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-64.13,-31.39,test,1.5164234175882952E-6,0.012402097277185225,0.0011061895029044829
-64.24,-31.36,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-64.16,-31.36,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-58.99,-27.46,test,7.368232681409097E-5,2.3311055017529965,0.05106122763424383
-54.57,-25.62,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-54.57,-25.61,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-54.59,-25.6,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-54.57,-25.6,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-54.58,-25.6,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-54.57,-25.59,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-64.32,-23.14,test,1.90211937558808E-5,0.22880538655155067,0.013700496694969224
-64.33,-23.13,test,1.90211937558808E-5,0.22880538655155067,0.013700496694969224
-63.82,-22.53,test,1.4001476871692879E-5,0.1591056901217003,0.010121513561520901
-58.5,-34.58,test,2.4806870150403316E-5,0.30979100972775037,0.017793625674892607
-54.58,-25.61,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-63.68,-22.02,test,4.1274175209477784E-5,0.6847412770403513,0.02925978648982992
-58.47,-34.59,test,2.4806870150403316E-5,0.30979100972775037,0.017793625674892607
-54.59,-25.97,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-54.59,-25.96,test,9.517589098721983E-5,3.5890170568252833,0.06498809687921908
-57.72,-25.28,test,3.0555996185899914E-4,14.052889496897004,0.18243510493577822
-58.5,-34.67,test,2.4806870150403316E-5,0.30979100972775037,0.017793625674892607
-58.46,-34.56,test,2.4806870150403316E-5,0.30979100972775037,0.017793625674892607
-64.17,-31.4,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-64.17,-31.38,test,1.980534910639433E-6,0.017525257446757096,0.0014442572094805661
-66.58,-31.33,test,2.5424553464824087E-7,0.0016249980644480924,1.856360993349481E-4
-61.48,-31.25,test,9.334887296982445E-6,0.09659245940227494,0.006770928536123543
-59.65,-29.1,test,5.340533712125773E-5,1.1847185289525168,0.037536906150491926
-64.27,-27.78,test,2.7175770650278807E-6,0.025658972710551852,0.00198066283735516
-65.27,-26.93,test,4.999878671327721E-7,0.0032882066578575507,3.649981376315703E-4
