X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-66.23,17.98,train,2.0744789792080036E-4,63.98875002931299,0.5910548801516109
-65.91,18.05,train,9.457406996047939E-5,22.505651328967556,0.39719438881467867
-66.3,17.98,train,1.3302687657205394E-4,37.812642688526054,0.4810088606286306
-66.01,18.01,train,6.439652970280636E-5,14.076820488624998,0.30970633604598025
-66.03,18.03,train,9.16778427216936E-5,21.445232331675964,0.3897717908335928
-66.07,18.45,train,3.054200637066529E-4,90.10405422504074,0.6802967287420111
-66.25,18.02,train,1.3295648430694244E-4,37.79387033574871,0.48087672829020517
-66.29,17.96,train,1.1599768346180323E-4,30.85204973201842,0.4469548438441932
-66.26,17.95,train,1.0579110751352436E-4,26.65499544472022,0.42431468036791115
-66.08,18.05,train,1.4301765096238743E-4,40.957906152726004,0.4991039382927835
-66.03,18.05,train,1.2042468658161804E-4,32.67119876341117,0.4562303816315769
-65.94,17.98,train,1.0080191299524244E-4,24.730069465501188,0.41255939178140555
-66.0,18.02,train,1.1980802406936905E-4,32.3799234116042,0.4549570340576896
-66.0,17.99,train,1.551470844918746E-4,44.94893600828333,0.5194455103809582
-65.99,17.98,train,4.288031642427196E-5,8.315513001122179,0.23003042636686732
-77.24,17.8,train,2.405140223656335E-4,75.32494845515063,0.6262648764648288
-76.72,17.95,train,2.383598266248457E-4,74.60559490139244,0.6241566869723628
-77.37,18.05,train,5.454708172787586E-5,11.840046525079707,0.27538146158351656
-77.92,18.47,train,2.1071123873995368E-4,65.07262730056698,0.5948221514463043
-72.63,18.51,train,8.351895813594993E-5,18.5871320492831,0.36784367605599216
-75.83,20.02,train,5.206943859024507E-4,98.78540516069704,0.7839119889288106
-75.82,20.03,train,5.280755046691357E-4,98.85931152442315,0.786286848062622
-75.21,20.14,train,2.779171257669734E-4,85.1551633727485,0.65943348390292
-75.96,20.19,train,1.6122862033872242E-4,46.868307503364214,0.5290350603614234
-76.14,20.2,train,1.2614626385637283E-4,34.86084020685037,0.46776720067546224
-74.91,20.22,train,5.046763273749643E-5,10.704614586751168,0.26014402638852807
-77.5,20.73,train,1.073837443521464E-4,27.50221132059621,0.42796873818516523
-77.71,21.36,train,1.4974784694152113E-4,43.086729497783125,0.5105985503505531
-77.92,21.38,train,3.4547125454080486E-4,94.32832763948991,0.7064816631614694
-77.91,21.38,train,2.68211866148976E-4,82.58210298743442,0.6514059374219228
-79.27,21.77,train,1.1986184670948743E-4,32.40543927653293,0.45506841001766507
-79.98,21.8,train,1.2204562148079367E-4,33.40341067649938,0.4595492526343152
-79.44,21.93,train,3.750525211166654E-4,95.89825318270543,0.7232246578169198
-79.17,21.95,train,1.8316763897701453E-4,54.61499609125295,0.5606620756136689
-79.27,22.01,train,8.865071886495147E-5,20.3199403077558,0.38181580303068624
-79.5,22.08,train,2.942264851146634E-4,88.57171767951029,0.6721218320740019
-79.72,22.11,train,1.8480016057350048E-4,55.248161556112635,0.5628465415999333
