Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.13459E-5,0.00113459,0.087914287,1,0,0
1.23345E-5,0.003561453,0.094848305,0.9998,0,0
1.25764E-5,0.006070007,0.096528841,0.9996,0,0
1.36889E-5,0.010056382,0.104178062,0.9993,0,0
1.63117E-5,0.025217819,0.121708752,0.9983,0,0
1.73396E-5,0.052155967,0.128393567,0.9967,0,0
1.98057E-5,0.104818123,0.144024825,0.9938,0.000387822,0
2.28738E-5,0.201626128,0.16270507,0.9893,0.001163467,0.001519757
2.45124E-5,0.301749162,0.172352245,0.9851,0.002520845,0.001519757
2.57698E-5,0.40252841,0.179605272,0.9811,0.003102579,0.001519757
2.76384E-5,0.501436739,0.190152032,0.9774,0.004266046,0.001519757
2.90283E-5,0.600447991,0.19782287,0.9739,0.005235602,0.001519757
3.04596E-5,0.701443413,0.205571786,0.9705,0.005817336,0.002026342
3.15923E-5,0.75100542,0.211598958,0.9689,0.006399069,0.002532928
3.20647E-5,0.801958484,0.214085465,0.9673,0.007174714,0.002532928
3.28026E-5,0.90223144,0.217938308,0.9642,0.007950359,0.004052685
3.37054E-5,1.000376282,0.222601417,0.9612,0.009501648,0.006079027
3.41132E-5,1.100585201,0.224689522,0.9583,0.010471204,0.008611955
3.4561E-5,1.200154074,0.226969551,0.9554,0.01144076,0.010638298
3.50312E-5,1.301096538,0.229349112,0.9525,0.012604227,0.012158055
3.55484E-5,1.403473957,0.231949872,0.9496,0.013379872,0.015197568
3.60433E-5,1.500240286,0.234422029,0.9469,0.015318984,0.016717325
3.68869E-5,1.751792052,0.238599811,0.94,0.017645918,0.019250253
3.77172E-5,2.001734996,0.242667112,0.9333,0.019197208,0.021783181
3.84467E-5,2.2647883,0.246205143,0.9264,0.021718053,0.025835866
3.90809E-5,2.501112144,0.249254272,0.9203,0.023463254,0.030395137
3.96308E-5,2.75341653,0.251878052,0.9139,0.02617801,0.034954407
4.02189E-5,3.001220498,0.254663809,0.9077,0.028117122,0.03698075
4.09424E-5,3.253348167,0.258062695,0.9015,0.029862323,0.041033435
4.15036E-5,3.500988201,0.260678108,0.8955,0.032770991,0.044072948
4.20702E-5,3.755285665,0.263299613,0.8894,0.03432228,0.046099291
4.25046E-5,4.001514696,0.265296964,0.8836,0.036067481,0.046099291
4.31034E-5,4.25392253,0.268032809,0.8777,0.038782238,0.048632219
4.37065E-5,4.501044183,0.270767569,0.872,0.040139616,0.053698075
4.41724E-5,4.751531371,0.272866545,0.8663,0.041303083,0.056231003
4.49386E-5,5.000910754,0.276291772,0.8607,0.043048284,0.058257345
4.54082E-5,5.254130942,0.278375476,0.8551,0.044211751,0.058763931
4.60693E-5,5.514727596,0.281288092,0.8494,0.046344774,0.064336373
4.65201E-5,5.755461328,0.283260875,0.8442,0.047508241,0.064842958
4.69178E-5,6.003058504,0.284992504,0.8389,0.048477797,0.065349544
4.75411E-5,6.251447732,0.287689394,0.8336,0.049835175,0.068895643
4.80568E-5,6.502125022,0.289905299,0.8284,0.051386465,0.0704154
4.86238E-5,6.752803465,0.292325784,0.8232,0.053325577,0.077001013
4.89915E-5,7.002314354,0.293886872,0.8181,0.0554586,0.078014184
4.95674E-5,7.25506515,0.296317806,0.8129,0.057203801,0.078014184
5.00636E-5,7.503087311,0.29839905,0.808,0.057785534,0.080547112
5.05706E-5,7.754805543,0.300512566,0.803,0.058949001,0.081053698
5.11067E-5,8.004118005,0.302734171,0.7981,0.06030638,0.085106383
5.1427E-5,8.250163211,0.304054628,0.7933,0.061469847,0.085106383
5.17827E-5,8.502884634,0.305514928,0.7884,0.062245492,0.085612969
5.21044E-5,8.752251789,0.306830792,0.7836,0.063990692,0.08662614
5.25636E-5,9.003719813,0.308699951,0.7788,0.065541982,0.088652482
5.2845E-5,9.25162699,0.309840523,0.7741,0.066123715,0.091691996
5.32729E-5,9.500838086,0.311567808,0.7694,0.066705449,0.093718338
5.36956E-5,9.75021599,0.313265449,0.7647,0.068256738,0.093718338
5.41046E-5,10.000401522,0.31490028,0.7601,0.068838472,0.098784195
5.4471E-5,10.250059953,0.31635804,0.7555,0.070389761,0.102836879
5.49019E-5,10.501538292,0.3180647,0.7509,0.072328873,0.104863222
5.5238E-5,10.75486727,0.319390089,0.7463,0.074461896,0.10739615
5.5605E-5,11.004365091,0.320831166,0.7418,0.076207097,0.110435664
5.59719E-5,11.260920077,0.322265867,0.7372,0.077370564,0.113475177
5.63301E-5,11.502311711,0.323660613,0.7329,0.078921854,0.113981763
5.66777E-5,11.750998043,0.325008956,0.7285,0.079697499,0.117021277
5.69838E-5,12.001181799,0.326191778,0.7241,0.081248788,0.12006079
5.72932E-5,12.252587665,0.327383024,0.7197,0.0831879,0.121580547
5.77515E-5,12.505534422,0.329139568,0.7153,0.084933101,0.12360689
5.81103E-5,12.766153522,0.33050885,0.7108,0.087066124,0.126139818
5.84095E-5,13.010819343,0.331646298,0.7066,0.087260035,0.129685917
5.88089E-5,13.250919673,0.333158408,0.7025,0.08978088,0.132725431
5.92554E-5,13.502788088,0.334840829,0.6982,0.090556525,0.135258359
5.95867E-5,13.754352713,0.336083959,0.694,0.091913903,0.137284701
5.99217E-5,14.041363308,0.337336042,0.6892,0.093465193,0.138297872
6.06062E-5,14.252295826,0.339879697,0.6857,0.09617995,0.143363728
6.1041E-5,14.501640169,0.341485159,0.6816,0.098119061,0.144883485
6.13976E-5,14.752625348,0.342796536,0.6775,0.099088617,0.146403242
6.17063E-5,15.004434156,0.343927059,0.6734,0.100252085,0.146909828
6.20974E-5,15.252153591,0.345354294,0.6694,0.102579019,0.150455927
6.28085E-5,15.52089303,0.3479329,0.6651,0.105293775,0.158561297
6.2974E-5,15.778786929,0.348530086,0.661,0.10606942,0.160081054
6.33497E-5,16.00628935,0.349881894,0.6574,0.107814621,0.163627153
6.38588E-5,16.250506349,0.351704749,0.6535,0.109171999,0.164133739
6.44519E-5,16.524141,0.353815866,0.6493,0.111111111,0.167679838
6.49217E-5,16.750388479,0.355478084,0.6458,0.112274578,0.171225937
6.54222E-5,17.004102296,0.357239479,0.6419,0.114407601,0.17325228
6.602E-5,17.330849711,0.359330737,0.6369,0.117316269,0.17781155
6.64336E-5,17.501443306,0.360769672,0.6343,0.118867559,0.178318136
6.71E-5,17.752157954,0.363074526,0.6306,0.121388404,0.180851064
6.76204E-5,18.001241723,0.364862982,0.6269,0.122939694,0.183383992
6.79618E-5,18.251814965,0.366031057,0.6232,0.125072717,0.18591692
6.86692E-5,18.50476479,0.368437221,0.6195,0.12720574,0.192502533
6.93005E-5,18.752915953,0.370569083,0.6159,0.128757029,0.195035461
