X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-57.95,-34.92,train,6.447097807270042E-5,16.533328666778733,0.35388335862726444
-58.46,-34.59,train,5.366768052809317E-5,9.733744498670656,0.31315359909230595
-64.19,-31.4,train,7.020437148667165E-5,19.10203966268812,0.3735967624546364
-64.17,-31.32,train,1.754548131966574E-4,73.37547433762273,0.5984843060166448
-60.05,-26.93,train,2.7076151447239037E-4,94.43018869005805,0.6969911202224894
-58.37,-34.61,train,1.2295775305113939E-4,47.72936367508946,0.5109015149849638
-63.81,-22.55,train,6.090188327658072E-5,14.421861033762434,0.34097242794534055
-63.76,-22.28,train,2.5538839522536237E-4,92.87983114713069,0.684505979580215
-63.72,-22.07,train,3.859715461511708E-5,2.3208526535036405,0.24693074285657707
-64.21,-31.46,train,1.0333819980379497E-4,40.38110920979949,0.46749073875643754
-64.11,-31.45,train,7.369301451347309E-5,20.51556679694553,0.3850139915726541
-64.2,-31.42,train,5.7893015675633E-5,12.608326194629223,0.32968035791346667
-64.27,-31.4,train,1.6083741450704484E-4,66.92614857702168,0.5774139063387161
-64.13,-31.39,train,1.8474728919994342E-4,77.5490632845991,0.6108201611895262
-64.24,-31.36,train,6.060008923687985E-5,14.250412760036763,0.33985701106394556
-64.16,-31.36,train,1.6805185955725923E-4,70.5124977893237,0.5880826473748055
-58.99,-27.46,train,8.450044603302092E-5,30.438104703060763,0.41788273938271087
-54.57,-25.62,train,1.7338808653467582E-4,72.63937042324025,0.5956336452737604
-54.57,-25.61,train,1.310325165716168E-4,51.945889746738246,0.5267787659089688
-54.57,-25.6,train,1.1217296367586196E-4,43.31641377522544,0.48795586656711887
-54.58,-25.6,train,1.4187031841075127E-4,57.21288751784076,0.5465363074905654
-54.57,-25.59,train,1.5302072172218562E-4,63.219192474913065,0.5652127786864409
-64.32,-23.14,train,9.462575487524858E-5,37.83949263634553,0.44564115608440297
-64.33,-23.13,train,2.6510519159644494E-4,93.96495019642349,0.6925139885659828
-63.82,-22.53,train,3.8124908120899506E-5,2.148752087528783,0.24464862726209774
-58.5,-34.58,train,5.464017931766007E-5,10.34879500474822,0.31702917105608763
-54.58,-25.61,train,1.2371235412783583E-4,48.15483428656957,0.5124302613444993
-63.68,-22.02,train,1.960105226128039E-4,80.98424078136846,0.6247925240563649
-58.47,-34.59,train,7.049471839489773E-5,19.182820886270513,0.37456312399639535
-54.59,-25.97,train,1.422512463589072E-4,57.35313865918929,0.5472007784176808
-54.59,-25.96,train,5.232731097899629E-5,8.8743227459166,0.3077393431161414
-57.72,-25.28,train,2.151955783109007E-4,85.9102040742501,0.6464153712380796
-58.5,-34.67,train,5.625809123823297E-5,11.453784874971916,0.3233808171303117
-58.46,-34.56,train,6.173256359715298E-5,15.021069296495535,0.3440232082623052
-64.17,-31.4,train,7.608892949042493E-5,21.644635765309562,0.39261697843433696
-64.17,-31.38,train,6.942093671042037E-5,18.807837439625462,0.37097429451437164
-66.58,-31.33,train,5.708199947005633E-5,12.080974697546388,0.32657015450955557
-61.48,-31.25,train,1.2149225610690854E-4,47.0166937582864,0.5079050091078605
-59.65,-29.1,train,1.6318088353699687E-4,68.1885919381217,0.5809395309506823
-64.27,-27.78,train,1.1728309927588005E-4,45.270540651415466,0.49909070361579316
-65.27,-26.93,train,1.8082537759504135E-4,76.09459003842368,0.6057074452268921
-55.03,-26.81,train,1.1307066939484251E-4,43.67698025838422,0.4899476453335079
-64.78,-23.82,train,1.8809557688633871E-4,78.57986394030343,0.6150813134177165
-64.32,-23.13,train,2.0713411578805052E-4,84.01136728300305,0.6376406849005349
-63.78,-22.52,train,2.44582711623029E-4,91.52963420904668,0.6750961180104246
-63.67,-22.03,train,1.860524208491129E-4,77.9387542484952,0.6124922908739852
-54.58,-25.92,train,6.348463611362302E-5,16.071018661973554,0.3503661996170864
-68.05,-38.95,train,7.939919578275655E-5,24.008405933938594,0.4028173898088674
-58.07,-34.87,train,1.7124316478598522E-4,71.7388120353634,0.5926320072124088
-58.69,-34.54,train,1.264406239075559E-4,49.355163499731944,0.5178786164339403
-63.73,-22.24,train,2.485061350096058E-4,91.88039578325113,0.6785769419744284
-57.9,-35.88,train,6.216007472945545E-5,15.275839671204382,0.3455823151294802
-65.17,-26.85,train,1.1461405865610672E-4,44.281695926211945,0.49333604937314973
-57.81,-36.09,train,2.2276285908206416E-4,87.41999284074413,0.6542740610000771
-65.74,-27.38,train,1.9826086722287258E-4,81.70886320103199,0.6274647479475809
-65.66,-27.34,train,1.940413004287264E-4,80.273948930834,0.6224224752338939
-57.96,-34.93,train,2.1423513590297546E-4,85.70725362194632,0.6453923190281402
-58.46,-34.63,train,5.7739792343912355E-5,12.499072685933143,0.3290949577254038
-58.42,-34.6,train,6.00449468837528E-5,14.079342527175502,0.3377953391003109
-63.23,-32.4,train,2.5626632760401716E-4,92.97761644463266,0.6852466202491195
-60.5,-31.73,train,2.3523927828794918E-4,90.10321665317944,0.6664951262561012
-64.18,-31.42,train,3.9282291372497426E-5,2.593514265446918,0.2502172349699935
-64.2,-31.37,train,8.433648699880421E-5,29.107186939082418,0.41741035716286656
-66.85,-29.42,train,1.1728309927588005E-4,45.270540651415466,0.49909070361579316
