X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-43.03,-22.08,train,2.5725636944815016E-4,81.14106122182109,0.6511911487760695
-43.45,-22.76,train,2.2270840858291438E-5,2.2216310842675093,0.13913227764922878
-43.2,-22.9,train,2.0633447807769182E-5,1.9601288882417136,0.13023522753694752
-43.57,-22.9,train,4.031659798969545E-5,6.803456569477006,0.22635111484571607
-43.2,-22.91,train,1.2941878212529588E-5,0.6018794249450699,0.08585529997368091
-49.52,-20.82,train,7.947975938414162E-5,21.20598014980174,0.3657967606728216
-45.46,-22.93,train,3.788887181175212E-5,5.852378397382729,0.2156605033785261
-43.93,-19.9,train,1.1990367599134326E-5,0.4529506322362791,0.08004834520652447
-40.37,-20.24,train,1.761956709283405E-4,52.49419024321353,0.5611427559886949
-40.58,-19.94,train,1.4029114543330677E-4,40.942451889559685,0.5044813534426558
-46.6,-20.72,train,1.8338180759571526E-5,1.4641421141399877,0.11744938017580683
-43.25,-22.88,train,3.798992922831105E-5,5.8729466034109565,0.21611140466922976
-48.45,-22.88,train,7.298458481227798E-5,18.960775802781505,0.3462541265936741
-43.42,-22.8,train,9.04558576376903E-6,0.11574550346525966,0.0615998453668275
-43.4,-22.75,train,2.9079649542278325E-5,3.7080273989624395,0.17425656652846025
-60.02,-3.12,train,3.442014380530789E-5,4.784220580135421,0.19986281133492262
-45.25,-22.84,train,1.8547607323774867E-4,55.710448144041585,0.5737412388346461
-47.07,-22.8,train,1.7785016293917432E-4,52.99554801865163,0.5634430518930946
-47.8,-24.89,train,6.704331628729413E-5,16.52353251360464,0.32729278405548656
-34.97,-8.1,train,1.58057052125023E-4,46.495201519622675,0.5342368601366542
-34.95,-8.07,train,2.623855523228015E-4,82.79459594202817,0.6556618503139104
-34.92,-8.03,train,9.385940973326295E-5,26.343226804254222,0.40516348322529233
-48.86,-26.32,train,1.0409151483533936E-4,30.097788187798848,0.4303254335393387
-43.35,-22.93,train,8.842029738146607E-5,24.646097722816457,0.3908614901365311
-40.31,-20.31,train,4.692993130343435E-5,8.642267845543389,0.25404794613239207
-48.53,-26.21,train,1.4970812549205633E-4,43.798737352730875,0.5207115388726868
-35.74,-9.66,train,3.0195852100956853E-5,3.899575406644979,0.17974303546491166
-52.7,-3.42,train,6.0028401942841724E-5,13.448306329308478,0.3034387050578135
-60.05,-3.09,train,8.136029184103586E-5,21.894579788673564,0.3712386534488561
-45.55,-22.97,train,1.8634698623284433E-4,56.09744016082177,0.5748865086976847
-48.54,-27.6,train,1.2807215282622654E-4,37.307451469342205,0.48170812184664413
-53.93,-27.46,train,1.5415087746673264E-4,45.239502074331966,0.5280051260743208
-49.1,-26.92,train,1.5285912550810763E-4,44.870659511186375,0.5259074695400043
-48.53,-25.52,train,5.279795749843604E-5,10.933785588864978,0.27701406776003884
-45.43,-23.62,train,1.3347466449864547E-4,38.93358648210431,0.49203010037278927
-45.56,-23.04,train,2.9755792041628822E-5,3.832101140756264,0.17758873743492756
-38.5,-12.97,train,4.132651648638281E-5,7.054698734995596,0.2307129925381244
-44.3,-2.51,train,6.464983536441845E-5,14.947724879456668,0.31933959326179523
-43.49,-22.75,train,4.60691452962797E-5,8.185830011439837,0.25055573648351626
-43.45,-22.75,train,3.0122180292721156E-5,3.8882793322296174,0.17938316472723187
-43.43,-22.6,train,6.428171628139278E-5,14.877898510961785,0.31809967066080014
-52.89,-3.45,train,2.6529707979916587E-4,83.65866551550441,0.6581489762411197
-47.84,-24.5,train,2.493918222512959E-4,78.24081403416876,0.6441062036090602
-51.85,-21.31,train,1.631108949059904E-4,48.06493614039772,0.5420594542396394
-51.49,-20.88,train,2.6904894342168157E-4,84.9408260909914,0.6613014546127223
-48.95,-20.48,train,2.731841233800515E-4,86.13089177576761,0.6647093328287027
-49.2,-20.34,train,1.4570805713584695E-4,42.605945981521074,0.513949137246446
-50.99,-20.21,train,2.4516129444116305E-4,77.03536195208147,0.640174673958212
-49.37,-20.2,train,1.936811920163369E-4,58.406904538347426,0.5842924178651066
-48.05,-20.2,train,1.3666194336770998E-4,39.928089202626715,0.4979290943507466
-48.69,-20.18,train,1.4427373425320253E-4,42.2364460291753,0.5114775952907205
-50.84,-20.15,train,2.4322851080586447E-4,76.49919500058498,0.6383494382056003
-49.9,-20.06,train,1.0434943936047854E-4,30.17308632014905,0.43093222340697523
-50.73,-20.04,train,2.7497923108595095E-4,87.00126714873278,0.6661674603204041
-49.4,-20.03,train,1.2699679077119688E-4,36.9334060840939,0.47960328463211604
-50.37,-19.99,train,1.1509862996165858E-4,33.33626172947519,0.45511997506438295
-49.67,-19.98,train,1.4870362770512543E-4,43.50907839971524,0.5190311190673712
-50.17,-19.98,train,3.228911487823192E-4,97.7678478290267,0.7008861695434543
-50.3,-19.98,train,2.9221642846609765E-4,91.56464498399104,0.6795491692321202
-50.53,-19.97,train,1.8980539510524068E-4,57.05539474270721,0.5793742921472412
-55.06,-22.2,train,2.6295541624346894E-4,82.9624813623197,0.6561514919079559
-38.55,-3.76,train,4.573717837811502E-5,8.11762579758124,0.24920019393564025
-46.51,-23.49,train,2.3499805755049629E-4,73.36806853647462,0.630365066231552
-56.29,-15.54,train,1.6114625497586204E-4,47.39061075247758,0.5390499093585519
-45.44,-22.94,train,2.9224745634337534E-4,91.58254626219212,0.6795722897942468
-45.65,-22.94,train,2.57457280232561E-4,81.34697166686034,0.6513684502264395
-34.88,-8.08,train,6.108428424411254E-6,0.013423366370284894,0.04244701543972356
-34.94,-8.06,train,1.3591633824988842E-4,39.65113835135375,0.49656144342162506
-34.91,-8.02,train,5.0603330386572535E-5,10.032431521409483,0.26859226645997547
-34.96,-8.02,train,2.92931810424082E-4,91.8574973082457,0.6800813923580966
-34.95,-8.01,train,5.642102394433285E-5,12.327900351861011,0.29050098822492737
-51.27,-23.28,train,6.497976877161531E-5,15.066240217633997,0.32044707079671614
-52.46,-23.08,train,4.9953497392288145E-5,9.879535190458663,0.2660607762036204
-51.94,-23.42,train,6.187877923976968E-5,13.987265560813043,0.3098936200636307
-49.98,-23.16,train,8.822024155601582E-5,24.603748601244604,0.3903223242486126
-60.14,-3.23,train,2.51606959866813E-5,2.709490872687928,0.15439855224065774
-59.93,-3.12,train,1.0158042509293489E-4,29.1748963487061,0.42434954105323064
-59.98,-3.11,train,1.0090084117260897E-4,28.966386281987482,0.4227106489914243
-59.99,-3.11,train,5.9175243564228345E-5,13.190262162804743,0.300421671071813
-59.96,-3.07,train,1.327143004379219E-4,38.668013637870146,0.490602287128548
-59.97,-3.02,train,1.1235280583706218E-4,32.51846504582179,0.449139020973941
-46.42,-10.58,train,7.066017788332694E-5,17.6273330689147,0.338964576740965
-43.98,-19.85,train,5.13560379333946E-5,10.23695696452869,0.2715027729836577
-43.09,-22.88,train,5.600747683873307E-5,12.219968780245495,0.28898704653309726
-59.94,-3.05,train,5.8118729976720524E-5,12.865365464638991,0.2966490920752336
-48.51,-27.53,train,1.1917750368252948E-4,34.46213685426398,0.4637686231384869
-69.94,-4.22,train,1.3108163492821725E-4,38.14434760619024,0.48750917861518583
-43.292801,-22.1619,train,1.763098927356397E-4,52.532034339591014,0.5613023411369682
-45.45,-18.58,train,2.459757991319897E-4,77.3577373335621,0.640938350051344
-64.3,-9.15,train,1.6026490117321832E-4,47.133856759807074,0.5376869113162962
-40.45,-20.29,train,1.0883762300716428E-4,31.481970110790122,0.44128787815802933
-42.73,-22.78,train,1.3478988770338426E-4,39.33276110131667,0.4944810238920674
-48.55,-25.54,train,8.124441899695208E-5,21.851485859025143,0.3709060414805688
-44.28,-2.63,train,1.1936021820830563E-4,34.51290744598669,0.46414962201466553
-38.44,-12.9,train,1.280761641067877E-4,37.30853874444086,0.4817159413676186
-53.93,-27.44,train,1.2169057539516947E-4,35.2364782686015,0.468961854585671
-49.28,-16.64,train,4.297009624201494E-5,7.356608325067865,0.2377074767904524
-48.49,-27.58,train,7.432787091280063E-5,19.3661988292002,0.35039395551660824
-43.3,-22.92,train,5.914384248050636E-5,13.181502848246012,0.30031012830125087
-44.83,-2.07,train,2.3467367726757543E-5,2.4177474419440657,0.14551955630003285
-44.54,-2.37,train,6.905514509711998E-5,17.139648568843302,0.3338354311467317
-41.81,-2.83,train,1.9143269893659928E-5,1.6658676064549978,0.12197673433358465
-44.83,-2.25,train,4.070553885633491E-5,6.909637660771692,0.22803680957764622
-41.62,-3.16,train,2.2127320445506304E-4,68.54929220661987,0.6162364613624661
-45.37,-2.59,train,1.4378845158976534E-4,42.141866983523194,0.510635683839949
-40.26,-3.19,train,2.2382276170047452E-4,69.56501670297988,0.6189421279048042
-45.13,-2.5,train,2.4891603676858266E-4,78.14203539631126,0.6436683379621476
-67.97,0.36,train,3.815149028066763E-5,5.90582910846757,0.21683118712996333
-46.92,-2.39,train,8.866077811236784E-5,24.697004251960138,0.39150834347374597
-41.35,-2.99,train,2.7271452590240454E-4,86.0447104367894,0.6643257845317535
-44.6,-1.98,train,6.423933447777792E-5,14.869859353055695,0.3179566274717711
-44.12,-2.51,train,1.3031424406831558E-4,37.96581518620331,0.48604233126716506
-48.24,-2.66,train,5.0653991641073595E-5,10.046197180554993,0.26878888892005987
-50.21,-2.48,train,4.167141161296716E-5,7.1167726435602905,0.23219136309358152
-45.41,-2.12,train,9.75138307957564E-5,27.761458102690664,0.41440133816718155
-40.46,-3.28,train,1.5699034953501625E-4,46.19844134061096,0.5325514829640328
-56.19,-2.65,train,4.376554476002062E-5,7.528581313676142,0.24104714553039447
-39.06,-3.59,train,2.2816815986664862E-4,71.29449241695882,0.6234667128490735
-44.92,-3.55,train,2.451733753669882E-4,77.04156139257265,0.6401860247152706
-44.38,-2.93,train,2.3101635064133851E-4,72.10319517264404,0.6263745079916079
-59.98,-2.57,train,5.344372980678294E-5,11.485027956967325,0.27945538936581454
-43.81,-2.97,train,1.198258735343905E-4,34.649547634401905,0.46511816927596206
-50.01,-1.57,train,3.4948709188228045E-5,4.911694573227758,0.20231103792722743
-41.52,-3.43,train,1.659775086122054E-4,48.909080432180644,0.5463808545833124
-42.58,-3.21,train,1.4768729159743624E-4,43.11063315455489,0.5173188598261015
-44.63,-2.15,train,3.5047498587673215E-5,4.931559025331383,0.20276695313212872
-49.51,-2.28,train,7.918040835791244E-5,21.136451969345647,0.36492179448218814
-55.19,-2.81,train,9.089055051735636E-5,25.370322633643557,0.3974412758536924
-45.01,-2.98,train,1.3977419304420454E-4,40.79015756556476,0.5035584984103576
-59.6,-2.51,train,3.895136854414639E-5,6.498658311322556,0.22037539895572597
-44.3,-2.63,train,2.145738739057951E-4,65.68604706456463,0.6089403238844726
-45.54,-2.47,train,1.2888124551482146E-4,37.53959269418924,0.4832805916340626
-39.85,-3.07,train,3.023968643964619E-4,93.91481100713561,0.6869602595725371
-60.02,-1.22,train,4.786090943531882E-5,9.309268728243254,0.25778847442121033
-40.64,-3.15,train,2.1553533731717359E-4,65.92125389595171,0.6100044431666843
-40.3,-3.07,train,2.2864531515913146E-4,71.49897219586839,0.6239570056075984
-44.1,-2.82,train,2.5098298746494152E-5,2.698543326604483,0.15407464698405332
-42.44,-3.29,train,2.495089301608828E-4,78.26512700758141,0.6442138131020514
-40.77,-3.89,train,2.132155087299652E-4,65.35032175184426,0.6074269896062446
-44.32,-3.15,train,1.9144655371425003E-4,57.711142989961566,0.5814709464737838
-40.14,-3.28,train,2.2296202069625357E-4,69.15408143915239,0.6180329598336314
-47.53,-3.8,train,2.623855523228015E-4,82.79459594202817,0.6556618503139104
-41.12,-3.5,train,2.860855182998853E-4,89.94075298862629,0.674914282779367
-60.25,-3.09,train,3.7796846540520736E-5,5.833648503002471,0.21524945051747674
-58.58,-2.54,train,6.56681808052284E-5,16.084657898786936,0.3227462774028804
-40.4,-3.49,train,1.7372364019311706E-4,51.58256913173832,0.557660281606739
-44.45,-3.75,train,2.2451638338056334E-4,69.78387479494788,0.6196716310583814
-40.04,-3.06,train,2.1427715211332155E-4,65.62719374927003,0.6086107473887767
-42.05,-2.95,train,9.48110427986843E-5,26.87916674922907,0.40759702737780545
-44.1,-2.44,train,2.5411208466805525E-4,79.79404685479022,0.6483926691635571
-40.55,-3.58,train,1.5285912550810763E-4,44.870659511186375,0.5259074695400043
-41.24,-3.08,train,2.526572736848804E-4,79.08752723286132,0.6470826054657448
-42.02,-3.36,train,4.9703517376476E-5,9.822542578169184,0.2650822804081716
-60.9,-3.28,train,1.3847596163656534E-4,40.44809013715414,0.501225689719583
-43.92,-3.09,train,7.236009782265039E-5,18.818765601105003,0.3443115204218422
-42.13,-3.32,train,1.3174900393256455E-4,38.33173737472392,0.4887780467026542
-44.98,-3.06,train,2.2436089446504045E-4,69.73481345740555,0.6195083415990014
-40.68,-3.32,train,1.329440331382369E-4,38.73963313977935,0.49103452517044804
-40.5,-2.88,train,3.0706085887506265E-4,95.12283976616511,0.6902422292793562
-39.17,-3.42,train,2.0294978701873703E-4,61.83954212249623,0.595599951953048
-53.26,-3.17,train,1.7175132866264575E-5,1.236851456894071,0.11082601305731535
-40.69,-4.0,train,4.8952154282089235E-5,9.57595884757898,0.2621254530802102
-39.51,-3.62,train,2.0273412947479925E-4,61.7676332249577,0.595343847661077
-40.73,-3.68,train,1.3304739241918887E-4,38.77188172238626,0.4912287546812492
-38.52,-3.79,train,2.8239539826527136E-4,88.94217702087599,0.6720593990450203
-44.07,-3.1,train,2.040215736900021E-5,1.9197972694391747,0.12896362718319926
-40.93,-4.25,train,8.869718131509841E-5,24.70471031927696,0.39160614235759855
