X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-89.14,17.07,train,1.9153554660290568E-4,48.77449651227768,0.547074857828602
-43.45,-22.76,train,6.135789261239223E-5,10.239089941352423,0.27898723379391754
-43.2,-22.9,train,2.1871256673824706E-5,3.1473641308051596,0.12120787449910837
-43.57,-22.9,train,7.926205490044E-5,13.829870474471733,0.3332649063173442
-49.52,-20.82,train,2.698945151581573E-4,76.64868720411073,0.629906697542593
-45.46,-22.93,train,2.4290598245748152E-4,68.97783299539695,0.605027993292685
-43.93,-19.9,train,4.8093175514509246E-5,8.094487071485709,0.2327095424737136
-40.58,-19.94,train,1.3136937363504586E-4,28.363461744914748,0.4530879789253671
-46.6,-20.72,train,1.7520877198637938E-4,42.91734383221817,0.5249202381835264
-43.25,-22.88,train,1.5058502971215477E-5,1.6096936021789248,0.08672682399306282
-43.23,-22.79,train,6.243635927902451E-5,10.447914471405756,0.28250558466141795
-48.45,-22.88,train,1.5886605094911252E-4,37.42766353475229,0.5004616920852532
-43.42,-22.8,train,1.252205267710958E-4,26.24603416059785,0.44123824049048777
-43.4,-22.75,train,7.233667128902569E-5,12.324296215926232,0.3132683526493709
-60.02,-3.12,train,6.697776042177574E-5,11.25810181996057,0.29695213727872877
-47.07,-22.8,train,2.3245446431401534E-4,64.70983588994167,0.5944710422336114
-47.8,-24.89,train,7.078132275435952E-5,11.999597051229614,0.308611333930631
-34.97,-8.1,train,2.8712517095803424E-4,81.39571904832468,0.6442144773031069
-34.95,-8.07,train,2.9215891125460237E-4,82.69681017021207,0.6481878640209373
-34.92,-8.03,train,1.3420860390654267E-4,29.33523114811512,0.458391623354114
-48.86,-26.32,train,7.545811901769385E-5,13.000640345335906,0.32242780787562336
-43.35,-22.93,train,7.643956134723942E-5,13.199665728979381,0.3252574362876805
-40.31,-20.31,train,7.058233670022327E-5,11.959495339980615,0.30801096937071554
-48.53,-26.21,train,8.487549556069505E-5,15.111228023865523,0.34863850272725755
-35.74,-9.66,train,1.385359086753938E-4,30.80801256961329,0.46627999348588667
-52.7,-3.42,train,1.2640720115991878E-4,26.62824317184509,0.4435649580065891
-45.55,-22.97,train,3.0408228555482724E-4,85.58321717029172,0.6572546325649249
-48.54,-27.6,train,1.4646267964609072E-4,33.575877327603116,0.4801494437443756
-53.93,-27.46,train,2.3251383081596523E-4,64.7427686035512,0.59453260104332
-49.1,-26.92,train,1.077669574814612E-4,20.95341297266638,0.4046219188606682
-45.43,-23.62,train,1.111486563355188E-4,22.211401982536124,0.4120866137745998
-38.5,-12.97,train,8.198319482671608E-5,14.478337197059023,0.34080692780499017
-44.3,-2.51,train,1.218272362767638E-4,25.312255034804956,0.43447632956414356
-43.49,-22.75,train,8.175990772040341E-5,14.412260627123976,0.34019448835117677
-43.43,-22.6,train,5.8750500634012136E-5,9.749475695486339,0.2703367036919977
-52.89,-3.45,train,1.0585436943140243E-4,20.442894568085176,0.400315582133809
-47.84,-24.5,train,1.8009816334422254E-4,44.60062817314136,0.5317789601354285
-51.49,-20.88,train,4.118959918268097E-4,99.78543453178902,0.7220305507165389
-48.95,-20.48,train,3.111140101359697E-4,87.2872921990411,0.6623859036411793
-51.33,-20.38,train,2.54941677867924E-4,72.93327268728443,0.6165239904002926
-49.2,-20.34,train,2.4039336308806728E-4,67.85624238601834,0.6025405292521966
-50.99,-20.21,train,2.1229184025912186E-4,56.9572681515328,0.5724238473733129
-49.37,-20.2,train,3.3977645971681867E-4,92.69029155575197,0.6818036999897994
-48.05,-20.2,train,9.358165333155147E-5,16.972813771485175,0.37112810344302777
-48.69,-20.18,train,2.3243217548718446E-4,64.69747148364175,0.5944479254903192
-50.84,-20.15,train,2.985490484901736E-4,84.244933334232,0.6531058682342107
-49.9,-20.06,train,1.4843364094416307E-4,34.224075005313026,0.4834868489165538
-49.4,-20.03,train,3.2535214512215485E-4,90.02260159371274,0.6723192493104571
-50.37,-19.99,train,2.1994102540404538E-4,59.76553305415324,0.5810645040359419
-49.67,-19.98,train,2.809316290613627E-4,79.72870517115041,0.6392007124137558
-50.17,-19.98,train,3.2506064095262627E-4,89.9347156202209,0.6721217437808971
-50.3,-19.98,train,3.6389957478455165E-4,96.40037150788808,0.6964951638421627
-55.06,-22.2,train,2.830985674826539E-4,80.52736971695649,0.6409708738077233
-38.55,-3.76,train,1.634776972047319E-5,1.8628024541420698,0.09345817552400305
-56.29,-15.54,train,1.2676088466140656E-4,26.723713065904132,0.4442546831003139
-45.44,-22.94,train,3.1001309180327135E-4,86.93134184841678,0.6615926969970836
-34.88,-8.08,train,2.0968519399670974E-5,2.943771137339341,0.11678929373054188
-34.94,-8.06,train,1.1417055941914645E-4,23.07468786941758,0.41860048972514374
-34.96,-8.02,train,3.2071613453039266E-4,89.07191939642996,0.669149697709118
-51.27,-23.28,train,1.3340820060935032E-4,29.11112506949013,0.4569069208140282
-52.46,-23.08,train,2.7897898344668307E-4,79.13055897190758,0.6375905877165502
-51.94,-23.42,train,9.775039982432858E-5,18.09497009662318,0.3813558399747328
-49.98,-23.16,train,3.5198305148079965E-4,94.79928661690553,0.6894112738004959
-59.93,-3.12,train,1.8704608009893195E-4,47.04589735823773,0.5411915233516178
-59.98,-3.11,train,1.1803700655192611E-4,24.250750965377716,0.42672727820799866
-59.96,-3.07,train,1.298018548227157E-4,27.821754019174787,0.4501151292919351
-59.97,-3.02,train,1.4321583011603456E-4,32.299124179265775,0.4745565365801818
-43.09,-22.88,train,8.091243706989845E-5,14.17451742150812,0.33785962419463456
-59.94,-3.05,train,1.7596103050145155E-4,43.12588152148992,0.525988538671227
-48.51,-27.53,train,1.246179746041008E-4,26.099876482235555,0.4400493495331716
-76.52,3.45,train,1.641343473913274E-5,1.8777791837915156,0.093798362514861
-72.25,18.56,train,3.5222848890218504E-5,5.939761575516456,0.18175240234867943
-73.93,18.09,train,4.02865732618998E-4,99.32189281217177,0.7175596506282171
-73.75,18.2,train,1.6373139969979938E-4,39.05177436003409,0.5080024783457391
-72.4,18.23,train,1.3318259759278634E-4,29.04440225335822,0.4564869684080959
-73.86,18.33,train,1.950075848583863E-4,50.02613180485069,0.5515224258983294
-74.45,18.49,train,6.991079315973268E-5,11.82415899558814,0.3059771231454575
-73.89,18.57,train,9.66871687923548E-5,17.834558734277362,0.37877901083244725
