Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.44145E-6,0.000144145,0.009106561,1,0,0
1.47249E-6,0.000291394,0.009300801,0.9999,0,0
1.55478E-6,0.000599739,0.009815508,0.9997,0,0
1.58375E-6,0.001072465,0.009996563,0.9994,0,0
1.67482E-6,0.002553095,0.01056533,0.9985,0,0
1.71702E-6,0.005111633,0.010828607,0.997,0,0
1.7688E-6,0.010011241,0.011151525,0.9942,0,0.000183486
1.86801E-6,0.025144206,0.011769673,0.9859,0,0.000550459
1.95416E-6,0.050043539,0.012305767,0.9729,0,0.00146789
2.06427E-6,0.100139689,0.012990159,0.948,0,0.004770642
2.2641E-6,0.200200258,0.014229799,0.9017,0,0.007522936
2.74753E-6,0.300114428,0.017215778,0.861,0,0.010458716
4.06369E-6,0.400051178,0.025254494,0.8307,0,0.01266055
6.59366E-6,0.500214524,0.040343076,0.8113,0,0.013944954
8.88501E-6,0.600093528,0.053611017,0.7984,0,0.016513761
1.09596E-5,0.700276429,0.065311481,0.7883,0.00075643,0.017431193
1.18466E-5,0.750471152,0.070226032,0.7839,0.001512859,0.018165138
1.25342E-5,0.800453168,0.074000405,0.7798,0.001512859,0.018348624
1.40904E-5,0.900596459,0.082430731,0.7723,0.001512859,0.018899083
1.55393E-5,1.001039175,0.090142736,0.7655,0.003025719,0.019082569
1.6829E-5,1.101332601,0.096899208,0.7593,0.003782148,0.019266055
1.79854E-5,1.200771666,0.102872705,0.7536,0.003782148,0.019633028
1.92717E-5,1.300971168,0.109424907,0.7482,0.003782148,0.020733945
2.04554E-5,1.40050039,0.115370645,0.7432,0.003782148,0.021834862
2.16556E-5,1.501810723,0.121318903,0.7384,0.004538578,0.021834862
2.434E-5,1.750575268,0.13433721,0.7276,0.005295008,0.022018349
2.7508E-5,2.002655039,0.149213062,0.7179,0.006051437,0.022752294
3.0155E-5,2.250557031,0.161255931,0.7093,0.006051437,0.024036697
3.31367E-5,2.501355638,0.174419498,0.7014,0.006807867,0.024036697
3.64428E-5,2.751745455,0.188540537,0.6942,0.010590015,0.024587156
3.98271E-5,3.00361268,0.202504017,0.6876,0.012102874,0.025688073
4.35528E-5,3.250164442,0.217330558,0.6817,0.014372163,0.026238532
4.71945E-5,3.500737364,0.231299739,0.6762,0.014372163,0.027155963
5.07888E-5,3.750324071,0.244606402,0.6711,0.015128593,0.028440367
5.38802E-5,4.001013605,0.25568837,0.6663,0.016641452,0.029541284
5.68545E-5,4.250177815,0.266047751,0.6618,0.018910741,0.030825688
5.94895E-5,4.500597893,0.274987346,0.6575,0.019667171,0.032110092
6.12467E-5,4.750563107,0.28082871,0.6533,0.020423601,0.033027523
6.25084E-5,5.002348854,0.284965354,0.6493,0.02269289,0.035045872
6.35959E-5,5.252395378,0.288492766,0.6453,0.024962179,0.04
6.44403E-5,5.503394266,0.291207912,0.6414,0.026475038,0.045137615
6.50371E-5,5.750646911,0.293114251,0.6376,0.028744327,0.050458716
6.56535E-5,6.005510071,0.295072654,0.6337,0.031013616,0.057614679
6.64302E-5,6.256418764,0.297524795,0.6299,0.031013616,0.06440367
6.69523E-5,6.502952532,0.299163526,0.6262,0.032526475,0.070091743
6.75652E-5,6.751934253,0.301077775,0.6225,0.035552194,0.076146789
6.80675E-5,7.002878671,0.302638555,0.6188,0.041603631,0.081834862
6.84144E-5,7.255438919,0.303712528,0.6151,0.046142209,0.090458716
6.8889E-5,7.502553047,0.30517638,0.6115,0.047655068,0.096513761
6.92544E-5,7.751318214,0.306299431,0.6079,0.048411498,0.102568807
6.96978E-5,8.001503752,0.307656946,0.6043,0.049924357,0.108807339
6.99994E-5,8.252908829,0.308577559,0.6007,0.052950076,0.11266055
7.04287E-5,8.501001569,0.309883606,0.5971,0.055219365,0.11853211
7.08554E-5,8.750872817,0.311177002,0.5936,0.059757943,0.124954128
7.13101E-5,9.001966992,0.312549696,0.5901,0.063540091,0.131192661
7.15946E-5,9.252032507,0.313405769,0.5866,0.06505295,0.134495413
7.18493E-5,9.5031286,0.314170597,0.5831,0.067322239,0.138165138
7.22252E-5,9.755307184,0.315295984,0.5796,0.068078669,0.144220183
7.25736E-5,10.001387421,0.316335697,0.5762,0.071104387,0.14733945
7.29571E-5,10.255799544,0.317476496,0.5727,0.074130106,0.153944954
7.3426E-5,10.503433342,0.318866528,0.5693,0.077155825,0.161284404
7.38722E-5,10.755187767,0.320183609,0.5659,0.078668684,0.167522936
7.43135E-5,11.007160731,0.321481463,0.5625,0.082450832,0.175779817
7.46874E-5,11.253134088,0.322577126,0.5592,0.085476551,0.179266055
7.50084E-5,11.500211353,0.323515031,0.5559,0.088502269,0.183302752
7.55016E-5,11.756176665,0.324951131,0.5525,0.093040847,0.191192661
7.5856E-5,12.00267082,0.325979225,0.5492,0.093797277,0.195779817
7.63032E-5,12.256986319,0.327271905,0.5459,0.099092284,0.202018349
7.66691E-5,12.501801497,0.328326043,0.5427,0.102118003,0.207155963
7.7001E-5,12.752299606,0.329279356,0.5394,0.102874433,0.211192661
7.74482E-5,13.002514582,0.330559601,0.5362,0.10816944,0.217614679
7.79065E-5,13.251155095,0.331866528,0.533,0.110438729,0.224220183
7.82901E-5,13.501144731,0.332956479,0.5298,0.113464448,0.229908257
7.86957E-5,13.752367059,0.33410533,0.5266,0.117246596,0.235779817
7.91244E-5,14.005026887,0.335314835,0.5234,0.124810893,0.243119266
7.95177E-5,14.250884855,0.336421012,0.5203,0.124810893,0.24733945
7.99553E-5,14.506126287,0.337647138,0.5171,0.127080182,0.253027523
8.04178E-5,14.754636258,0.338938239,0.514,0.132375189,0.259266055
8.07409E-5,15.000218257,0.339837469,0.5109,0.135400908,0.264036697
8.11535E-5,15.25124202,0.340981904,0.5078,0.137670197,0.271926606
8.15448E-5,15.507631238,0.342063518,0.5047,0.140695915,0.276146789
8.19312E-5,15.750095048,0.343128228,0.5017,0.142208775,0.281284404
8.2317E-5,16.007546174,0.344187857,0.4986,0.143721634,0.287522936
8.28033E-5,16.25314246,0.345518643,0.4956,0.145990923,0.296513761
8.31704E-5,16.500273799,0.346519584,0.4926,0.150529501,0.303669725
