Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.2363E-5,0.002236302,0.154599244,1,0,0
2.7731E-5,0.005009403,0.18484935,0.9999,0,0
2.78484E-5,0.010578535,0.185486654,0.9997,0,0
2.79525E-5,0.027335234,0.186051265,0.9991,0,0
2.80103E-5,0.052519725,0.186363855,0.9982,0,0
2.80681E-5,0.100194833,0.18667685,0.9965,0,0
2.81634E-5,0.201453934,0.187191934,0.9929,0,0
2.82091E-5,0.300100107,0.187438665,0.9894,0,0
2.82451E-5,0.407373562,0.187633236,0.9856,0,0
2.8277E-5,0.503465238,0.187805485,0.9822,0,0
2.82993E-5,0.602476779,0.187925383,0.9787,0,0
2.83173E-5,0.701556275,0.188022842,0.9752,0,0
2.83271E-5,0.761034146,0.188075337,0.9731,0,0
2.83368E-5,0.800697828,0.188127843,0.9717,0,0
2.83507E-5,0.902732606,0.188202871,0.9681,0,0
2.83661E-5,1.001987988,0.188285428,0.9646,0,0
2.8387E-5,1.106981442,0.18839805,0.9609,0,0
2.83995E-5,1.200678602,0.188465649,0.9576,0,0
2.84149E-5,1.308623817,0.188548294,0.9538,0,0
2.84246E-5,1.402408358,0.188600902,0.9505,0,0
2.84386E-5,1.504762233,0.188676074,0.9469,0,0
2.84777E-5,1.755197023,0.18888668,0.9381,0,0
2.85152E-5,2.000263905,0.189088213,0.9295,0,0
2.8552E-5,2.251334886,0.18928582,0.9207,0,0
2.85907E-5,2.502760878,0.18949393,0.9119,0,0.001062135
2.86344E-5,2.751672125,0.189728607,0.9032,0,0.001062135
2.8708E-5,3.001094058,0.190123849,0.8945,0,0.001327669
2.87942E-5,3.251197578,0.190585595,0.8858,0,0.001593202
2.89203E-5,3.502216378,0.191260826,0.8771,0,0.001858736
2.91522E-5,3.751776271,0.192499166,0.8685,0,0.00212427
2.97122E-5,4.001662644,0.195474129,0.86,0,0.002389804
3.46753E-5,4.254812121,0.220912684,0.8521,0,0.002920871
3.62922E-5,4.503954129,0.228856353,0.8451,0,0.003451938
3.69329E-5,4.80822258,0.231959445,0.8368,0,0.003451938
3.70251E-5,5.018969404,0.232403918,0.8311,0,0.003451938
3.72222E-5,5.267874349,0.233352104,0.8244,0,0.003717472
3.74564E-5,5.506876044,0.234476427,0.818,0,0.003717472
3.76982E-5,5.751089158,0.235633189,0.8115,0,0.003983006
3.79354E-5,6.00061892,0.236765104,0.8049,0,0.003983006
3.81323E-5,6.251558051,0.237701706,0.7983,0,0.00424854
3.83898E-5,6.500330031,0.238923107,0.7918,0,0.004779607
3.86126E-5,6.762270733,0.239976963,0.785,0,0.005045141
3.88556E-5,7.002531752,0.241123135,0.7788,0,0.005310674
3.90809E-5,7.251901948,0.242182745,0.7724,0,0.005310674
3.93459E-5,7.502830713,0.243425312,0.766,0,0.005841742
3.95933E-5,7.786993685,0.244581722,0.7588,0,0.006107276
3.98236E-5,8.01339039,0.245654658,0.7531,0,0.006372809
