Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.43998E-9,0.000000244,0.000013806,1,0,0
5.15011E-9,0.000000759,0.000029141,0.9999,0,0
9.26563E-9,0.000001686,0.000052427,0.9998,0,0
1.3397E-8,0.000003025,0.000075802,0.9997,0,0
6.0173E-8,0.000012701,0.000340374,0.9995,0,0
9.99582E-8,0.000032474,0.000565295,0.9993,0,0
1.11566E-7,0.000054089,0.000630898,0.9991,0,0
2.03656E-7,0.000110975,0.001151065,0.9988,0,0
2.94722E-7,0.000267596,0.001664913,0.9982,0,0
3.82726E-7,0.000534841,0.002160981,0.9974,0.00022779,0
5.1793E-7,0.001044535,0.002922151,0.9963,0.000455581,0
6.35587E-7,0.002538012,0.00358359,0.9937,0.000455581,0.000683527
7.96663E-7,0.005005253,0.004487699,0.9902,0.000683371,0.000683527
9.88834E-7,0.010003798,0.005564199,0.9847,0.001138952,0.000683527
1.40086E-6,0.02509967,0.007864437,0.9721,0.001594533,0.000683527
1.96941E-6,0.050126211,0.011021122,0.9572,0.001822323,0.000683527
2.9513E-6,0.10026498,0.016425685,0.9368,0.001822323,0.000683527
4.53332E-6,0.200173959,0.025010275,0.9096,0.002277904,0.001367054
5.0585E-6,0.300392068,0.027827073,0.8889,0.002733485,0.002734108
5.37109E-6,0.400081894,0.029495913,0.8698,0.003872437,0.004101162
5.62228E-6,0.50010288,0.030832829,0.8516,0.004555809,0.004784689
5.8588E-6,0.600483465,0.032088288,0.8341,0.00523918,0.005468216
6.0841E-6,0.70060287,0.033281222,0.8173,0.005922551,0.006151743
6.19524E-6,0.75034621,0.033868577,0.8092,0.006378132,0.006151743
6.27979E-6,0.800223306,0.034314903,0.8012,0.006605923,0.006151743
6.51817E-6,0.900616672,0.035571161,0.7855,0.007744875,0.007518797
6.82508E-6,1.000503444,0.037183793,0.7705,0.008656036,0.007518797
7.24195E-6,1.100120827,0.039365523,0.7563,0.008883827,0.009569378
7.91435E-6,1.200116384,0.042863879,0.7431,0.010250569,0.011619959
8.6657E-6,1.300086516,0.046742946,0.731,0.01047836,0.012987013
9.56295E-6,1.400274359,0.051334294,0.72,0.012528474,0.012987013
1.05821E-5,1.500646797,0.056495815,0.71,0.012756264,0.015037594
1.37455E-5,1.750786524,0.072166116,0.689,0.01594533,0.017771702
1.75538E-5,2.000695637,0.090353611,0.673,0.017539863,0.021189337
2.13931E-5,2.250866314,0.107981646,0.6601,0.020501139,0.021189337
2.46505E-5,2.500029765,0.122410794,0.6493,0.023234624,0.021872864
2.71171E-5,2.752265459,0.133030099,0.6396,0.026879271,0.024606972
2.90453E-5,3.000456244,0.141154278,0.6307,0.028929385,0.028024607
3.09995E-5,3.252074485,0.149234038,0.6224,0.03143508,0.031442242
3.28271E-5,3.500860723,0.156653626,0.6146,0.033940774,0.034859877
3.46946E-5,3.750650131,0.164103176,0.6072,0.036218679,0.036226931
3.62518E-5,4.002341311,0.170214776,0.6001,0.038268793,0.038961039
3.78351E-5,4.253612661,0.176338222,0.5933,0.040774487,0.039644566
3.95993E-5,4.500172701,0.183055327,0.5869,0.043280182,0.042378674
4.09628E-5,4.751415234,0.188172451,0.5807,0.046697039,0.045112782
4.24037E-5,5.001457368,0.193510461,0.5747,0.050797267,0.047163363
4.41821E-5,5.25021736,0.200003218,0.5689,0.054214123,0.048530417
4.609E-5,5.501577765,0.206853354,0.5634,0.05808656,0.051948052
4.76474E-5,5.750316385,0.212358635,0.5581,0.060364465,0.052631579
4.92396E-5,6.002874594,0.217908762,0.5529,0.062870159,0.057416268
5.05931E-5,6.252648001,0.222565234,0.5479,0.066514806,0.060833903
5.2081E-5,6.503886528,0.227620914,0.543,0.069248292,0.06151743
5.37225E-5,6.752699918,0.233122639,0.5383,0.073120729,0.063568011
5.53191E-5,7.004214443,0.238399336,0.5337,0.075398633,0.065618592
5.66803E-5,7.250938438,0.242840983,0.5293,0.077676538,0.069719754
5.80657E-5,7.503689985,0.24730841,0.5249,0.080637813,0.069719754
5.99699E-5,7.75138729,0.253363892,0.5207,0.085649203,0.071770335
6.16907E-5,8.00083967,0.258752934,0.5166,0.088610478,0.074504443
6.26155E-5,8.250521197,0.261616891,0.5125,0.08952164,0.075871497
6.40054E-5,8.50282492,0.265880206,0.5086,0.092255125,0.078605605
6.48733E-5,8.754075886,0.268517357,0.5047,0.094077449,0.080656186
6.6082E-5,9.003120772,0.272158638,0.5009,0.095899772,0.084073821
6.73749E-5,9.250262095,0.276013885,0.4972,0.096810934,0.087491456
6.87553E-5,9.502468014,0.28008491,0.4935,0.09977221,0.088174983
6.98686E-5,9.752137737,0.283335353,0.4899,0.101594533,0.090225564
7.09834E-5,10.005420614,0.286560599,0.4863,0.103189066,0.090909091
7.18688E-5,10.255357604,0.289101526,0.4828,0.10546697,0.092959672
7.32425E-5,10.501175517,0.293008322,0.4794,0.108428246,0.097060834
7.42541E-5,10.752854859,0.295857823,0.476,0.11047836,0.100478469
7.50771E-5,11.006695481,0.298159478,0.4726,0.111389522,0.103896104
7.61955E-5,11.256492148,0.301262853,0.4693,0.113667426,0.105946685
7.70747E-5,11.501916004,0.303683435,0.4661,0.114806378,0.106630212
7.78698E-5,11.750009613,0.305858031,0.4629,0.116400911,0.108680793
7.8939E-5,12.000986696,0.308760879,0.4597,0.116856492,0.10936432
8.00926E-5,12.25540975,0.311865883,0.4565,0.119134396,0.111414901
8.10715E-5,12.505140114,0.314478896,0.4534,0.121640091,0.114832536
8.1898E-5,12.757677953,0.31666972,0.4503,0.124373576,0.117566644
8.26774E-5,13.004599706,0.318722882,0.4473,0.126651481,0.120300752
8.35718E-5,13.253880643,0.321063815,0.4443,0.127107062,0.122351333
8.47431E-5,13.505657015,0.324105027,0.4413,0.130068337,0.124401914
8.5315E-5,13.753445156,0.325580252,0.4384,0.130751708,0.125768968
8.61855E-5,14.0020417,0.327813316,0.4355,0.133029613,0.127136022
8.71508E-5,14.253488325,0.330272322,0.4326,0.135763098,0.131237184
8.7974E-5,14.50396124,0.33235515,0.4297,0.138041002,0.134654819
8.87014E-5,14.754907054,0.334184844,0.4269,0.139407745,0.138072454
8.95369E-5,15.004471089,0.336274094,0.4241,0.140774487,0.140123035
9.02807E-5,15.256281869,0.338122906,0.4213,0.14214123,0.142857143
9.09259E-5,15.500899624,0.339718413,0.4186,0.143963554,0.144907724
9.17257E-5,15.752190018,0.341685776,0.4158,0.146924829,0.146958305
9.24753E-5,16.005394067,0.343518794,0.4131,0.148974943,0.149692413
9.31291E-5,16.256078767,0.345109329,0.4104,0.150569476,0.151059467
9.38897E-5,16.508677146,0.346950022,0.4077,0.153986333,0.153793575
9.49476E-5,16.753999459,0.349492931,0.4051,0.157175399,0.15721121
9.56149E-5,17.00155856,0.351086887,0.4025,0.159681093,0.159945318
9.64046E-5,17.251087941,0.352963009,0.3999,0.161731207,0.161995899
9.74867E-5,17.503307844,0.355516474,0.3973,0.166287016,0.16404648
9.84455E-5,17.758085502,0.357762158,0.3947,0.16833713,0.166097061
9.91352E-5,18.005115003,0.359367764,0.3922,0.169476082,0.168147642
9.98006E-5,18.250838466,0.360909288,0.3897,0.171298405,0.170198223
1.00649E-4,18.504688968,0.362864331,0.3872,0.173120729,0.171565277
1.01436E-4,18.757264254,0.364667832,0.3847,0.175626424,0.173615858
1.01989E-4,19.001347183,0.365926997,0.3823,0.178359909,0.175666439
