X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-57.95,-34.92,train,8.622108314816293E-5,14.011310593103122,0.32790426041658083
-58.46,-34.59,train,2.493624033242547E-5,2.529249707857832,0.12365421376416261
-64.17,-31.32,train,9.222655290112986E-5,15.921370891158322,0.34291162228488126
-60.05,-26.93,train,2.0715109650644198E-4,52.82895955459103,0.5396303481078688
-63.81,-22.55,train,3.3665945124355934E-4,80.57699091239327,0.6557650236043513
-63.76,-22.28,train,9.128949917291774E-5,15.61513940822177,0.3406142558334633
-63.72,-22.07,train,9.348845751690545E-5,16.37542287198525,0.34598024590235493
-64.13,-31.39,train,1.1007562587188244E-4,21.51135620204567,0.3838056251199327
-58.99,-27.46,train,2.4906826288396034E-4,64.37155553877271,0.58495140168275
-54.57,-25.62,train,1.5777098289770832E-4,38.68574035005424,0.47166804407565743
-64.32,-23.14,train,3.642697720544466E-4,84.08342408887167,0.673333476608138
-63.68,-22.02,train,1.8115352278120825E-4,45.62252061656303,0.5061874363469788
-54.59,-25.97,train,8.756242781707267E-5,14.378733246328085,0.3313153672019565
-57.72,-25.28,train,1.704241115886308E-4,42.54519489292206,0.4909250590001281
-58.5,-34.67,train,1.000052768886311E-4,18.31208001589015,0.3613819987017541
-58.46,-34.56,train,4.240110331412096E-5,5.001006760130943,0.19350107890971224
-66.58,-31.33,train,2.7289632967992235E-5,2.7744732656405833,0.1337632312925595
-61.48,-31.25,train,1.632329544655577E-4,40.55877811750485,0.48015655149074943
-59.65,-29.1,train,1.658829289028463E-4,41.28463222262067,0.484177394098847
-64.27,-27.78,train,1.934741242478871E-4,49.03558679507463,0.5226220259860148
-65.27,-26.93,train,2.034827471625469E-4,51.82033430805188,0.5351885725109704
-54.58,-25.92,train,1.1831711960647467E-4,24.183793542051312,0.40101796456290084
-68.05,-38.95,train,1.726118822096559E-4,43.10682351099448,0.494113212952039
-58.69,-34.54,train,1.3613830099980007E-4,30.87892969285646,0.4351369343571823
-63.73,-22.24,train,8.697746142543732E-5,14.208336144790636,0.3298320352071198
-57.9,-35.88,train,1.5709645562223532E-4,38.404339171238874,0.4706004838668257
-65.17,-26.85,train,1.406990659479937E-4,32.46841828491537,0.4432529198059759
-57.81,-36.09,train,1.7546722605041404E-4,43.99200094229016,0.4982146136569168
-65.74,-27.38,train,1.1056534477651643E-4,21.662337006884787,0.38485599880936544
-65.66,-27.34,train,1.689375502428933E-4,42.195107083415095,0.4887357228553875
-63.23,-32.4,train,9.27080630722219E-5,16.094641758849228,0.34408592116445175
-60.5,-31.73,train,2.904859107632695E-4,73.34293379157371,0.621744941355781
-66.85,-29.42,train,9.747531356714763E-5,17.500653851772345,0.35548965986041126
-65.78,-28.47,train,9.605575088353122E-5,17.14085860822192,0.3521355983436746
-55.13,-27.88,train,9.732493435089268E-5,17.465602903304518,0.35513599795437073
-58.83,-27.47,train,1.4749521789569596E-4,35.11030153626129,0.4549231969844685
-55.91,-27.4,train,1.0889502983940931E-4,21.112002870956125,0.3812586150821494
-55.88,-27.37,train,8.038171415478384E-5,12.329166602703769,0.31263971267894025
-65.22,-26.8,train,1.289206177698331E-4,28.19283933966423,0.42179794047215313
-53.65,-26.25,train,5.849450255159086E-5,7.559468388742348,0.24868068223093953
