X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-72.25,18.56,train,2.568890289254787E-4,82.26688887841065,0.6275642574547403
-73.93,18.09,train,3.0807993973871247E-4,90.81160014106212,0.6689625668706739
-73.75,18.2,train,2.7006032837493545E-4,84.95589986361398,0.6391744273946559
-72.4,18.23,train,1.7302518719292595E-4,52.273484763430304,0.5316014517505738
-73.86,18.33,train,1.833181811504262E-4,61.84227806652402,0.5459600683096708
-74.45,18.49,train,1.2076098966154681E-4,20.449610020130695,0.44199993369937335
-73.89,18.57,train,1.795983712157204E-4,59.012320861119676,0.540873694598099
-74.12,18.65,train,1.787862570414257E-4,58.222662427062644,0.5397480372619399
-72.09,18.65,train,2.926736174895473E-4,88.77190975313216,0.6575050215992029
-72.51,18.77,train,3.0014259965150113E-4,89.75004387781281,0.6631570506068435
-72.1,18.83,train,2.3311407528769974E-4,76.64345723118399,0.6045990692120607
-72.47,19.05,train,2.628440784559225E-4,83.41826447819761,0.6329046951358405
-72.41,18.54,train,1.6453557458430884E-4,44.63228802611924,0.5190568034688309
-72.33,18.53,train,1.512594338208617E-4,34.55004396064932,0.49803346467289733
-82.36,23.14,train,2.2963673007723E-4,75.62293925238528,0.6010005896667844
-89.14,17.07,test,3.2888028453753403E-4,93.6795558862799,0.6832679956402359
-92.27,14.9,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
-92.25,14.92,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
-92.19,14.84,test,1.781994314938088E-4,57.44192681648209,0.53893120726117
-92.23,14.88,test,2.272034924238558E-4,74.86507475772216,0.5984433887411835
-92.26055999999997,14.908059999999999,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
-92.26055599999998,14.908055999999995,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
-92.16527799999997,14.989166999999997,test,5.6062848336605004E-5,7.320999346679187,0.2688648880075571
-92.25158299999998,14.922916999999998,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
-92.16805599999999,14.938888999999994,test,1.6248984542302814E-4,42.90540026300761,0.515932819110536
-92.19111099999998,14.836110999999997,test,1.781994314938088E-4,57.44192681648209,0.53893120726117
-92.25999999999999,14.909999999999998,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
-92.22999999999998,14.879999999999995,test,2.272034924238558E-4,74.86507475772216,0.5984433887411835
-92.18999999999998,14.839999999999996,test,1.781994314938088E-4,57.44192681648209,0.53893120726117
-92.24999999999997,14.919999999999996,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
-92.26999999999998,14.899999999999999,test,1.7660513032104338E-4,55.9678630917457,0.5366973151169258
