Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.0402E-6,0.00010402,0.006742879,1,0,0
1.07651E-6,0.000317494,0.006976643,0.999790312,0,0
1.12003E-6,0.000540401,0.007256625,0.999580625,0,0
1.17335E-6,0.001005365,0.007599443,0.99916125,0,0
1.23976E-6,0.002574891,0.008026108,0.997798281,0,0
1.37357E-6,0.005063773,0.00888472,0.995806249,0,0
1.46874E-6,0.010058621,0.009494448,0.992136716,0,0
1.69652E-6,0.025046276,0.010950773,0.982281401,0,0
1.89637E-6,0.050018535,0.012225015,0.967708115,0,0
2.25018E-6,0.100142597,0.014472826,0.942440763,0,0.001166521
2.84796E-6,0.200085299,0.018247495,0.901132313,0,0.001749781
3.55786E-6,0.300170579,0.022692802,0.868001678,0,0.002333042
4.9737E-6,0.400003394,0.031439373,0.843258545,0,0.003499563
6.4278E-6,0.500529803,0.040260907,0.824910883,0,0.004374453
7.15473E-6,0.600303056,0.044610961,0.809603691,0,0.004374453
7.70792E-6,0.700122138,0.047895005,0.795554624,0,0.004374453
7.98246E-6,0.750336539,0.049516402,0.788844622,0,0.004374453
8.1873E-6,0.800500541,0.050722613,0.782344307,0,0.004957714
8.68677E-6,0.900072389,0.053650968,0.769972741,0,0.004957714
9.16601E-6,1.000192647,0.056443758,0.758230237,0,0.004957714
9.71212E-6,1.10094401,0.059606241,0.747011952,0,0.005249344
1.03846E-5,1.200107991,0.063471261,0.736632418,0,0.005249344
1.14388E-5,1.300363659,0.06946715,0.72698679,0,0.006999125
1.226E-5,1.401184814,0.074084686,0.718075068,0,0.009332167
1.36398E-5,1.500726549,0.0817414,0.710002097,0,0.010498688
1.6527E-5,1.750891869,0.097359431,0.692493185,0,0.010498688
2.07878E-5,2.00201158,0.119460781,0.678234431,0,0.012540099
2.61404E-5,2.251887906,0.145737623,0.666911302,0,0.01312336
3.16495E-5,2.50204609,0.171193807,0.657789893,0,0.017206183
3.75832E-5,2.751976326,0.196967699,0.650241141,0,0.018955964
4.29307E-5,3.002311746,0.218859488,0.643740826,0,0.022163896
4.76516E-5,3.253723105,0.237217239,0.637974418,0,0.022747157
5.25942E-5,3.504025941,0.255534807,0.632732229,0,0.022747157
5.68386E-5,3.750225097,0.270576787,0.628014259,0,0.024496938
6.12196E-5,4.003968777,0.28547859,0.623505976,0.012987013,0.024496938
6.70014E-5,4.2540356,0.304237536,0.619417069,0.012987013,0.024496938
7.00365E-5,4.506856046,0.313695953,0.615537849,0.012987013,0.024788568
7.34224E-5,4.75207761,0.323948745,0.61197316,0.012987013,0.024788568
7.78001E-5,5.002040573,0.336759137,0.608513315,0.012987013,0.025080198
8.14577E-5,5.250325929,0.347095877,0.605263158,0.012987013,0.025080198
