Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.46086E-7,0.000054609,0.002494611,1,0,0
5.58791E-7,0.000110488,0.002552501,0.999895156,0,0
6.38421E-7,0.000295799,0.002915181,0.999580625,0,0
8.44524E-7,0.000532471,0.003852669,0.999266094,0,0
8.84754E-7,0.001057198,0.004035458,0.998637031,0,0
1.00641E-6,0.002584292,0.0045878,0.99695953,0,0
1.13734E-6,0.005040825,0.005181553,0.994548123,0,0
1.26538E-6,0.010081221,0.005761537,0.990144684,0,0
1.44952E-6,0.025002841,0.006594448,0.978716712,0,0.001502938
1.61437E-6,0.05006146,0.007338888,0.961627176,0,0.001776199
1.95657E-6,0.100071131,0.008880696,0.932270916,0,0.001776199
2.80516E-6,0.200229409,0.012683522,0.886873558,0,0.003005875
4.10082E-6,0.300057085,0.018433862,0.856049486,0,0.005601858
5.42435E-6,0.400492527,0.024239162,0.833822604,0,0.029512228
6.74265E-6,0.500574323,0.029953625,0.816628224,0,0.062713485
8.0824E-6,0.600497083,0.035692923,0.802474313,0,0.097554311
9.60607E-6,0.700730516,0.042138115,0.790522122,0,0.123377511
1.04004E-5,0.750006425,0.045464261,0.785384777,0,0.134307966
1.1033E-5,0.800616833,0.048096493,0.780457119,0,0.138680148
1.23784E-5,0.900039646,0.05364664,0.771545397,0,0.15507583
1.36375E-5,1.000200451,0.05878274,0.763472426,0,0.162727149
1.47924E-5,1.100986619,0.06344519,0.756028518,0,0.181035661
1.58323E-5,1.200223709,0.067603768,0.749213672,0,0.189506763
1.71029E-5,1.300862794,0.072635296,0.742818201,0,0.195791775
1.82811E-5,1.400023538,0.077252169,0.736946949,0,0.203716355
1.91256E-5,1.501172391,0.080533531,0.731285385,0,0.209728105
2.11594E-5,1.750855238,0.088340801,0.718389599,0,0.216832901
2.18202E-5,2.001926384,0.090849215,0.706122877,0,0.228036617
2.23524E-5,2.251694501,0.092859215,0.694275529,0,0.231042492
2.28324E-5,2.500224745,0.094664485,0.682742713,0,0.234048367
2.32765E-5,2.75145818,0.096328539,0.671314741,0,0.239376964
2.37098E-5,3.000638221,0.097945963,0.6602013,0,0.24456893
2.41108E-5,3.251637434,0.099437695,0.649192703,0,0.245798606
2.44374E-5,3.501826653,0.100649067,0.638393793,0,0.249897527
2.47855E-5,3.750323563,0.101936914,0.627804571,0,0.251263834
2.51678E-5,4.000055679,0.10334654,0.617320193,0,0.253586556
2.56328E-5,4.25177962,0.10505546,0.606940658,0,0.255362754
2.60738E-5,4.500141311,0.106670127,0.596875655,0,0.258778522
2.66588E-5,4.75043916,0.108803028,0.586915496,0,0.260554721
2.73242E-5,5.001363582,0.111216737,0.577165024,0,0.264243749
2.80856E-5,5.250975356,0.113962348,0.567729084,0,0.266976363
2.90255E-5,5.502125778,0.117328764,0.558502831,0,0.272031698
2.98409E-5,5.752385821,0.120228675,0.549591109,0,0.277496926
3.09009E-5,6.00133737,0.123970026,0.540993919,0,0.285694767
3.19295E-5,6.253011356,0.127570116,0.532606416,0,0.289793688
3.30052E-5,6.500039912,0.131303707,0.524638289,0,0.295395546
3.39903E-5,6.751442929,0.134694784,0.516775005,0,0.29812816
3.52149E-5,7.000264068,0.138873693,0.509226253,0,0.310834813
3.64213E-5,7.250729159,0.142950899,0.501887188,0,0.313430797
3.76863E-5,7.503151093,0.147185406,0.494757811,0,0.319305916
3.88434E-5,7.751764584,0.151022018,0.487942965,0,0.325454297
4.00511E-5,8.000732996,0.154989633,0.481337807,0,0.329279956
4.13722E-5,8.252633824,0.159287687,0.474837492,0,0.332285831
4.27522E-5,8.500848106,0.163730835,0.468651709,0,0.336794644
4.40004E-5,8.752472555,0.167709704,0.46257077,0,0.338980735
4.5372E-5,9.002577557,0.172037921,0.456699518,0,0.342943025
4.68953E-5,9.251594676,0.17679274,0.451037953,0,0.349501298
4.8085E-5,9.503341998,0.180468594,0.445481233,0,0.356059571
4.9266E-5,9.751100945,0.184084947,0.4401342,0.041666667,0.35988523
5.02347E-5,10.005010289,0.187027765,0.434787167,0.041666667,0.365623719
5.16454E-5,10.254811548,0.191275294,0.429649822,0.041666667,0.370815685
5.28591E-5,10.500502341,0.194894293,0.424722164,0.041666667,0.375324498
5.42588E-5,10.751968677,0.199027824,0.419794506,0.041666667,0.378740265
5.54703E-5,11.004651702,0.20257157,0.414971692,0.041666667,0.388031152
5.67559E-5,11.251931168,0.206298042,0.410358566,0.041666667,0.392539964
5.80184E-5,11.50474094,0.209923429,0.405745439,0.041666667,0.398961607
5.92467E-5,11.751167486,0.213419228,0.401342,0.041666667,0.404700096
6.04839E-5,12.002704351,0.216909143,0.396938562,0.041666667,0.408252494
6.17324E-5,12.253570756,0.220399828,0.392639966,0.041666667,0.415630551
6.28519E-5,12.502719077,0.22350336,0.388446215,0.041666667,0.420549255
6.46979E-5,12.751521127,0.228567598,0.384357308,0.041666667,0.425877852
6.70536E-5,13.002033476,0.234934461,0.380373244,0.041666667,0.430796557
6.87414E-5,13.253655514,0.239432128,0.376494024,0.041666667,0.437764722
7.04337E-5,13.504253227,0.243888931,0.372719648,0.041666667,0.441590381
7.21737E-5,13.753860166,0.248417464,0.369050115,0.041666667,0.446645717
7.32842E-5,14.000987905,0.251279148,0.365485427,0.041666667,0.453477251
7.42206E-5,14.251651215,0.2536755,0.361920738,0.041666667,0.457029649
7.55288E-5,14.506104157,0.256997637,0.358356049,0.041666667,0.458942478
7.71876E-5,14.750159352,0.261167798,0.355001048,0.041666667,0.462494876
7.84606E-5,15.006889994,0.264336433,0.351541204,0.041666667,0.465910644
7.97019E-5,15.252307581,0.267400274,0.348291046,0.041666667,0.474108485
8.11254E-5,15.50165079,0.270882338,0.345040889,0.041666667,0.478344036
8.26238E-5,15.755508052,0.274512105,0.341790732,0.041666667,0.48503894
8.45553E-5,16.007028275,0.279138219,0.338645418,0.041666667,0.492280366
