Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
8.4884E-10,0.000000085,0.000001336,1,0,0
2.69417E-8,0.000002779,0.00004241,0.999599038,0,0
1.7789E-7,0.000020568,0.000279959,0.999198075,0,0
1.84962E-7,0.000039064,0.000291085,0.998797113,0,0
2.05353E-7,0.0000596,0.000323166,0.998396151,0,0
2.38338E-7,0.000105946,0.000375055,0.997594226,0,0
3.32993E-7,0.000274359,0.000523929,0.995188452,0,0
3.74374E-7,0.000526265,0.000588999,0.992381716,0,0
4.15793E-7,0.001000272,0.00065412,0.987570168,0,0
5.88723E-7,0.002532804,0.000925919,0.975140337,0,0
8.20724E-7,0.005035099,0.00129033,0.961106656,0,0
1.53728E-6,0.010129879,0.002414163,0.943063352,0,0
3.0849E-6,0.025131781,0.004832825,0.91659984,0,0
6.28414E-6,0.050612784,0.009795688,0.89414595,0,0
1.1847E-5,0.100322596,0.018308365,0.872894948,0,0
2.14687E-5,0.200254689,0.032691464,0.84723336,0,0
2.56926E-5,0.301315416,0.038873403,0.829991981,0,0.008333333
2.77768E-5,0.400197665,0.04189479,0.815156375,0,0.016666667
3.10155E-5,0.500393835,0.046552227,0.801523657,0,0.016666667
3.40516E-5,0.601913182,0.050877349,0.789093825,0,0.025
3.76055E-5,0.702427442,0.055890589,0.777866881,0,0.025
3.95067E-5,0.752843059,0.058550773,0.77265437,0,0.025
4.22136E-5,0.802038239,0.062312425,0.767842823,0,0.025
4.57838E-5,0.903875501,0.067228222,0.75862069,0,0.025
5.03506E-5,1.004580992,0.073441606,0.750200481,0,0.025
5.52423E-5,1.100021416,0.080005747,0.74298316,0.002762431,0.033333333
6.13377E-5,1.204324179,0.088056228,0.735765838,0.002762431,0.033333333
6.75383E-5,1.301271869,0.096102272,0.729751403,0.002762431,0.033333333
7.27719E-5,1.400030097,0.102783875,0.724137931,0.002762431,0.033333333
7.874E-5,1.50688024,0.110283723,0.718524459,0.002762431,0.033333333
9.06632E-5,1.756309976,0.124897696,0.706896552,0.002762431,0.041666667
1.02939E-4,2.010021091,0.139450415,0.696471532,0.002762431,0.041666667
1.11868E-4,2.250136106,0.149735347,0.687650361,0.002762431,0.05
1.18518E-4,2.503734726,0.157236671,0.67882919,0.005524862,0.05
1.23297E-4,2.756840171,0.162546894,0.670408982,0.008287293,0.05
1.29792E-4,3.009685758,0.169656634,0.662389735,0.011049724,0.05
1.37365E-4,3.250917649,0.177795798,0.655172414,0.013812155,0.066666667
1.43898E-4,3.504731548,0.18469002,0.647955092,0.016574586,0.066666667
1.4842E-4,3.753100218,0.189394449,0.641138733,0.016574586,0.066666667
1.54115E-4,4.010230585,0.195242102,0.634322374,0.019337017,0.075
1.63258E-4,4.265309937,0.204456751,0.627906977,0.019337017,0.075
1.70682E-4,4.516073125,0.211785439,0.621892542,0.019337017,0.075
1.7528E-4,4.75765509,0.216256821,0.61627907,0.022099448,0.075
1.81197E-4,5.007048032,0.221937621,0.610665597,0.022099448,0.091666667
1.86908E-4,5.265526656,0.227341721,0.605052125,0.024861878,0.1
1.9327E-4,5.513426177,0.233275174,0.599839615,0.027624309,0.1
1.97374E-4,5.767355718,0.237054459,0.594627105,0.03038674,0.1
2.01422E-4,6.006998285,0.240745506,0.589815557,0.033149171,0.1
2.08219E-4,6.253068613,0.246864459,0.58500401,0.033149171,0.108333333
2.12872E-4,6.505971797,0.250996019,0.580192462,0.033149171,0.108333333
2.17354E-4,6.76420616,0.254933625,0.575380914,0.035911602,0.108333333
2.22035E-4,7.00570367,0.259001703,0.570970329,0.041436464,0.108333333
2.30541E-4,7.255766547,0.266282081,0.566559743,0.044198895,0.108333333
2.35184E-4,7.511785258,0.270196028,0.562149158,0.052486188,0.108333333
2.4235E-4,7.751186574,0.276154852,0.558139535,0.052486188,0.116666667
2.5036E-4,8.021418271,0.282701796,0.553728949,0.052486188,0.116666667
2.55342E-4,8.274635258,0.286714592,0.549719326,0.052486188,0.116666667
2.61569E-4,8.507299863,0.291667657,0.546110666,0.052486188,0.125
2.67659E-4,8.772598592,0.296445069,0.542101043,0.052486188,0.125
2.70759E-4,9.015004101,0.298852781,0.538492382,0.05801105,0.125
2.75016E-4,9.260851218,0.30213114,0.534883721,0.060773481,0.125
2.8177E-4,9.511601732,0.30727168,0.53127506,0.063535912,0.133333333
2.84699E-4,9.766705579,0.309477443,0.527666399,0.066298343,0.141666667
2.89109E-4,10.025352357,0.312771668,0.524057739,0.066298343,0.141666667
2.90789E-4,10.257367938,0.314018228,0.52085004,0.069060773,0.15
2.94576E-4,10.521023719,0.316812155,0.517241379,0.074585635,0.158333333
2.95922E-4,10.757248348,0.317799823,0.514033681,0.074585635,0.158333333
2.99944E-4,11.025814737,0.32073376,0.51042502,0.080110497,0.166666667
3.03514E-4,11.26767775,0.323316855,0.507217322,0.082872928,0.183333333
3.06121E-4,11.511851323,0.325191302,0.504009623,0.085635359,0.183333333
3.09178E-4,11.758258584,0.327375242,0.500801925,0.085635359,0.183333333
3.13184E-4,12.007135217,0.330216343,0.497594226,0.08839779,0.183333333
3.16565E-4,12.259752425,0.332595447,0.494386528,0.096685083,0.183333333
3.19051E-4,12.51413706,0.334334213,0.491178829,0.099447514,0.183333333
3.23067E-4,12.771238362,0.337124065,0.487971131,0.099447514,0.183333333
3.27643E-4,13.031771693,0.340273876,0.484763432,0.099447514,0.183333333
3.32051E-4,13.263052887,0.343280782,0.481956696,0.102209945,0.183333333
3.35782E-4,13.53054702,0.345804042,0.478748998,0.102209945,0.183333333
3.40313E-4,13.767291267,0.34884235,0.475942261,0.102209945,0.183333333
3.42404E-4,14.006187568,0.35023525,0.473135525,0.104972376,0.191666667
3.44581E-4,14.281097577,0.351678802,0.469927827,0.107734807,0.191666667
3.47816E-4,14.523455014,0.35381244,0.467121091,0.110497238,0.191666667
3.50295E-4,14.767744462,0.355437497,0.464314354,0.116022099,0.191666667
3.54447E-4,15.014541093,0.358141786,0.461507618,0.116022099,0.191666667
