Name,SoilCover,VegCover,Impervious,MinTemp,MedianTemp,MaxTemp,TreeCover,PopDensity,FIPS,ISO2,ISO3,UN,name_2,AREA,POP2005,REGION,SUBREGION,LON,LAT
Aedes aegypti,38.000000000000000,37.000000000000000,21.000000000000000,24.750000000000000,27.500000000000000,29.750000000000000,0.000000000000000,163.978546142578125,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,22.000000000000000,55.000000000000000,18.000000000000000,24.000000000000000,26.500000000000000,28.500000000000000,3.000000000000000,72.802604675292969,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,26.000000000000000,53.000000000000000,20.000000000000000,24.000000000000000,26.750000000000000,28.500000000000000,1.000000000000000,135.962326049804688,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,14.000000000000000,65.000000000000000,17.000000000000000,23.250000000000000,25.750000000000000,27.250000000000000,2.000000000000000,126.009788513183594,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,17.000000000000000,53.000000000000000,20.000000000000000,22.750000000000000,25.750000000000000,28.500000000000000,9.000000000000000,4.518509864807129,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,48.000000000000000,25.000000000000000,25.000000000000000,25.250000000000000,28.000000000000000,30.000000000000000,0.000000000000000,159.446304321289062,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,49.000000000000000,25.000000000000000,24.000000000000000,25.750000000000000,28.000000000000000,30.000000000000000,0.000000000000000,153.274505615234375,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,28.000000000000000,48.000000000000000,23.000000000000000,23.750000000000000,26.000000000000000,28.000000000000000,20.000000000000000,5.931871414184570,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,48.000000000000000,21.000000000000000,27.000000000000000,23.750000000000000,26.250000000000000,28.250000000000000,0.000000000000000,20.859716415405273,VE,VE,VEN,862,Venezuela,88205,26725573,19,5,-66.166,7.125
Aedes aegypti,48.000000000000000,21.000000000000000,27.000000000000000,23.750000000000000,26.250000000000000,28.250000000000000,0.000000000000000,20.859716415405273,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,42.000000000000000,32.000000000000000,23.000000000000000,23.666666030883789,26.000000000000000,28.333333969116211,0.000000000000000,52.919097900390625,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,44.000000000000000,28.000000000000000,26.000000000000000,24.750000000000000,26.750000000000000,28.000000000000000,1.000000000000000,76.794479370117188,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,32.000000000000000,25.000000000000000,41.000000000000000,26.000000000000000,29.500000000000000,31.750000000000000,2.000000000000000,0.033483907580376,VE,VE,VEN,862,Venezuela,88205,26725573,19,5,-66.166,7.125
Aedes aegypti,4.000000000000000,83.000000000000000,5.000000000000000,22.500000000000000,22.500000000000000,23.000000000000000,44.000000000000000,0.191216170787811,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,12.000000000000000,65.000000000000000,21.000000000000000,-124.500000000000000,-124.500000000000000,-124.000000000000000,32.000000000000000,1.921974658966064,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,21.000000000000000,61.000000000000000,16.000000000000000,-52.000000000000000,-51.500000000000000,-50.750000000000000,69.000000000000000,1.177258253097534,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,12.000000000000000,78.000000000000000,10.000000000000000,22.750000000000000,23.250000000000000,24.000000000000000,82.000000000000000,0.949995875358582,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,5.000000000000000,88.000000000000000,5.000000000000000,13.500000000000000,19.250000000000000,20.000000000000000,92.000000000000000,0.758321046829224,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,12.000000000000000,56.000000000000000,24.000000000000000,23.333333969116211,24.666666030883789,25.000000000000000,47.000000000000000,2.149858236312866,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,4.000000000000000,89.000000000000000,6.000000000000000,20.000000000000000,22.000000000000000,24.000000000000000,23.000000000000000,0.599839925765991,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,6.000000000000000,66.000000000000000,27.000000000000000,17.000000000000000,19.000000000000000,20.000000000000000,18.000000000000000,3.616223573684692,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,8.000000000000000,62.000000000000000,25.000000000000000,15.666666984558105,22.000000000000000,24.333333969116211,41.000000000000000,3.728348970413208,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,3.000000000000000,94.000000000000000,1.000000000000000,-51.500000000000000,-51.000000000000000,-50.750000000000000,95.000000000000000,0.267212361097336,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,6.000000000000000,85.000000000000000,8.000000000000000,20.666666030883789,22.333333969116211,22.666666030883789,67.000000000000000,0.405440300703049,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,16.000000000000000,46.000000000000000,34.000000000000000,22.500000000000000,24.000000000000000,25.750000000000000,66.000000000000000,1.272543668746948,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,4.000000000000000,90.000000000000000,5.000000000000000,19.000000000000000,22.000000000000000,23.000000000000000,43.000000000000000,0.598588943481445,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,4.000000000000000,83.000000000000000,9.000000000000000,-52.250000000000000,-51.250000000000000,-50.750000000000000,94.000000000000000,0.381274670362473,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,4.000000000000000,91.000000000000000,4.000000000000000,18.000000000000000,21.000000000000000,22.000000000000000,96.000000000000000,0.253703624010086,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,8.000000000000000,77.000000000000000,13.000000000000000,22.000000000000000,23.500000000000000,24.000000000000000,72.000000000000000,1.806777119636536,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,22.000000000000000,41.000000000000000,35.000000000000000,21.500000000000000,23.500000000000000,24.500000000000000,48.000000000000000,0.741772174835205,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,13.000000000000000,68.000000000000000,17.000000000000000,-52.750000000000000,-50.500000000000000,-49.000000000000000,74.000000000000000,1.168332099914551,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,18.000000000000000,58.000000000000000,23.000000000000000,24.333333969116211,25.333333969116211,26.666666030883789,43.000000000000000,5.089479923248291,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,23.000000000000000,46.000000000000000,28.000000000000000,21.250000000000000,24.750000000000000,26.250000000000000,48.000000000000000,5.377859115600586,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,13.000000000000000,60.000000000000000,27.000000000000000,24.000000000000000,26.500000000000000,27.250000000000000,40.000000000000000,5.476940155029297,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,22.000000000000000,55.000000000000000,22.000000000000000,23.500000000000000,25.750000000000000,27.000000000000000,31.000000000000000,5.475935459136963,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,15.000000000000000,60.000000000000000,23.000000000000000,18.250000000000000,22.250000000000000,25.250000000000000,67.000000000000000,4.465193748474121,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,20.000000000000000,35.000000000000000,41.000000000000000,24.333333969116211,26.333333969116211,27.333333969116211,23.000000000000000,5.375323772430420,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,22.000000000000000,39.000000000000000,36.000000000000000,23.666666030883789,25.666666030883789,27.000000000000000,21.000000000000000,5.177580833435059,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,255.000000000000000,255.000000000000000,255.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,255.000000000000000,0.000000000000000,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,23.000000000000000,54.000000000000000,25.000000000000000,21.500000000000000,24.000000000000000,26.500000000000000,62.000000000000000,5.234471797943115,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,8.000000000000000,84.000000000000000,6.000000000000000,23.000000000000000,23.000000000000000,23.000000000000000,22.000000000000000,1.532003879547119,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,23.000000000000000,41.000000000000000,30.000000000000000,21.500000000000000,25.750000000000000,26.500000000000000,45.000000000000000,6.358369827270508,TD,TT,TTO,780,Trinidad and Tobago,513,1323722,19,29,-61.253,10.468
Aedes aegypti,20.000000000000000,56.000000000000000,23.000000000000000,22.750000000000000,24.750000000000000,26.000000000000000,10.000000000000000,16.403512954711914,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,39.000000000000000,25.000000000000000,35.000000000000000,25.250000000000000,27.250000000000000,29.000000000000000,0.000000000000000,99.224693298339844,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,23.000000000000000,49.000000000000000,22.000000000000000,23.250000000000000,26.250000000000000,28.000000000000000,5.000000000000000,6.850162029266357,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,33.000000000000000,38.000000000000000,27.000000000000000,23.500000000000000,26.000000000000000,27.500000000000000,1.000000000000000,52.875347137451172,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,20.000000000000000,56.000000000000000,23.000000000000000,22.750000000000000,24.750000000000000,26.000000000000000,10.000000000000000,16.403512954711914,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,39.000000000000000,25.000000000000000,35.000000000000000,25.250000000000000,27.250000000000000,29.000000000000000,0.000000000000000,99.224693298339844,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,23.000000000000000,49.000000000000000,22.000000000000000,23.250000000000000,26.250000000000000,28.000000000000000,5.000000000000000,6.850162029266357,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,38.000000000000000,37.000000000000000,21.000000000000000,24.750000000000000,27.500000000000000,29.750000000000000,0.000000000000000,163.978546142578125,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,22.000000000000000,55.000000000000000,18.000000000000000,24.000000000000000,26.500000000000000,28.500000000000000,3.000000000000000,72.802604675292969,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,26.000000000000000,53.000000000000000,20.000000000000000,24.000000000000000,26.750000000000000,28.500000000000000,1.000000000000000,135.962326049804688,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
Aedes aegypti,14.000000000000000,65.000000000000000,17.000000000000000,23.250000000000000,25.750000000000000,27.250000000000000,2.000000000000000,126.009788513183594,CO,CO,COL,170,Colombia,103870,4494579,19,5,-73.076,3.900
